
e;21254;'accueil';1;410
e;4111983;'bien-venu';1;0
e;152135;'amabilités';1;50
e;50873;'abords';1;56
e;2360057;'aimabilité';1;0
e;93299;'réaction';1;504
e;56494;'amabilité';1;128
e;140613;'mine';1;880
e;74419;'traitement';1;522
e;122131;'chère';1;214
e;23559;'bonté';1;290
e;41783;'bienvenue';1;88
e;59893;'entrée';1;1506
e;47354;'hall';1;140
e;58121;'accès';1;204
e;46497;'refuge';1;354
e;140904;'asile';1;340
e;10390;'abord';1;80
e;80735;'hébergement';1;130
e;116899;'hospitalité';1;106
e;125901;'réception';1;520
r;309971683;21254;683646;5;23
r;309977862;21254;676450;5;25
r;309997056;21254;607249;5;25
r;98818539;21254;4111983;5;26
r;85833823;21254;152135;5;30
r;85855205;21254;50873;5;35
r;61421618;21254;2360057;5;44
r;53583329;21254;93299;5;51
r;53583327;21254;56494;5;52
r;53583328;21254;140613;5;52
r;53583334;21254;74419;5;54
r;53583331;21254;122131;5;59
r;53583332;21254;23559;5;59
r;53583333;21254;41783;5;59
r;1815516;21254;59893;5;60
r;53583330;21254;47354;5;60
r;582853;21254;58121;5;77
r;12203636;21254;46497;5;80
r;12320046;21254;140904;5;80
r;582850;21254;10390;5;81
r;582851;21254;80735;5;82
r;582854;21254;116899;5;82
r;582852;21254;125901;5;95
r;397641338;15324092;21254;5;10
r;397641399;15324093;21254;5;10
r;85809718;152135;21254;5;26
r;53769314;122131;21254;5;27
r;85844478;50873;21254;5;27
r;53769317;41783;21254;5;29
r;95728312;4111983;21254;5;29
r;309388275;607249;21254;5;33
r;309399762;676450;21254;5;33
r;309403455;683646;21254;5;33
r;53628006;93299;21254;5;53
r;53611276;140613;21254;5;56
r;53769308;56494;21254;5;59
r;53769312;47354;21254;5;59
r;53769316;23559;21254;5;59
r;53769318;74419;21254;5;59
r;61037114;2360057;21254;5;59
r;1658175;46497;21254;5;70
r;582855;116899;21254;5;77
r;643479;80735;21254;5;78
r;12187771;59893;21254;5;81
r;728033;125901;21254;5;82
r;583206;58121;21254;5;83
r;674502;10390;21254;5;83
r;210183;140904;21254;5;110
