
e;16087309;'accès handicapé';1;8
e;58121;'accès';1;204
e;5766;'handicapé';1;252
e;14875034;'être non-voyant';1;14
e;262983;'handicapé moteur';1;22
e;257877;'être handicapé';1;64
e;135922;'surdité';1;214
e;16087307;'handicapé en fauteuil';1;10
e;239987;'handicap moteur';1;22
e;52408;'malvoyant';1;100
e;16087319;'allocation d'adulte handicapé';1;10
e;16087318;'en situation de handicap';1;8
e;268488;'AAH';1;16
e;44596;'non-voyant';1;86
e;14875035;'être malvoyant';1;18
e;18302;'adulte';1;548
e;16087313;'en fauteuil';1;8
e;154267;'fauteuil roulant';1;88
e;1687340;'être aveugle';1;12
e;15314839;'à mobilité réduite';1;14
r;419479180;16087309;58121;0;19
r;419479183;16087309;5766;0;21
r;420199135;16087309;14875034;0;51
r;420199136;16087309;262983;0;51
r;420199137;16087309;257877;0;51
r;420199138;16087309;135922;0;51
r;420199139;16087309;16087307;0;51
r;420199140;16087309;239987;0;51
r;420199141;16087309;52408;0;51
r;420199142;16087309;16087319;0;51
r;420199143;16087309;16087318;0;51
r;420199144;16087309;268488;0;51
r;420199145;16087309;44596;0;51
r;420199146;16087309;14875035;0;51
r;420199147;16087309;18302;0;51
r;420199148;16087309;16087313;0;51
r;420199149;16087309;154267;0;51
r;420199150;16087309;1687340;0;51
r;420199151;16087309;15314839;0;51
r;420199054;16087307;16087309;0;51
r;420199128;16087313;16087309;0;51
r;420199238;16087318;16087309;0;51
r;420199252;16087319;16087309;0;51
