
e;58121;'accès';1;204
e;118497;'tourniquet';1;64
e;1149;'flambée';1;122
e;165125;'passages';1;50
e;139951;'approche';1;82
e;59893;'entrée';1;1506
e;35914;'raptus';1;50
e;55077;'chemin';1;1458
e;30090;'boutade';1;66
e;20825;'toquade';1;56
e;116113;'allée';1;278
e;143613;'porte';1;4210
e;27062;'compréhension';1;228
e;140578;'quinte';1;154
e;114514;'paroxysme';1;54
e;64862;'passage';1;630
e;45221;'crise';1;1196
e;93773;'bouffée';1;62
e;87222;'avenue';1;694
e;67768;'bourrasque';1;120
e;23431;'scène';1;1374
e;114586;'exacerbation';1;52
e;34970;'attaque';1;699
e;18128;'élan';1;138
e;10683;'caprice';1;162
e;36820;'ouverture';1;1034
e;50873;'abords';1;56
e;6118;'bouillonnement';1;80
e;21254;'accueil';1;410
e;18239;'introduction';1;292
e;46603;'effervescence';1;70
e;10390;'abord';1;80
e;83445;'poussée';1;134
e;65470;'atteinte';1;104
e;15640;'malaise';1;420
e;8663;'entendement';1;112
e;129417;'orage';1;1210
e;105430;'tocade';1;64
r;310012279;58121;600064;5;15
r;309659469;58121;672664;5;25
r;309702752;58121;1191893;5;25
r;309790535;58121;597688;5;25
r;309795503;58121;600608;5;25
r;309836771;58121;593633;5;25
r;309995423;58121;609698;5;25
r;309997044;58121;607249;5;25
r;310040698;58121;597853;5;25
r;12158942;58121;118497;5;26
r;97859601;58121;1149;5;27
r;213814317;58121;7290705;5;28
r;12174284;58121;255492;5;32
r;85740281;58121;165125;5;34
r;583212;58121;139951;5;75
r;583216;58121;59893;5;75
r;1695403;58121;35914;5;75
r;583207;58121;55077;5;76
r;12202815;58121;30090;5;76
r;12202830;58121;20825;5;76
r;583209;58121;116113;5;77
r;583211;58121;143613;5;77
r;583210;58121;27062;5;78
r;583217;58121;140578;5;78
r;12202831;58121;114514;5;78
r;583208;58121;64862;5;79
r;583213;58121;45221;5;79
r;583218;58121;93773;5;79
r;12202826;58121;87222;5;79
r;12202813;58121;67768;5;80
r;12202819;58121;23431;5;80
r;12202823;58121;114586;5;80
r;583215;58121;34970;5;81
r;12202808;58121;18128;5;81
r;583204;58121;10683;5;82
r;583205;58121;36820;5;82
r;12202810;58121;50873;5;82
r;12202828;58121;6118;5;82
r;583206;58121;21254;5;83
r;583219;58121;18239;5;84
r;12202817;58121;46603;5;84
r;583203;58121;10390;5;85
r;583214;58121;83445;5;85
r;12202811;58121;65470;5;85
r;12202822;58121;15640;5;85
r;12202825;58121;8663;5;85
r;12202833;58121;129417;5;85
r;10731079;105430;58121;5;1
r;397641343;15324092;58121;5;10
r;397641404;15324093;58121;5;10
r;85726367;165125;58121;5;26
r;97346371;1149;58121;5;26
r;568617;83445;58121;5;27
r;1695383;87222;58121;5;28
r;1695386;15640;58121;5;28
r;1695392;65470;58121;5;28
r;1695393;50873;58121;5;28
r;2483996;255492;58121;5;30
r;309318536;593633;58121;5;33
r;309354141;597688;58121;5;33
r;309356379;597853;58121;5;33
r;309376847;600064;58121;5;33
r;309381524;600608;58121;5;33
r;309388269;607249;58121;5;33
r;309389889;609698;58121;5;33
r;309394540;672664;58121;5;33
r;309410052;1191893;58121;5;33
r;212400711;7290705;58121;5;55
r;12126664;118497;58121;5;59
r;1695381;20825;58121;5;76
r;1695384;8663;58121;5;76
r;563784;116113;58121;5;77
r;563797;55077;58121;5;77
r;572364;45221;58121;5;77
r;576264;18239;58121;5;77
r;582853;21254;58121;5;77
r;583220;10683;58121;5;77
r;584367;143613;58121;5;77
r;643238;27062;58121;5;77
r;674499;10390;58121;5;77
r;679201;140578;58121;5;77
r;685047;34970;58121;5;77
r;1695379;129417;58121;5;78
r;1695390;30090;58121;5;78
r;576280;59893;58121;5;79
r;584396;64862;58121;5;79
r;611658;36820;58121;5;79
r;675179;139951;58121;5;79
r;713449;93773;58121;5;79
r;1695380;114514;58121;5;81
r;1695394;18128;58121;5;81
r;1695387;35914;58121;5;83
r;1695382;6118;58121;5;84
r;1695385;114586;58121;5;84
r;1695389;46603;58121;5;84
r;1695391;67768;58121;5;84
r;1695388;23431;58121;5;85
