
e;21037;'aimé';1;156
e;13853661;'L'Homme qui a aimé les Néréides';777;0
e;10596904;'Je ne suis pas là pour être aimé';777;0
e;9982302;'Pour être aimé';777;0
e;16035016;'aimé des dieux';1;0
e;15291395;'aimé particulièrement';1;0
e;10194284;'Je vous ai toujours aimé';777;0
e;10458765;'C'est dur d'être aimé par des cons';777;0
e;11375483;'L'Objet aimé';777;0
e;3187322;'entr'aimé';1;0
e;12699179;'garçon mal aimé';1;0
e;12699131;'enfant mal aimé';1;0
e;15291403;'Est-ce que vous avez aimé le film?';1;0
e;15291409;'J'ai bien aimé le film, mais ...';1;0
e;15291407;'J'aurais aimé que tu m'en parles!';1;0
e;15291405;'J'aurais aimé qu'il soit plus romantique';1;0
e;3201904;'contre-aimé';1;0
e;3195641;'entre-aimé';1;0
e;3557007;'pas aimé';1;0
e;3197289;'re-aimé';1;0
e;3200373;'auto-aimé';1;0
e;366901;'objet aimé';1;50
e;94747;'bien-aimé';1;54
e;184995;'mal-aimé';1;52
e;103168;'Pleure, ô pays bien-aimé';1;50
e;251314;'être aimé';1;72
e;230430;'Aimer est plus fort que d'être aimé';1;2
e;65026;'mal aimé';1;60
e;199846;'être aimé des dieux';1;50
r;310670744;21037;9041442;11;15
r;310670753;21037;9041443;11;15
r;350086193;21037;13853661;11;25
r;264447623;21037;10596904;11;30
r;310670745;21037;3209971;11;30
r;310670746;21037;3219549;11;30
r;310670747;21037;3222515;11;30
r;310670748;21037;3213799;11;30
r;310670749;21037;588677;11;30
r;310670750;21037;574863;11;30
r;310670751;21037;587584;11;30
r;310670752;21037;737091;11;30
r;310670754;21037;588678;11;30
r;310670755;21037;3222516;11;30
r;310670756;21037;3213800;11;30
r;310670757;21037;3219550;11;30
r;310670758;21037;737092;11;30
r;310670759;21037;574864;11;30
r;310670760;21037;3209972;11;30
r;222100960;21037;9982302;11;31
r;419583806;21037;16035016;11;34
r;419583810;21037;15291395;11;34
r;243204784;21037;10194284;11;38
r;261019862;21037;10458765;11;41
r;291806876;21037;11375483;11;42
r;77367657;21037;3187322;11;43
r;327330629;21037;12699179;11;50
r;327330648;21037;12699131;11;50
r;397503170;21037;15291403;11;50
r;402120318;21037;15291409;11;50
r;402122244;21037;15291407;11;50
r;402122236;21037;15291405;11;50
r;77362452;21037;3201904;11;52
r;77364555;21037;3195641;11;56
r;88781577;21037;3557007;11;58
r;77364015;21037;3197289;11;59
r;77362956;21037;3200373;11;60
r;12634591;21037;366901;11;109
r;11864468;21037;94747;11;121
r;11853702;21037;184995;11;122
r;8872363;21037;103168;11;152
r;8714879;21037;251314;11;160
r;8698981;21037;230430;11;161
r;8591978;21037;65026;11;162
r;8667362;21037;199846;11;164
