
e;35415;'animation';1;240
e;352615;'exaltation mystique';1;50
e;84449;'liesse';1;126
e;130610;'flammes';1;96
e;398831;'turbulences';1;50
e;2374544;'tohubohu';1;0
e;148236;'gaîté';1;84
e;98596;'dessin';1;2588
e;152810;'gaité';1;146
e;110910;'chaleur';1;2390
e;143703;'feu';1;3710
e;46603;'effervescence';1;70
e;41631;'tohu-bohu';1;70
e;66149;'dessin animé';1;1090
e;21405;'âme';1;370
e;112929;'action';1;1076
e;133120;'excitation';1;658
e;59034;'fièvre';1;1280
e;40056;'couleur';1;4810
e;31075;'branle';1;50
e;6118;'bouillonnement';1;80
e;52484;'échauffement';1;70
e;13451;'esprit';1;888
e;63036;'montant';1;174
e;39448;'passion';1;1226
e;18128;'élan';1;138
e;28256;'affairement';1;58
e;87332;'expression';1;1116
e;83871;'fougue';1;122
e;16875;'direction';1;998
e;134203;'emportement';1;74
e;54906;'activation';1;66
e;145035;'foule';1;640
e;53688;'activité';1;610
e;127498;'turbulence';1;74
e;68036;'ardeur';1;132
e;134191;'exaltation';1;146
e;4191;'éclat';1;244
e;58142;'entrain';1;132
e;42109;'mouvement';1;1258
e;64979;'remue-ménage';1;78
e;140777;'flamme';1;974
e;60535;'gaieté';1;166
e;141659;'vie';1;1924
e;133866;'impulsion';1;146
e;69306;'agitation';1;320
e;35457;'vivacité';1;236
e;15345848;'trajet tumultueux';1;0
e;364761;'moment difficile';1;50
r;416362117;35415;15043685;5;15
r;416363814;35415;14938076;5;15
r;416363850;35415;7029840;5;15
r;416385826;35415;352615;5;15
r;416413141;35415;14958021;5;15
r;416424120;35415;84449;5;15
r;416580314;35415;14950799;5;15
r;310043308;35415;597744;5;25
r;310089252;35415;157018;5;25
r;310089254;35415;440174;5;25
r;85783735;35415;130610;5;26
r;210719922;35415;7180103;5;27
r;213814377;35415;7282398;5;27
r;85501313;35415;398831;5;28
r;213811478;35415;7290603;5;28
r;68543298;35415;2374544;5;30
r;13620985;35415;148236;5;32
r;685207;35415;98596;5;34
r;3114995;35415;267282;5;35
r;13620971;35415;152810;5;35
r;53584690;35415;110910;5;51
r;53584691;35415;143703;5;51
r;53584693;35415;46603;5;51
r;53584699;35415;41631;5;51
r;53584710;35415;66149;5;51
r;53584700;35415;21405;5;52
r;53584701;35415;112929;5;52
r;53584694;35415;133120;5;53
r;53584697;35415;59034;5;53
r;53584704;35415;40056;5;53
r;53584705;35415;31075;5;53
r;53584689;35415;6118;5;54
r;53584702;35415;52484;5;54
r;53584703;35415;13451;5;55
r;53584712;35415;63036;5;55
r;53584695;35415;39448;5;56
r;53584696;35415;18128;5;56
r;53584706;35415;28256;5;56
r;53584708;35415;87332;5;57
r;53584692;35415;83871;5;58
r;53584709;35415;16875;5;58
r;53584698;35415;134203;5;59
r;53584711;35415;54906;5;59
r;53584707;35415;145035;5;60
r;685201;35415;53688;5;75
r;685206;35415;127498;5;75
r;53548105;35415;68036;5;75
r;685202;35415;134191;5;77
r;685210;35415;4191;5;77
r;685213;35415;58142;5;77
r;685214;35415;42109;5;77
r;685203;35415;64979;5;79
r;685205;35415;140777;5;80
r;685208;35415;60535;5;80
r;685209;35415;141659;5;80
r;685211;35415;133866;5;80
r;685204;35415;69306;5;81
r;685212;35415;35457;5;84
r;399374040;15345848;35415;5;10
r;399374107;364761;35415;5;10
r;397879108;15345847;35415;5;20
r;398287405;352615;35415;5;20
r;407848750;14950799;35415;5;20
r;555704;98596;35415;5;26
r;85403126;398831;35415;5;29
r;85763284;130610;35415;5;30
r;3114994;267282;35415;5;31
r;210688111;7180103;35415;5;31
r;309218547;157018;35415;5;33
r;309218548;440174;35415;5;33
r;309354518;597744;35415;5;33
r;53766895;13451;35415;5;35
r;13450403;152810;35415;5;37
r;13450334;148236;35415;5;39
r;212752375;7290603;35415;5;45
r;53598766;46603;35415;5;52
r;53601014;87332;35415;5;55
r;53693142;21405;35415;5;55
r;212406339;7282398;35415;5;55
r;407710338;14958021;35415;5;55
r;408413373;7029840;35415;5;55
r;408413733;14938076;35415;5;55
r;410728656;15043685;35415;5;55
r;399232981;84449;35415;5;56
r;53766871;68036;35415;5;60
r;53766875;6118;35415;5;60
r;53766877;110910;35415;5;60
r;53766879;143703;35415;5;60
r;53766880;83871;35415;5;60
r;53766881;133120;35415;5;60
r;53766883;39448;35415;5;60
r;53766885;18128;35415;5;60
r;53766886;59034;35415;5;60
r;53766888;134203;35415;5;60
r;53766891;112929;35415;5;60
r;53766893;52484;35415;5;60
r;53766897;40056;35415;5;60
r;53766899;31075;35415;5;60
r;53766900;28256;35415;5;60
r;53766902;145035;35415;5;60
r;53766905;16875;35415;5;60
r;53766906;66149;35415;5;60
r;53766907;54906;35415;5;60
r;53766909;63036;35415;5;60
r;53766889;41631;35415;5;61
r;63300644;2374544;35415;5;61
r;611746;141659;35415;5;75
r;560011;134191;35415;5;79
r;579006;42109;35415;5;79
r;583575;64979;35415;5;79
r;581920;4191;35415;5;80
r;592858;127498;35415;5;80
r;696587;58142;35415;5;81
r;560030;140777;35415;5;82
r;570609;69306;35415;5;84
r;685255;35457;35415;5;84
r;694776;53688;35415;5;85
r;697766;60535;35415;5;85
r;732119;133866;35415;5;85
