
e;17025;'animé';1;156
e;13519243;'animé de mouvements';1;0
e;16108955;'dessin animé japonais';1;0
e;5827206;'être animé par un désir de vengeance';1;0
e;16507672;'animé de quelque chose';1;0
e;15288793;'animé de bonnes intentions';1;0
e;15303126;'animé de mauvaises intentions';1;0
e;15288788;'animé de qch';1;0
e;15288790;'animé des meilleures intentions';1;0
e;11925749;'dessin animé en Tintincolor';777;0
e;10750390;'Mercredi animé';777;0
e;11101245;'Le Roi du dessin animé';777;0
e;11836891;'graphisme animé';777;0
e;10750577;'Le Dessin animé';777;0
e;12246716;'court métrage animé';1;0
e;15288786;'GIF animé';1;0
e;2416927;'jardin animé';1;0
e;5355784;'quartier animé';1;20
e;3191444;'auto-animé';1;0
e;3188731;'co-animé';1;0
e;363311;'marché animé';1;50
e;367063;'oeil animé';1;50
e;332565;'personnage de dessin animé';1;50
e;325656;'être animé non humain';1;50
e;101689;'être animé';1;50
e;236765;'gif animé';1;2
e;62843;'animé et inanimé';1;50
e;66149;'dessin animé';1;1090
e;291125;'livre animé';777;50
r;310675634;17025;9044128;11;21
r;310679289;17025;9049727;11;22
r;310675633;17025;9049726;11;23
r;310679288;17025;9044129;11;24
r;310675157;17025;583132;11;25
r;342439845;17025;13519243;11;28
r;434383727;17025;16108955;11;29
r;113766870;17025;5827206;11;31
r;434370787;17025;16507672;11;33
r;419596104;17025;15288793;11;34
r;419596110;17025;15303126;11;34
r;419596116;17025;15288788;11;34
r;419596120;17025;15288790;11;34
r;307666298;17025;11925749;11;35
r;269379138;17025;10750390;11;37
r;282620893;17025;11101245;11;37
r;306355163;17025;11836891;11;37
r;269378470;17025;10750577;11;38
r;317648775;17025;12246716;11;50
r;400611305;17025;15288786;11;50
r;54394051;17025;2416927;11;51
r;107049621;17025;5355784;11;51
r;77365837;17025;3191444;11;54
r;77366645;17025;3188731;11;57
r;12649215;17025;363311;11;103
r;12633935;17025;367063;11;104
r;12414470;17025;332565;11;110
r;11227847;17025;325656;11;148
r;8604738;17025;101689;11;161
r;8704190;17025;236765;11;161
r;8591297;17025;62843;11;162
r;8592359;17025;66149;11;162
r;8758991;17025;291125;11;163
