
e;109667;'arrivée';1;304
e;14159902;'faire l'arrivée';1;0
e;14529698;'arrivée d'une perturbation';1;10
e;14583956;'ordre d'arrivée';1;0
e;6083619;'mort à l'arrivée';777;0
e;10593597;'Lieu d'arrivée';777;0
e;15212251;'cour d'arrivée';1;0
e;15431393;'courrier à l'arrivée';1;0
e;15648615;'date d'arrivée';1;0
e;16170656;'dépistage à l'arrivée';1;0
e;15574177;'cheminée d'arrivée d'air';1;0
e;15222198;'arrivée au pouvoir';1;0
e;15265290;'arrivée d'eau chaude';1;0
e;15340355;'arrivée d'eau froide';1;0
e;15573102;'arrivée dans les boutiques';1;0
e;15428237;'arrivée de gaz';1;0
e;15280536;'arrivée de gaz naturel';1;0
e;15373701;'arrivée due au câble';1;0
e;15356848;'arrivée en peloton/en groupe';1;0
e;15390233;'arrivée impromptue';1;0
e;15356846;'arrivée très serrée';1;0
e;15241914;'Nous avons vu l'arrivée du marathon de Londres.';1;0
e;15361242;'Quand elle est arrivée, Alice était prête et l'attendait.';1;0
e;12079598;'lettre de garantie à l'arrivée';1;0
e;12050412;'contrôler l'arrivée des fournitures de cuisine commandées';1;0
e;12050902;'assurer l'arrivée sécurisée des trains';1;0
e;12077103;'arrivée provisoire';1;0
e;12077102;'arrivée définitive';1;0
e;12077604;'carte d'arrivée normalisée aux instruments';1;0
e;12080579;'photo d'arrivée';1;0
e;12051280;'programmer le travail en fonction de l'arrivée des commandes';1;0
e;11100842;'franchir la ligne d'arrivée';1;2
e;16269635;'1965. Le changement avec l'arrivée du Dr Kiffer';777;0
e;2567202;'bonne arrivée';1;0
e;465256;'l'ensemble d'arrivée';777;50
e;1765521;'arrivée du Tour de France';1;0
e;5388763;'arrivée d'essence';1;0
e;1784349;'altitude d'arrivée';777;0
e;369338;'payable à l'arrivée';1;50
e;336466;'arrivée d'air';1;50
e;336471;'arrivée fracassante';1;50
e;339594;'bonification d'arrivée';1;50
e;336469;'arrivée en force';1;50
e;347085;'dernière ligne droite avant l'arrivée';1;52
e;336470;'arrivée en trombe';1;50
e;388309;'à l'arrivée de';1;50
e;336472;'arrivée orageuse';1;50
e;336467;'arrivée des marchandises';1;50
e;385378;'tuyau d'arrivée';1;50
e;361491;'lieu d'arrivée';1;50
e;337873;'avec l'arrivée du froid';1;50
e;336473;'arrivée d'eau';1;50
e;388308;'à l'arrivée';1;50
e;338641;'base d'arrivée';1;50
e;336468;'arrivée en douceur';1;50
e;211553;'point d'arrivée';1;50
e;210912;'gare d'arrivée';1;50
e;210952;'horaire d'arrivée';1;50
e;211031;'juge d'arrivée';1;50
e;211163;'ligne d'arrivée';1;66
e;176847;'photographie d'arrivée';1;50
e;182792;'imputation à l'arrivée';1;50
e;182817;'interdiction d'appels à l'arrivée';1;50
e;184224;'sélection directe à l'arrivée';1;50
e;268640;'heure d'arrivée';1;50
e;314247;'ensemble d'arrivée';1;50
e;251586;'arrivée sur les lieux';1;50
r;359719127;109667;14159902;11;25
r;368583696;109667;14529698;11;26
r;370557370;109667;14583956;11;26
r;119672027;109667;6083619;11;28
r;264456488;109667;10593597;11;30
r;419745933;109667;15212251;11;30
r;419747030;109667;15431393;11;30
r;419765077;109667;15648615;11;30
r;424065634;109667;16170656;11;30
r;419704911;109667;15574177;11;31
r;419608187;109667;15222198;11;33
r;419608191;109667;15265290;11;33
r;419608197;109667;15340355;11;33
r;419608203;109667;15573102;11;33
r;419608207;109667;15428237;11;33
r;419608211;109667;15280536;11;33
r;419608220;109667;15373701;11;33
r;419608226;109667;15356848;11;33
r;419608230;109667;15390233;11;33
r;419608234;109667;15356846;11;33
r;419515215;109667;15241914;11;34
r;419530903;109667;15361242;11;34
r;315117189;109667;12079598;11;35
r;313700125;109667;12050412;11;36
r;313706132;109667;12050902;11;36
r;314744793;109667;12077103;11;36
r;314745289;109667;12077102;11;36
r;315097107;109667;12077604;11;36
r;315112084;109667;12080579;11;36
r;313733715;109667;12051280;11;37
r;281482209;109667;11100842;11;38
r;426855687;109667;16269635;11;50
r;34372137;109667;2341114;11;51
r;34371905;109667;2341115;11;53
r;52444756;109667;2567202;11;54
r;16391426;109667;465256;11;55
r;29026683;109667;1765521;11;56
r;107387104;109667;5388763;11;57
r;29294793;109667;1784349;11;58
r;12625255;109667;369338;11;101
r;12759773;109667;336466;11;102
r;12759753;109667;336471;11;103
r;12747073;109667;339594;11;104
r;12759761;109667;336469;11;104
r;12715111;109667;347085;11;105
r;12759757;109667;336470;11;106
r;12548249;109667;388309;11;107
r;12759749;109667;336472;11;107
r;12759769;109667;336467;11;107
r;12559855;109667;385378;11;108
r;12656669;109667;361491;11;108
r;12754233;109667;337873;11;108
r;12759745;109667;336473;11;108
r;12548251;109667;388308;11;109
r;12751095;109667;338641;11;109
r;12759765;109667;336468;11;110
r;8879018;109667;211553;11;151
r;8878559;109667;210912;11;152
r;8878592;109667;210952;11;152
r;8878641;109667;211031;11;152
r;8878719;109667;211163;11;152
r;8875816;109667;176847;11;153
r;8876189;109667;182792;11;153
r;8876194;109667;182817;11;153
r;8876382;109667;184224;11;153
r;8882351;109667;268640;11;153
r;8886546;109667;314247;11;154
r;8715271;109667;251586;11;161
