
e;132716;'baignoire';1;1004
e;2470067;'cardière';1;0
e;99377;'cardère';1;50
e;174005;'cardiaire';1;50
e;181457;'chardon à foulon';1;50
e;91548;'bains';1;88
e;3297698;'bain de Vénus';1;0
e;46485;'avant-scène';1;102
e;64659;'cockpit';1;100
e;78560;'tub';1;50
e;99050;'mezzanine';1;74
e;134474;'piscine';1;1626
e;60152;'bassin';1;614
e;145751;'loge';1;150
e;59618;'bain';1;936
r;391278918;132716;14922657;5;15
r;309967805;132716;723595;5;25
r;390973852;132716;14922653;5;25
r;97369464;132716;2470067;5;29
r;97369438;132716;99377;5;30
r;97369448;132716;174005;5;32
r;97369451;132716;181457;5;32
r;53863538;132716;91548;5;34
r;97369469;132716;3297698;5;57
r;53587388;132716;46485;5;59
r;53587389;132716;64659;5;61
r;53587392;132716;78560;5;64
r;53587390;132716;99050;5;65
r;53587391;132716;134474;5;68
r;53587387;132716;60152;5;71
r;731386;132716;145751;5;85
r;731385;132716;59618;5;97
r;390973854;14922653;132716;5;25
r;97859017;99377;132716;5;27
r;97859018;3297698;132716;5;27
r;97859969;174005;132716;5;27
r;97859970;181457;132716;5;27
r;97859971;2470067;132716;5;27
r;309405497;723595;132716;5;33
r;53848319;91548;132716;5;57
r;391170058;14922657;132716;5;60
r;53764736;99050;132716;5;66
r;53764734;64659;132716;5;68
r;53764732;46485;132716;5;70
r;53764739;78560;132716;5;72
r;53764737;134474;132716;5;90
r;580467;145751;132716;5;116
r;53764730;60152;132716;5;143
r;555492;59618;132716;5;144
