
e;19654;'bar';1;2502
e;140213;'d'autant';1;50
e;15256020;'conjoint, conjointe';1;0
e;171561;'ex æquo';1;54
e;52876;'ex aequo';1;50
e;2523975;'louvine';1;0
e;168180;'loubine';1;50
e;12888861;'bar franc';1;0
e;235964;'bar commun';1;2
e;235965;'bar européen';1;50
e;158526;'débit de boisson';1;194
e;14016;'rade';1;74
e;67449;'auberge';1;248
e;62439;'bistroquet';1;54
e;3285;'débit de boissons';1;116
e;75197;'caboulot';1;52
e;52436;'mastroquet';1;52
e;235963;'Dicentrarchus labrax';1;50
e;79954;'restaurant';1;5296
e;29443;'estaminet';1;82
e;161835;'bar-tabac';1;78
e;95212;'loup de mer';1;110
e;228855;'perche de mer';1;50
e;64530;'bistro';1;134
e;57307;'club';1;374
e;121484;'whisky-club';1;50
e;212;'atmosphère';1;468
e;103205;'hectopièze';1;50
e;21383;'débit';1;164
e;50585;'bibine';1;134
e;86521;'cabaret';1;200
e;61318;'snack-bar';1;50
e;104250;'comptoir';1;280
e;43922;'buffet';1;404
e;121441;'zinc';1;174
e;55351;'buvette';1;98
e;132488;'pub';1;360
e;73119;'saloon';1;106
e;66324;'café';1;3800
e;43661;'taverne';1;90
e;23605;'brasserie';1;644
e;75381;'troquet';1;142
e;1125;'loup';1;1206
e;81444;'bistrot';1;766
e;150219;'restau';1;174
e;16072821;'Débit de boissons';1;0
r;416387315;19654;140213;5;-15
r;416587315;19654;15256020;5;-10
r;416641823;19654;14934863;5;-10
r;416641852;19654;15318158;5;-10
r;418682107;19654;171561;5;-5
r;418682037;19654;15236192;5;5
r;418682101;19654;52876;5;5
r;418716689;19654;14957103;5;5
r;418716714;19654;14957104;5;5
r;418735653;19654;6819334;5;5
r;416368587;19654;15351073;5;15
r;416368604;19654;14963854;5;15
r;416368614;19654;14921757;5;15
r;416230528;19654;15273757;5;20
r;309894314;19654;1803620;5;25
r;310205755;19654;158158;5;25
r;330780051;19654;2523975;5;25
r;330780052;19654;168180;5;25
r;333865978;19654;12888861;5;25
r;390946323;19654;14921104;5;25
r;12205525;19654;216099;5;26
r;330780048;19654;235964;5;26
r;98272312;19654;221717;5;26
r;98430366;19654;157299;5;26
r;330780050;19654;235965;5;26
r;98272310;19654;225270;5;27
r;98272311;19654;213351;5;27
r;98273553;19654;219733;5;27
r;98430365;19654;578417;5;30
r;13620188;19654;158526;5;31
r;98272313;19654;14016;5;31
r;98272314;19654;67449;5;31
r;98272317;19654;62439;5;31
r;12195654;19654;3285;5;32
r;98272315;19654;75197;5;32
r;98272316;19654;52436;5;32
r;12186382;19654;235963;5;35
r;12318195;19654;79954;5;35
r;98272318;19654;29443;5;37
r;98272319;19654;161835;5;40
r;12432544;19654;95212;5;41
r;12188468;19654;228855;5;43
r;577322;19654;64530;5;45
r;12206232;19654;213348;5;51
r;54708412;19654;57307;5;52
r;1594442;19654;213342;5;53
r;54724281;19654;121484;5;53
r;54724280;19654;212;5;54
r;54724277;19654;103205;5;55
r;54724278;19654;21383;5;55
r;54724279;19654;50585;5;56
r;53773937;19654;86521;5;59
r;54724276;19654;61318;5;60
r;53759126;19654;104250;5;64
r;577328;19654;43922;5;75
r;577330;19654;121441;5;78
r;577331;19654;55351;5;79
r;577329;19654;132488;5;80
r;577332;19654;73119;5;80
r;577323;19654;66324;5;81
r;577324;19654;43661;5;81
r;577325;19654;23605;5;81
r;577327;19654;75381;5;85
r;577326;19654;1125;5;86
r;12203113;19654;81444;5;95
r;400208769;171561;19654;5;-20
r;405172309;15318158;19654;5;-20
r;405174185;14934863;19654;5;-20
r;407378604;15256020;19654;5;-20
r;408983017;140213;19654;5;-20
r;10636608;150219;19654;5;1
r;396535367;6819334;19654;5;20
r;400210698;52876;19654;5;20
r;401142227;14957104;19654;5;20
r;401142344;14957103;19654;5;20
r;403775395;15236192;19654;5;20
r;410735026;14921757;19654;5;20
r;330780066;2523975;19654;5;25
r;330780071;168180;19654;5;25
r;390946325;14921104;19654;5;25
r;98343309;161835;19654;5;26
r;98400025;578417;19654;5;26
r;330780053;235964;19654;5;26
r;330780057;235965;19654;5;26
r;348694565;12888861;19654;5;26
r;1762914;228855;19654;5;27
r;13471323;158526;19654;5;27
r;98343900;67449;19654;5;27
r;98344044;221717;19654;5;27
r;98343894;29443;19654;5;28
r;98343899;14016;19654;5;28
r;98343901;75197;19654;5;28
r;98343902;52436;19654;5;28
r;98343903;62439;19654;5;28
r;98344041;219733;19654;5;28
r;98344150;213351;19654;5;28
r;98344149;225270;19654;5;29
r;12205149;213342;19654;5;30
r;98399997;157299;19654;5;30
r;309225063;158158;19654;5;33
r;309437427;1803620;19654;5;34
r;1875134;235963;19654;5;35
r;412974048;15273757;19654;5;35
r;418810626;16072821;19654;5;35
r;1728052;3285;19654;5;37
r;1573507;216099;19654;5;42
r;1546167;213348;19654;5;43
r;408135380;14963854;19654;5;50
r;408135540;15351073;19654;5;50
r;253275;79954;19654;5;51
r;53563273;86521;19654;5;51
r;54751522;212;19654;5;51
r;53592504;104250;19654;5;56
r;55338966;121484;19654;5;56
r;54733629;21383;19654;5;58
r;54740972;61318;19654;5;58
r;55338964;103205;19654;5;59
r;12432146;95212;19654;5;60
r;54641178;57307;19654;5;60
r;54800034;50585;19654;5;60
r;596256;64530;19654;5;61
r;1684540;81444;19654;5;61
r;577360;55351;19654;5;75
r;577370;43922;19654;5;77
r;577319;132488;19654;5;78
r;571575;121441;19654;5;80
r;577357;75381;19654;5;81
r;592457;43661;19654;5;84
r;628982;73119;19654;5;84
r;592459;23605;19654;5;85
r;561962;1125;19654;5;86
r;577308;66324;19654;5;105
