
e;116045;'bidet';1;132
e;125918;'mule';1;152
e;65682;'bourrin';1;58
e;18142;'postier';1;160
e;127802;'mulet';1;152
e;63622;'cob';1;52
e;1531;'cuvette';1;260
e;145246;'cheval';1;3350
e;89812;'canasson';1;84
r;309979352;116045;675513;5;15
r;309568069;116045;5417745;5;25
r;54711255;116045;125918;5;51
r;54860333;116045;65682;5;51
r;54879142;116045;18142;5;52
r;54879141;116045;127802;5;58
r;54879140;116045;63622;5;60
r;723777;116045;1531;5;75
r;723776;116045;145246;5;80
r;723775;116045;89812;5;85
r;309399275;675513;116045;5;33
r;309542235;5417745;116045;5;33
r;54849310;65682;116045;5;54
r;54908689;18142;116045;5;54
r;54723068;127802;116045;5;56
r;54709217;125918;116045;5;58
r;54908686;63622;116045;5;60
r;570014;89812;116045;5;77
r;645044;1531;116045;5;80
r;563631;145246;116045;5;81
