
e;143279;'bouché';1;146
e;10598997;'évier bouché';1;2
e;10334847;'C'est la sardine qui a bouché le port de Marseille';777;0
e;11029237;'ciel bouché';1;0
e;11840310;'lavabo bouché';1;0
e;11123969;'être complètement bouché';1;0
e;15293672;'Il a bouché le trou avec de la terre.';1;0
e;15293664;'J'ai le nez bouché.';1;0
e;3757475;'volume de cidre bouché';1;0
e;2484659;'la sardine qui a bouché le port de Marseille';1;0
e;380325;'son bouché';1;50
e;343941;'cidre bouché';1;64
e;262581;'être bouché à l'émeri';1;4
e;247076;'nez bouché';1;70
e;185074;'bouché à l'émeri';1;52
e;196600;'avoir le nez bouché';1;52
e;199888;'être bouché';1;56
r;264296411;143279;10598997;11;32
r;253388081;143279;10334847;11;36
r;279553105;143279;11029237;11;36
r;306884218;143279;11840310;11;37
r;282454679;143279;11123969;11;50
r;402102584;143279;15293672;11;50
r;402120926;143279;15293664;11;50
r;93665788;143279;3757475;11;51
r;97334564;143279;262583;11;51
r;52483564;143279;2484659;11;57
r;12580171;143279;380325;11;106
r;12728823;143279;343941;11;109
r;8729464;143279;262581;11;160
r;8710584;143279;247076;11;161
r;8644234;143279;185074;11;164
r;8661865;143279;196600;11;164
r;8667428;143279;199888;11;164
