
e;69997;'bref';1;116
e;6354758;'consultation en dermatologie et rapport bref';1;0
e;6401335;'trouble psychotique bref avec facteur de stress marqué';1;0
e;6288888;'sans facteur de stress marqué trouble psychotique bref';1;0
e;6314147;'trouble dépressif bref récurrent';1;0
e;6325775;'trouble psychotique bref avec début lors du post-partum';1;0
e;6351408;'trouble psychotique bref sans facteur de stress marqué';1;0
e;6373764;'cauchemar bref';1;0
e;6321861;'avec facteurs de stress marqués trouble psychotique bref';1;0
e;5701666;'bref langage';777;0
e;10599109;'bref pontifical';777;0
e;10599108;'bref apostolique';777;0
e;15449087;'d'un ton bref';1;0
e;15322675;'en bref,';1;0
e;15398396;'avec un bref signe de tête';1;0
e;15528011;'bref de mise en possession';1;0
e;15288966;'bref rappel';1;0
e;15322666;'bref résumé';1;0
e;15569917;'bref séjour aux USA';1;0
e;15693293;'bref, c'est la vie !';1;0
e;5631735;'a bref';777;0
e;10936461;'Chant bref de Sigurd';777;0
e;5534151;'Wikipédia en bref';777;0
e;6649098;'bref absolutoire';1;0
e;10429778;'Enfin bref';777;0
e;15322668;'Enfin bref,';1;0
e;15580823;'Graham se livra à un bref calcul mental.';1;0
e;2332225;'bref, passons';1;0
e;5138206;'coup bref';1;0
e;340260;'bref réquisitoire';1;50
e;340259;'bref moment';1;50
e;385592;'un bref moment';1;50
e;385591;'un bref instant';1;50
e;351833;'enfin bref';1;50
e;340257;'bref entretien';1;50
e;340258;'bref instant';1;50
e;340256;'bref délai';1;50
e;171475;'en bref';1;54
e;195354;'à bref délai';1;50
e;291128;'trouble psychotique bref';777;50
e;189373;'Pépin le bref';1;50
r;310759270;69997;3185239;11;15
r;310759271;69997;3185240;11;15
r;301763239;69997;6354758;11;25
r;305201866;69997;6401335;11;25
r;298386675;69997;6288888;11;26
r;299631341;69997;6314147;11;26
r;300191678;69997;6325775;11;26
r;301738764;69997;6351408;11;26
r;303173665;69997;6373764;11;26
r;300119544;69997;6321861;11;27
r;112185724;69997;5701666;11;29
r;264442721;69997;10599109;11;30
r;264442726;69997;10599108;11;30
r;419759585;69997;15449087;11;30
r;419837720;69997;15322675;11;30
r;419626814;69997;15398396;11;32
r;419664261;69997;15528011;11;32
r;419664267;69997;15288966;11;32
r;419664271;69997;15322666;11;32
r;419664275;69997;15569917;11;32
r;419664281;69997;15693293;11;32
r;111356645;69997;5631735;11;33
r;275362145;69997;10936461;11;34
r;109480897;69997;5534151;11;42
r;122380009;69997;6649098;11;43
r;256308535;69997;10429778;11;46
r;397501717;69997;15322668;11;50
r;400714749;69997;15580823;11;50
r;34056745;69997;2332225;11;57
r;105889687;69997;5138206;11;58
r;12744221;69997;340260;11;101
r;12744225;69997;340259;11;101
r;12558917;69997;385592;11;107
r;12558921;69997;385591;11;107
r;12696027;69997;351833;11;107
r;12744233;69997;340257;11;109
r;12744229;69997;340258;11;110
r;12744237;69997;340256;11;110
r;8633942;69997;171475;11;162
r;8659787;69997;195354;11;163
r;8758996;69997;291128;11;163
r;8651194;69997;189373;11;164
