
e;43922;'buffet';1;404
e;191127;'cafétaria';1;50
e;13880;'cabinets';1;104
e;276877;'encognure';777;50
e;123621;'cascade';1;204
e;2172;'encoignure';1;56
e;24814;'cabinet';1;788
e;106970;'caisse';1;840
e;45216;'coffre';1;988
e;108463;'ventre';1;1058
e;89591;'table';1;3620
e;46889;'poitrine';1;748
e;85452;'crédence';1;58
e;29443;'estaminet';1;82
e;67148;'bidon';1;180
e;110207;'boiserie';1;62
e;33419;'argentier';1;50
e;64313;'abdomen';1;502
e;86521;'cabaret';1;200
e;104022;'burlingue';1;50
e;132548;'cocktail';1;470
e;89353;'desserte';1;74
e;97173;'magasin';1;3215
e;55239;'lunch';1;96
e;33217;'cantine';1;1518
e;26291;'commode';1;340
e;29902;'bahut';1;104
e;66324;'café';1;3800
e;19654;'bar';1;2502
e;23605;'brasserie';1;644
e;55351;'buvette';1;98
e;131793;'bedaine';1;110
e;79954;'restaurant';1;5296
e;9084;'vaisselier';1;136
e;43751;'armoire';1;1156
e;10231;'cafétéria';1;274
e;126762;'placard';1;982
e;21494;'dressoir';1;58
e;150219;'restau';1;174
r;416418256;43922;15241699;5;15
r;309894311;43922;1803620;5;25
r;310037953;43922;598198;5;25
r;310049185;43922;597445;5;25
r;310121195;43922;589196;5;25
r;310205833;43922;158158;5;25
r;390939031;43922;14923119;5;25
r;61421370;43922;191127;5;26
r;213816380;43922;8084958;5;27
r;310046282;43922;597549;5;29
r;310167621;43922;457109;5;29
r;85835571;43922;13880;5;34
r;1965015;43922;225808;5;35
r;34541648;43922;213343;5;35
r;62031552;43922;276877;5;37
r;54724337;43922;123621;5;51
r;54638707;43922;2172;5;52
r;54687214;43922;24814;5;52
r;54694218;43922;106970;5;52
r;54694249;43922;45216;5;52
r;54698129;43922;108463;5;52
r;54701264;43922;89591;5;52
r;54628913;43922;46889;5;53
r;1573433;43922;85452;5;55
r;54724335;43922;29443;5;55
r;54724336;43922;67148;5;56
r;54724338;43922;110207;5;57
r;54724339;43922;33419;5;57
r;53770657;43922;64313;5;59
r;53773939;43922;86521;5;59
r;54169985;43922;104022;5;61
r;53760276;43922;132548;5;64
r;53756617;43922;89353;5;65
r;53742128;43922;97173;5;67
r;577369;43922;55239;5;76
r;577374;43922;33217;5;76
r;577377;43922;26291;5;76
r;577367;43922;29902;5;77
r;577368;43922;66324;5;77
r;577370;43922;19654;5;77
r;577376;43922;23605;5;78
r;577365;43922;55351;5;79
r;577373;43922;131793;5;79
r;12318883;43922;79954;5;79
r;577375;43922;9084;5;80
r;577364;43922;43751;5;81
r;577371;43922;10231;5;81
r;577372;43922;126762;5;81
r;577366;43922;21494;5;82
r;10636678;150219;43922;5;1
r;2162909;240926;43922;5;5
r;395984835;15339527;43922;5;10
r;412017908;14948553;43922;5;10
r;405759495;15241699;43922;5;20
r;390939033;14923119;43922;5;25
r;1965191;225808;43922;5;30
r;309225060;158158;43922;5;33
r;309253673;457109;43922;5;33
r;309293153;589196;43922;5;33
r;309350694;597445;43922;5;33
r;309352246;597549;43922;5;33
r;309358526;598198;43922;5;33
r;309437425;1803620;43922;5;33
r;85797343;13880;43922;5;34
r;237659;79954;43922;5;51
r;34541461;213343;43922;5;51
r;54659877;89591;43922;5;51
r;54664457;108463;43922;5;52
r;54670674;106970;43922;5;53
r;54751352;67148;43922;5;53
r;54789337;33419;43922;5;53
r;53582729;64313;43922;5;54
r;53591396;132548;43922;5;54
r;54619817;46889;43922;5;54
r;54683926;24814;43922;5;54
r;54670624;45216;43922;5;55
r;54740271;110207;43922;5;56
r;53563275;86521;43922;5;57
r;53595258;89353;43922;5;57
r;53609360;97173;43922;5;57
r;53893085;104022;43922;5;57
r;54722924;123621;43922;5;59
r;54601055;2172;43922;5;60
r;54787765;29443;43922;5;60
r;61528076;276877;43922;5;60
r;577328;19654;43922;5;75
r;679274;21494;43922;5;75
r;730970;131793;43922;5;76
r;577409;26291;43922;5;77
r;579087;33217;43922;5;77
r;666310;9084;43922;5;77
r;577381;43751;43922;5;78
r;577425;29902;43922;5;79
r;577391;126762;43922;5;81
r;674419;10231;43922;5;81
r;61042753;191127;43922;5;81
r;577362;55351;43922;5;83
r;695303;55239;43922;5;84
r;577306;66324;43922;5;85
r;592462;23605;43922;5;85
r;12205532;85452;43922;5;85
r;212201084;8084958;43922;5;87
