
e;54620;'cadre';1;464
e;89674;'cadrer';1;76
e;15773602;'encadrement de la porte';1;0
e;13844;'théâtre';1;2982
e;102332;'supérieure';1;80
e;142537;'cercle';1;958
e;106970;'caisse';1;840
e;89926;'chef';1;1863
e;9835;'bâti';1;90
e;42731;'contenant';1;392
e;89424;'hiérarchie';1;244
e;124271;'schéma';1;160
e;12824;'passe-partout';1;96
e;26406;'entour';1;50
e;109771;'responsable';1;250
e;143017;'marie-louise';1;50
e;42359;'bourgeois';1;176
e;79534;'entourage';1;118
e;102360;'liste';1;246
e;139743;'enveloppe';1;874
e;104323;'orbite';1;392
e;69665;'plan';1;574
e;123373;'chambranle';1;64
e;31129;'contrainte';1;232
e;52815;'corset';1;108
e;64633;'disposition';1;198
e;106265;'appareil';1;1156
e;15117;'cartouche';1;226
e;54033;'coffrage';1;76
e;103105;'conteneur';1;70
e;125205;'carcasse';1;118
e;59678;'compagnie';1;320
e;65064;'ensemble';1;834
e;12325;'supérieur';1;332
e;139869;'charpente';1;286
e;81161;'domaine';1;336
e;1555;'canevas';1;58
e;39716;'huisserie';1;100
e;136293;'châssis';1;98
e;43583;'manager';1;122
e;77647;'ossature';1;160
e;140060;'limite';1;400
e;73791;'boisage';1;52
e;63985;'bord';1;362
e;129480;'décor';1;258
e;117325;'environnement';1;796
e;143408;'milieu';1;626
e;38296;'bordure';1;208
e;56983;'carcan';1;68
e;75003;'tableau';1;2611
e;141761;'borne';1;136
e;131886;'encadrement';1;126
e;9650;'sphère';1;226
r;85797256;54620;89674;5;-26
r;309792290;54620;453166;5;15
r;309990068;54620;631727;5;15
r;310101478;54620;592388;5;15
r;416443643;54620;15773602;5;15
r;416493378;54620;15112046;5;15
r;309726084;54620;1231840;5;21
r;309958762;54620;1217962;5;21
r;310062214;54620;596730;5;22
r;309955049;54620;1362033;5;24
r;309960431;54620;1191143;5;25
r;309996019;54620;608947;5;25
r;310009043;54620;600171;5;25
r;310009247;54620;600149;5;25
r;310049191;54620;597445;5;25
r;310128438;54620;588323;5;25
r;390971465;54620;14925621;5;25
r;574541;54620;13844;5;27
r;85642852;54620;102332;5;29
r;3181981;54620;224394;5;30
r;310015015;54620;599937;5;30
r;54721305;54620;142537;5;51
r;54694216;54620;106970;5;52
r;54700746;54620;89926;5;52
r;54705258;54620;9835;5;52
r;54721307;54620;42731;5;53
r;54721310;54620;89424;5;53
r;54721314;54620;124271;5;53
r;54721312;54620;12824;5;54
r;54721315;54620;26406;5;54
r;54721313;54620;109771;5;55
r;54721311;54620;143017;5;56
r;54721316;54620;42359;5;56
r;54721306;54620;79534;5;57
r;54721309;54620;102360;5;57
r;53778343;54620;139743;5;58
r;53772520;54620;104323;5;59
r;53777156;54620;69665;5;59
r;54721318;54620;123373;5;59
r;54721321;54620;31129;5;59
r;54721322;54620;52815;5;59
r;54243594;54620;64633;5;60
r;54721308;54620;106265;5;60
r;54721317;54620;15117;5;60
r;54721319;54620;54033;5;60
r;54721320;54620;103105;5;60
r;53762174;54620;125205;5;63
