
e;66324;'café';1;3800
e;155432;'noirs';1;130
e;140213;'d'autant';1;50
e;171561;'ex æquo';1;54
e;52876;'ex aequo';1;50
e;15256020;'conjoint, conjointe';1;0
e;140927;'Noir';1;54
e;191127;'cafétaria';1;50
e;2560684;'cafetard';1;0
e;49002;'kawa';1;66
e;2434434;'bouzin';1;0
e;3285;'débit de boissons';1;116
e;66833;'petit noir';1;84
e;216939;'cafe';1;50
e;100537;'bouiboui';1;50
e;93010;'double-crème';1;50
e;64530;'bistro';1;134
e;158526;'débit de boisson';1;194
e;256165;'bouig-bouig';1;50
e;64089;'cafeton';1;50
e;62439;'bistroquet';1;54
e;50585;'bibine';1;134
e;113547;'boisson';1;3942
e;51134;'bousin';1;60
e;53310;'jus';1;616
e;90043;'express';1;76
e;32866;'lavasse';1;66
e;21383;'débit';1;164
e;93090;'bougnat';1;52
e;121129;'bouchon';1;612
e;181;'cambuse';1;82
e;10231;'cafétéria';1;274
e;121441;'zinc';1;174
e;8218;'popine';1;50
e;42798;'tapis-franc';1;50
e;11621;'bistouille';1;50
e;39600;'gloria';1;50
e;91627;'gargote';1;92
e;2977;'café-concert';1;70
e;71093;'café-théâtre';1;60
e;86521;'cabaret';1;200
e;75197;'caboulot';1;52
e;28570;'filtre';1;350
e;23605;'brasserie';1;644
e;79954;'restaurant';1;5296
e;55351;'buvette';1;98
e;43812;'cappuccino';1;78
e;29443;'estaminet';1;82
e;75381;'troquet';1;142
e;64238;'noir';1;3847
e;52436;'mastroquet';1;52
e;81444;'bistrot';1;766
e;43661;'taverne';1;90
e;132488;'pub';1;360
e;28113;'boui-boui';1;74
e;45415;'assommoir';1;50
e;121941;'caoua';1;72
e;43922;'buffet';1;404
e;44001;'crème';1;1170
e;19654;'bar';1;2502
e;150219;'restau';1;174
e;16072821;'Débit de boissons';1;0
r;85504165;66324;155432;5;-29
r;416387324;66324;140213;5;-15
r;309630834;66324;2585756;5;-10
r;416641832;66324;14934863;5;-10
r;416641861;66324;15318158;5;-10
r;309894318;66324;1803621;5;-5
r;310089830;66324;593939;5;-5
r;310119881;66324;589540;5;-5
r;418682115;66324;171561;5;-5
r;418682045;66324;15236192;5;5
r;418682073;66324;52876;5;5
r;418716691;66324;14957103;5;5
r;418716716;66324;14957104;5;5
r;418735671;66324;6819334;5;5
r;416587345;66324;15256020;5;10
r;331664991;66324;438952;5;15
r;331664993;66324;438953;5;15
r;416368589;66324;15351073;5;15
r;416368606;66324;14963854;5;15
r;416368616;66324;14921757;5;15
r;416483069;66324;15419240;5;15
r;416483071;66324;15419238;5;15
r;416483073;66324;15419239;5;15
r;416483078;66324;15419233;5;15
r;416483086;66324;15419232;5;15
r;416211473;66324;15053319;5;20
r;416211500;66324;15194837;5;20
r;416230530;66324;15273757;5;20
r;309607401;66324;3349770;5;25
r;309894316;66324;1803620;5;25
r;310089828;66324;593938;5;25
r;310119879;66324;589539;5;25
r;310885997;66324;140927;5;25
r;390971427;66324;14925658;5;25
r;61421372;66324;191127;5;26
r;82886871;66324;2560684;5;26
r;98343441;66324;156975;5;26
r;12322246;66324;49002;5;27
r;98818284;66324;2434434;5;27
r;12195652;66324;3285;5;28
r;3144531;66324;66833;5;29
r;216244432;66324;216939;5;29
r;13621769;66324;100537;5;30
r;425284212;66324;66324;5;30
r;12205891;66324;214940;5;31
r;12320383;66324;93010;5;31
r;577311;66324;64530;5;32
r;13620186;66324;158526;5;32
r;2022786;66324;216243;5;34
r;13621777;66324;256165;5;34
r;54724252;66324;64089;5;50
r;12394477;66324;62439;5;51
r;54724237;66324;50585;5;51
r;54686683;66324;113547;5;52
r;54724240;66324;51134;5;52
r;54724245;66324;53310;5;52
