
e;42992;'calme';1;1918
e;6351028;'sommeil calme';1;0
e;13884935;'On se calme';777;0
e;15306818;'Les policiers sont entraînés à garder leur calme.';1;0
e;15212358;'N'importe qui peut tenir la barre quand la mer est calme.';1;0
e;15769454;'Quel calme sans lui!';1;0
e;15400689;'Un grand calme régnait dans la pièce.';1;0
e;15354873;'appel au calme';1;0
e;15426331;'appeler au calme';1;0
e;15355401;'après le calme vient la tempête';1;0
e;15355400;'après le calme, la tempête';1;0
e;15231251;'avec calme';1;0
e;15569233;'calme après la tempête';1;0
e;15277914;'d'un calme olympien';1;0
e;15204169;'dans le calme';1;0
e;15426332;'du calme !';1;0
e;15197805;'eau calme';1;0
e;9980396;'se départir de son calme';1;0
e;11349021;'Le calme règne dans le pays';777;0
e;11978727;'rester au calme';1;0
e;10498006;'L'Année du soleil calme';777;0
e;6595058;'On se calme et on boit frais à Saint-Tropez';777;0
e;13294041;'calme affiché';1;0
e;2454390;'pays du Matin calme';1;0
e;12774325;'Tout est calme';777;0
e;5984380;'jardin du matin calme';777;0
e;12699807;'mer calme';1;0
e;15379474;'Elle est restée très calme.';1;0
e;15351562;'Il régnait tout à coup un calme quasi surnaturel.';1;0
e;15334978;'Ils ont manifesté dans le calme.';1;0
e;15332111;'Il a gardé son calme.';1;0
e;15252624;'Cette pommade calme les démangeaisons.';1;0
e;15573167;'Du calme !';1;0
e;15573180;'Il a lancé un appel au calme.';1;0
e;1661965;'trop calme';1;0
e;3771033;'calme ta joie';1;0
e;346514;'dans un certain calme';1;50
e;341076;'calme social';1;50
e;379297;'sensation de calme';1;50
e;364752;'moment de calme';1;50
e;341075;'calme précaire';1;50
e;390499;'étrangement calme';1;50
e;361069;'le calme qui annoncer la tempête pour';1;50
e;363319;'marché calme';1;50
e;247191;'être au calme';1;52
e;259830;'être calme';1;90
e;244931;'retour au calme';1;52
e;245769;'perdre son calme';1;54
e;257538;'temps calme';1;56
e;161843;'grand calme';1;54
e;204269;'ne pas se départir de son calme';1;50
e;204696;'on se calme';1;50
e;206679;'ramener le calme';1;50
e;166642;'du calme';1;52
e;166643;'au calme';1;52
e;153518;'le calme avant la tempête';1;50
e;161879;'rester calme';1;58
e;153979;'calme avant la tempête';1;50
e;164203;'calme olympien';1;60
e;156602;'garder son calme';1;68
e;156603;'calme plat';1;62
r;301736425;42992;6351028;11;25
r;351460043;42992;13884935;11;25
r;419496910;42992;15306818;11;25
r;419511033;42992;15212358;11;25
r;419531406;42992;15769454;11;25
r;419557598;42992;15400689;11;25
r;419602844;42992;15354873;11;25
r;419603170;42992;15426331;11;25
r;419605197;42992;15355401;11;25
r;419605205;42992;15355400;11;25
r;419625989;42992;15231251;11;25
r;419677399;42992;15569233;11;25
r;419759402;42992;15277914;11;25
r;419763552;42992;15204169;11;25
r;419800785;42992;15426332;11;25
r;419831943;42992;15197805;11;25
r;310758337;42992;2349810;11;30
r;222103512;42992;9980396;11;31
r;290776505;42992;11349021;11;33
r;311677653;42992;11978727;11;34
r;261004763;42992;10498006;11;42
r;122104601;42992;6595058;11;43
r;338932443;42992;13294041;11;44
r;55558259;42992;2454390;11;46
r;327887191;42992;12774325;11;46
r;117896388;42992;5984380;11;49
r;325540057;42992;12699807;11;50
r;397498587;42992;15379474;11;50
r;402109258;42992;15351562;11;50
r;402112711;42992;15334978;11;50
r;402103158;42992;15332111;11;50
r;395014045;42992;15252624;11;50
r;399661725;42992;15573167;11;50
r;402103294;42992;15573180;11;50
r;27612322;42992;1661965;11;54
r;94629581;42992;3771033;11;56
r;12717563;42992;346514;11;101
r;12740853;42992;341076;11;101
r;12584383;42992;379297;11;102
r;12643263;42992;364752;11;102
r;12740857;42992;341075;11;106
r;12539977;42992;390499;11;108
r;12658481;42992;361069;11;108
r;12649181;42992;363319;11;110
r;8710678;42992;247191;11;160
r;8726118;42992;259830;11;160
r;8709089;42992;244931;11;161
r;8709594;42992;245769;11;161
r;8722772;42992;257538;11;161
r;8627660;42992;161843;11;162
r;8675091;42992;204269;11;162
r;8675767;42992;204696;11;162
r;8678861;42992;206679;11;163
r;443713;42992;166642;11;187
r;443714;42992;166643;11;187
r;140567;42992;153518;11;188
r;357503;42992;161879;11;188
r;154247;42992;153979;11;189
r;393363;42992;164203;11;198
r;211389;42992;156602;11;229
r;211390;42992;156603;11;229
