
e;90075;'chambre';1;5104
e;119457;'canfouine';1;50
e;43008;'chambrer';1;70
e;82864;'garderie';1;148
e;167007;'chambre d'enfant';1;80
e;89236;'sas';1;94
e;13880;'cabinets';1;104
e;152217;'chambre à coucher';1;342
e;153282;'nurserie';1;52
e;2359437;'galta';1;0
e;2380235;'gourbil';1;0
e;119686;'poêle';1;320
e;63277;'studette';1;82
e;136372;'tourelle';1;66
e;48727;'chambrette';1;58
e;120100;'parlement';1;146
e;53673;'creux';1;378
e;38644;'nursery';1;52
e;74846;'corps';1;4798
e;46912;'association';1;440
e;55504;'cavité';1;292
e;55006;'reposée';1;68
e;144943;'vide';1;1428
e;1592;'chambrée';1;54
e;69474;'cambriole';1;50
e;96518;'antichambre';1;58
e;132527;'tribunal';1;1592
e;143377;'sénat';1;82
e;42074;'dortoir';1;256
e;38966;'alcôve';1;60
e;139115;'demeure';1;156
e;32649;'mansarde';1;86
e;5808;'galetas';1;64
e;89274;'crèche';1;284
e;48361;'carrée';1;80
e;145258;'alvéole';1;120
e;85928;'compartiment';1;84
e;13855;'conseil';1;346
e;139209;'salle';1;1508
e;120511;'assemblée';1;382
e;5321;'local';1;180
e;52423;'abri';1;702
e;103057;'cellule';1;1568
e;91358;'appartement';1;2628
e;79796;'gourbi';1;56
e;123608;'studio';1;548
e;98305;'cagibi';1;60
e;181;'cambuse';1;82
e;112909;'piaule';1;60
e;23235;'case';1;164
e;24814;'cabinet';1;788
e;7899;'habitation';1;880
e;94596;'logement';1;1118
e;96851;'pièce';1;3162
e;96219;'cabine';1;336
e;68596;'taule';1;88
e;43982;'turne';1;58
e;73167;'pouponnière';1;50
e;15411577;'entreprise horticole';1;0
r;53590188;90075;119457;5;-34
r;85331562;90075;43008;5;-26
r;429252076;90075;82864;5;6
r;309984447;90075;673419;5;15
r;309984449;90075;673420;5;15
r;391278870;90075;14930941;5;15
r;416592333;90075;14927209;5;15
r;416373741;90075;167007;5;20
r;309874182;90075;590239;5;21
r;309745279;90075;650322;5;25
r;309745281;90075;650323;5;25
r;309761545;90075;156999;5;25
r;309761547;90075;157000;5;25
r;309761549;90075;1905175;5;25
r;309919227;90075;587303;5;25
r;309919229;90075;587304;5;25
r;310036816;90075;598285;5;25
r;554839;90075;89236;5;27
r;309667521;90075;581344;5;27
r;309874184;90075;590240;5;28
r;85835533;90075;13880;5;29
r;309667519;90075;581343;5;30
r;310036818;90075;598286;5;30
r;12200663;90075;152217;5;34
r;193674875;90075;153282;5;34
r;61421328;90075;2359437;5;39
r;61424177;90075;2380235;5;39
r;53590180;90075;119686;5;58
r;53590182;90075;63277;5;59
r;53590183;90075;136372;5;59
r;53590187;90075;48727;5;59
r;53590179;90075;120100;5;61
r;53590184;90075;53673;5;61
r;53590178;90075;38644;5;63
r;53590185;90075;74846;5;63
r;53590190;90075;46912;5;63
r;53590175;90075;55504;5;64
r;53590181;90075;55006;5;68
r;53590168;90075;144943;5;71
r;53590186;90075;1592;5;71
r;53590189;90075;69474;5;73
r;53590191;90075;96518;5;80
r;554832;90075;132527;5;85
r;554840;90075;143377;5;85
r;554837;90075;42074;5;86
r;554834;90075;38966;5;88
r;53590173;90075;139115;5;97
r;53590170;90075;32649;5;103
r;53590172;90075;5808;5;105
r;53590174;90075;89274;5;106
r;53590176;90075;48361;5;116
r;53590177;90075;145258;5;116
r;554833;90075;85928;5;118
r;554836;90075;13855;5;130
r;53590169;90075;139209;5;132
r;554831;90075;120511;5;133
r;53590171;90075;5321;5;134
r;53590160;90075;52423;5;135
r;12203115;90075;103057;5;144
r;53590167;90075;91358;5;146
r;53590165;90075;79796;5;158
r;554841;90075;123608;5;160
r;53590166;90075;98305;5;162
r;53590164;90075;181;5;180
r;53590162;90075;112909;5;184
r;53590163;90075;23235;5;185
r;53590161;90075;24814;5;186
r;53590159;90075;7899;5;189
r;554838;90075;94596;5;190
r;554830;90075;96851;5;191
r;554835;90075;96219;5;191
r;576867;90075;68596;5;194
r;576868;90075;43982;5;206
r;72855128;119457;90075;5;-41
r;85358702;43008;90075;5;-9
r;397007584;73167;90075;5;10
r;397731616;15411577;90075;5;10
r;418971486;16076270;90075;5;10
r;403944074;82864;90075;5;11
r;85797324;13880;90075;5;29
r;711433;89236;90075;5;30
r;309218194;156999;90075;5;33
r;309218195;157000;90075;5;33
r;309218196;1905175;90075;5;33
r;309273440;581343;90075;5;33
r;309273441;581344;90075;5;33
r;309281449;587303;90075;5;33
r;309281450;587304;90075;5;33
