
e;74026;'changé';1;80
e;14510862;'ne pas avoir changé';1;0
e;15364091;'elle a changé d'emploi';1;0
e;10951600;'Ils ont changé ma chanson';777;0
e;11807439;'liste des communes françaises ayant changé de nom au cours de la Révolution';777;0
e;15364097;'Nous avons changé de partenaire.';1;0
e;16095800;'Qu'y-a-t'il de changé';777;0
e;16095799;'Qu'y a-t-il de changé';777;0
e;5838902;'le code a changé';777;0
e;16095792;'Le Lit de Lola / Qu'y a-t'il de changé / Et si je t'aime';777;0
e;15364095;'La ville a beaucoup changé.';1;0
e;15364099;'La société a changé d'image.';1;0
e;15531285;'La donne a changé.';1;0
e;9397621;'avoir changé';1;0
e;15364087;'J'ai changé la combinaison de mon antivol.';1;0
e;15364079;'J'ai changé les draps ce matin.';1;0
e;15364093;'Il a changé d'avis.';1;0
e;15364073;'Il a changé de couleur.';1;0
e;15364083;'Il a changé de place avec Thierry.';1;0
e;15354499;'Il n'a pas beaucoup changé.';1;0
e;15364085;'Il a de nouveau changé de voiture.';1;0
e;15364069;'Il a changé en bien.';1;0
e;15364081;'Il a drôlement changé, dis donc!';1;0
e;15364071;'J'ai changé d'avis.';1;0
e;15364075;'J'ai changé trois cents euros.';1;0
e;15364101;'Ils ont changé le nom de la rue.';1;0
e;3197152;'contre-changé';1;0
e;199032;'écu changé, écu mangé';1;50
e;330764;'être changé en statue de sel';1;50
e;9812;'changé en femme';1;50
r;368488445;74026;14510862;11;26
r;310278321;74026;3212967;11;30
r;310278322;74026;3212968;11;30
r;419833658;74026;15364091;11;30
r;275828487;74026;10951600;11;33
r;304447312;74026;11807439;11;33
r;419514463;74026;15364097;11;34
r;419907740;74026;16095800;11;34
r;419910714;74026;16095799;11;34
r;114011429;74026;5838902;11;35
r;419902231;74026;16095792;11;36
r;417155848;74026;15364095;11;38
r;417155198;74026;15364099;11;39
r;417031905;74026;15531285;11;45
r;213485893;74026;9397621;11;50
r;402120360;74026;15364087;11;50
r;402120366;74026;15364079;11;50
r;402102604;74026;15364093;11;50
r;402102608;74026;15364073;11;50
r;402102612;74026;15364083;11;50
r;402108020;74026;15354499;11;50
r;402102678;74026;15364085;11;50
r;402102618;74026;15364069;11;50
r;402102770;74026;15364081;11;50
r;402120356;74026;15364071;11;50
r;402120372;74026;15364075;11;50
r;402112243;74026;15364101;11;50
r;77364055;74026;3197152;11;57
r;14343142;74026;199032;11;59
r;12014710;74026;330764;11;134
r;8573201;74026;9812;11;168
