
e;34157;'chocolat';1;3306
e;132479;'marron';1;694
e;141120;'praline';1;106
e;161947;'Nutella';1;212
e;339571;'bonbon de chocolat';1;50
e;156524;'nutella';1;200
e;67811;'désappointé';1;62
e;68363;'cacao';1;794
e;7170;'pastille';1;134
e;145064;'plaque';1;390
e;56822;'bille';1;280
e;40545;'truffe';1;346
e;120500;'bonbon';1;2054
e;14189;'brun';1;402
e;29118;'tablette';1;524
e;139383;'crotte';1;418
e;104695;'croquette';1;132
e;113547;'boisson';1;3942
e;6657;'bouchée';1;188
r;309687939;34157;2338333;5;25
r;309746094;34157;594649;5;25
r;309746096;34157;594650;5;25
r;309953544;34157;1448611;5;25
r;309976882;34157;676667;5;25
r;309976884;34157;676668;5;25
r;309995938;34157;609419;5;25
r;309995940;34157;609420;5;25
r;310013431;34157;600015;5;25
r;310013433;34157;600016;5;25
r;1722845;34157;132479;5;26
r;83654571;34157;141120;5;28
r;13620890;34157;161947;5;29
r;1697922;34157;225125;5;30
r;1985581;34157;215659;5;30
r;83654570;34157;339571;5;35
r;356659;34157;156524;5;52
r;53549650;34157;67811;5;56
r;356661;34157;68363;5;60
r;53549648;34157;7170;5;60
r;53549649;34157;145064;5;60
r;53547891;34157;56822;5;75
r;566620;34157;40545;5;76
r;566619;34157;120500;5;77
r;566617;34157;14189;5;78
r;566618;34157;29118;5;82
r;566622;34157;139383;5;82
r;1697876;34157;104695;5;82
r;566616;34157;113547;5;85
r;566621;34157;6657;5;90
r;395766563;15239609;34157;5;10
r;1568468;215659;34157;5;28
r;12202435;225125;34157;5;28
r;12317229;156524;34157;5;28
r;13452755;161947;34157;5;28
r;83654573;141120;34157;5;28
r;672901;6657;34157;5;29
r;83654568;339571;34157;5;29
r;12200070;132479;34157;5;31
r;309326003;594649;34157;5;33
r;309326004;594650;34157;5;33
r;309375967;600015;34157;5;33
r;309375968;600016;34157;5;33
r;309389615;609419;34157;5;33
r;309389616;609420;34157;5;33
r;309400117;676667;34157;5;33
r;309400118;676668;34157;5;33
r;309414657;1448611;34157;5;33
r;309501174;2338333;34157;5;33
r;53778149;7170;34157;5;58
r;53778151;145064;34157;5;58
r;53778153;67811;34157;5;58
r;53760763;56822;34157;5;64
r;682495;29118;34157;5;76
r;566605;113547;34157;5;78
r;12202446;104695;34157;5;78
r;564812;120500;34157;5;82
r;701400;68363;34157;5;82
r;573076;14189;34157;5;83
r;672035;139383;34157;5;84
r;566626;40545;34157;5;85
