
e;95376;'climatisation';1;132
e;248498;'repli sur soi';1;30
e;15220992;'fermeture sur soi';1;0
e;15459566;'repli national';1;0
e;124000;'ventilation';1;104
e;146025;'air';1;2062
e;144609;'climatiseur';1;102
e;252389;'clim';1;46
e;148219;'froids';1;54
e;49803;'froid';1;4221
e;62046;'chauffage';1;520
e;94544;'isolation';1;188
e;10463;'conditionnement';1;106
e;40531;'température';1;1465
e;119053;'air conditionné';1;82
e;6445061;'appareil de conditionnement d'air';1;0
r;418634929;95376;248498;5;10
r;416251582;95376;15076889;5;20
r;416251594;95376;15389186;5;20
r;416354650;95376;7021739;5;20
r;416372985;95376;14944566;5;20
r;416372996;95376;15220992;5;20
r;416437659;95376;15367403;5;20
r;309997629;95376;605956;5;25
r;310133850;95376;587342;5;25
r;335807870;95376;7096305;5;25
r;416230129;95376;15459566;5;25
r;416230139;95376;15459567;5;25
r;213816045;95376;6876875;5;28
r;310082337;95376;157014;5;28
r;423935319;95376;124000;5;29
r;714087;95376;146025;5;30
r;1736533;95376;144609;5;30
r;3145111;95376;252389;5;30
r;85505935;95376;148219;5;30
r;54689374;95376;49803;5;58
r;54843528;95376;62046;5;58
r;55074223;95376;94544;5;58
r;53758900;95376;10463;5;73
r;53715943;95376;40531;5;79
r;714088;95376;119053;5;92
r;332948250;6445061;95376;5;10
r;405092278;15060034;95376;5;10
r;405092968;14936481;95376;5;10
r;405093687;15272203;95376;5;10
r;405094398;7040925;95376;5;10
r;404439474;248498;95376;5;20
r;413624039;15459567;95376;5;25
r;85399932;148219;95376;5;26
r;423935321;124000;95376;5;27
r;555402;146025;95376;5;29
r;3146123;144609;95376;5;31
r;309215853;157014;95376;5;33
r;309281594;587342;95376;5;33
r;309387445;605956;95376;5;33
r;330520295;7096305;95376;5;35
r;412918181;15389186;95376;5;40
r;412918307;15076889;95376;5;40
r;412978857;15459566;95376;5;40
r;54679086;49803;95376;5;57
r;54757014;62046;95376;5;63
r;12171115;252389;95376;5;65
r;395914620;7021739;95376;5;65
r;53592692;10463;95376;5;70
r;212258270;6876875;95376;5;75
r;394859480;15220992;95376;5;75
r;398080416;14944566;95376;5;75
r;395914415;15367403;95376;5;80
r;725008;119053;95376;5;83
r;55073686;94544;95376;5;84
r;53685655;40531;95376;5;86
