
e;45216;'coffre';1;988
e;121983;'coffiot';1;52
e;2413227;'Arches';1;0
e;132044;'coffrer';1;98
e;140429;'chasse';1;882
e;13880;'cabinets';1;104
e;101522;'baguier';1;50
e;152257;'coffre fort';1;68
e;2361335;'poisson-lapin';1;0
e;63718;'huis';1;66
e;44024;'poisson-coffre';1;50
e;177332;'poisson-ballon';1;50
e;101938;'estomac';1;850
e;24814;'cabinet';1;788
e;67148;'bidon';1;180
e;66386;'toupet';1;62
e;105934;'pectoraux';1;140
e;197440;'chambre forte';1;72
e;114867;'caisson';1;70
e;43922;'buffet';1;404
e;45297;'boîtier';1;68
e;88635;'layette';1;60
e;26291;'commode';1;340
e;25797;'pétrin';1;176
e;121304;'coffret';1;194
e;42842;'gaine';1;114
e;144402;'arche';1;98
e;21269;'écrin';1;70
e;43751;'armoire';1;1156
e;3558;'culot';1;150
e;130747;'maie';1;52
e;101260;'arcasse';1;50
e;131793;'bedaine';1;110
e;141217;'châsse';1;66
e;7575;'boîte';1;1126
e;134155;'cassette';1;168
e;29902;'bahut';1;104
e;59755;'coffre-fort';1;226
e;110603;'saloir';1;60
e;80499;'huche';1;58
e;106970;'caisse';1;840
e;46346;'malle';1;252
e;46889;'poitrine';1;748
e;145252;'souffle';1;352
e;106562;'thorax';1;312
e;33217;'cantine';1;1518
e;254832;'K7';1;8
e;320269;'salle des coffres';1;52
r;54670634;45216;121983;5;-50
r;54303865;45216;2413227;5;-30
r;85792533;45216;132044;5;-25
r;416418261;45216;15241699;5;15
r;416453000;45216;15047033;5;15
r;416516844;45216;14927023;5;15
r;416541863;45216;14928913;5;15
r;310046214;45216;597549;5;23
r;310121193;45216;589196;5;23
r;310037941;45216;598198;5;25
r;310049099;45216;597445;5;25
r;310097656;45216;593117;5;25
r;329658151;45216;140429;5;25
r;12182418;45216;225194;5;26
r;85835581;45216;13880;5;28
r;12186651;45216;101522;5;34
r;13621789;45216;152257;5;34
r;61553130;45216;2361335;5;39
r;12201709;45216;225908;5;40
r;62030336;45216;63718;5;40
r;59488282;45216;44024;5;41
r;61224261;45216;177332;5;47
r;54670627;45216;101938;5;51
r;54670640;45216;24814;5;51
r;54670638;45216;67148;5;52
r;54589291;45216;66386;5;53
r;54670632;45216;105934;5;53
r;54670635;45216;197440;5;53
r;54670641;45216;114867;5;54
r;54670624;45216;43922;5;55
r;54670639;45216;45297;5;55
r;54670631;45216;88635;5;56
r;54670629;45216;26291;5;57
r;54670633;45216;25797;5;57
r;54670628;45216;121304;5;58
r;54670630;45216;42842;5;58
r;54670637;45216;144402;5;58
r;54670642;45216;21269;5;59
r;53766225;45216;43751;5;60
r;54670625;45216;3558;5;60
r;54670626;45216;130747;5;60
r;54670636;45216;101260;5;60
r;559438;45216;131793;5;75
r;559439;45216;141217;5;75
r;559441;45216;7575;5;77
r;559436;45216;134155;5;78
r;559435;45216;29902;5;79
r;559442;45216;59755;5;79
r;559440;45216;110603;5;81
r;559445;45216;80499;5;81
r;559444;45216;106970;5;82
r;559448;45216;46346;5;82
r;559437;45216;46889;5;83
r;559443;45216;145252;5;85
r;559446;45216;106562;5;85
r;559447;45216;33217;5;85
r;54290059;2413227;45216;5;-54
r;72860998;121983;45216;5;-50
r;10729078;254832;45216;5;1
r;390182314;14928911;45216;5;10
r;390183161;14928912;45216;5;10
r;390183390;14926183;45216;5;10
r;390183821;7586643;45216;5;10
r;390184857;7808085;45216;5;10
r;390185247;14926564;45216;5;10
r;390185695;6994172;45216;5;10
r;409512606;320269;45216;5;10
r;390183629;14928913;45216;5;20
r;405759500;15241699;45216;5;20
r;329658152;140429;45216;5;25
r;2031727;225194;45216;5;28
r;85797348;13880;45216;5;29
r;407357694;15047033;45216;5;30
r;408128855;14927023;45216;5;30
r;309293152;589196;45216;5;33
r;309314473;593117;45216;5;33
r;309350735;597445;45216;5;33
r;309352212;597549;45216;5;33
r;309358520;598198;45216;5;33
r;13431575;152257;45216;5;37
r;54694261;105934;45216;5;37
r;1710644;225908;45216;5;41
r;59505333;44024;45216;5;48
r;60212039;177332;45216;5;48
r;61167812;2361335;45216;5;48
r;54585495;66386;45216;5;51
r;54694249;43922;45216;5;52
r;54694251;3558;45216;5;52
r;54694252;130747;45216;5;52
r;54694254;101938;45216;5;52
r;54694255;121304;45216;5;52
r;54694256;26291;45216;5;52
r;54694258;42842;45216;5;52
r;54694260;88635;45216;5;52
r;54694262;25797;45216;5;52
r;54694264;197440;45216;5;52
r;54694266;101260;45216;5;52
r;54694268;144402;45216;5;52
r;54694270;67148;45216;5;52
r;54694274;114867;45216;5;52
r;54694276;21269;45216;5;52
r;54683929;24814;45216;5;53
r;54694271;45297;45216;5;53
r;70407;7575;45216;5;55
r;53585536;43751;45216;5;57
r;1856022;101522;45216;5;60
r;64005;141217;45216;5;70
r;559429;134155;45216;5;76
r;559462;106970;45216;5;76
r;561197;46346;45216;5;76
r;652515;110603;45216;5;76
r;648443;145252;45216;5;78
r;569611;46889;45216;5;79
r;577423;29902;45216;5;79
r;579085;33217;45216;5;79
r;581710;106562;45216;5;79
r;730973;131793;45216;5;80
r;697404;59755;45216;5;82
r;190794;80499;45216;5;200
r;61549816;63718;45216;5;200
