
e;303387;'couvre';777;50
e;15491741;'couvre chef';1;0
e;16031830;'couvre-bouche';1;0
e;6530078;'couvre-chaussures';1;0
e;5960206;'couvre-fenêtre';777;0
e;16031836;'couvre-percuteur';1;0
e;16031837;'couvre-platine';1;0
e;16042550;'couvre-radiateur';1;0
e;16036804;'couvre-terre';1;0
e;5800348;'couvre-théière';777;0
e;16170653;'couvre-visage';1;0
e;14627049;'couvre-canons';1;0
e;14627046;'couvre-canon';1;0
e;14632638;'couvre-bassinet';1;0
e;2430136;'couvre-clef';1;0
e;2482606;'couvre-lumière';1;0
e;2471096;'couvre-manche';1;0
e;15491742;'Le ciel se couvre.';1;0
e;3961971;'couvre-casque';1;0
e;3876473;'couvre-orteil';1;0
e;2373111;'le pavillon couvre la marchandise';1;0
e;2364118;'couvre-shako';1;0
e;2364331;'couvre-giberne';1;0
e;2517267;'couvre-chaussure';1;0
e;3036329;'couvre-feux';1;0
e;3036330;'couvre-lits';1;0
e;97539;'couvre-culasse';1;50
e;93774;'couvre-plat';1;50
e;92034;'couvre-pied';1;50
e;91040;'couvre-objet';1;50
e;84990;'couvre-face';1;50
e;76116;'couvre-lit';1;60
e;72404;'couvre-nuque';1;50
e;68290;'couvre-sol';1;50
e;52273;'couvre-barbe';1;50
e;40439;'couvre-livre';1;50
e;18557;'couvre-chef';1;212
e;231958;'couvre-murs';1;50
e;167344;'couvre-bec';1;50
e;164824;'couvre-chefs';1;58
e;133359;'couvre-pieds';1;50
e;124514;'couvre-';1;50
e;122623;'couvre-joint';1;50
e;119044;'couvre-amorce';1;50
e;102131;'couvre-feu';1;52
r;419749252;303387;15491741;11;30
r;419749257;303387;16031830;11;30
r;419749261;303387;6530078;11;30
r;419749265;303387;5960206;11;30
r;419749269;303387;16031836;11;30
r;419749273;303387;16031837;11;30
r;419749276;303387;16042550;11;30
r;419749279;303387;16036804;11;30
r;419749283;303387;5800348;11;30
r;424064766;303387;16170653;11;30
r;371532059;303387;14627049;11;31
r;371532437;303387;14627046;11;31
r;371699457;303387;14632638;11;31
r;54939167;303387;2430136;11;32
r;60502734;303387;2482606;11;32
r;55872788;303387;2471096;11;34
r;419491387;303387;15491742;11;36
r;95817286;303387;3961971;11;38
r;95359297;303387;3876473;11;39
r;52096605;303387;2373111;11;42
r;50249743;303387;2364118;11;46
r;50256480;303387;2364331;11;47
r;16133428;303387;457738;11;52
r;52514263;303387;2517267;11;52
r;16133430;303387;457737;11;60
r;74948401;303387;3036329;11;61
r;74948397;303387;3036330;11;63
r;11863998;303387;97539;11;121
r;11864628;303387;93774;11;121
r;11864864;303387;92034;11;121
r;11865033;303387;91040;11;121
r;11865832;303387;84990;11;121
r;11867100;303387;76116;11;121
r;11867589;303387;72404;11;121
r;11868188;303387;68290;11;121
r;11870624;303387;52273;11;121
r;11872406;303387;40439;11;121
r;11875593;303387;18557;11;121
r;11851236;303387;244138;11;122
r;11851238;303387;244137;11;122
r;11851240;303387;244136;11;122
r;11851722;303387;231958;11;122
r;11856202;303387;167344;11;122
r;11856292;303387;164824;11;122
r;11858813;303387;133359;11;122
r;11860058;303387;124514;11;122
r;11860324;303387;122623;11;122
r;11860864;303387;119044;11;122
r;11863361;303387;102131;11;122
