
e;118790;'cuisinier';1;1016
e;135971;'bâteur';1;52
e;79395;'rôtisseur';1;52
e;57728;'maître-coq';1;52
e;75249;'serviteurs';1;58
e;2435209;'cuisto';1;0
e;78770;'souillon';1;92
e;15411;'gâte-sauce';1;66
e;120237;'fricasseur';1;52
e;52223;'maître queux';1;54
e;128686;'gargotier';1;54
e;78177;'cuistancier';1;54
e;52851;'boy';1;60
e;116649;'charcutier';1;208
e;126500;'queux';1;52
e;6051;'maître coq';1;50
e;1154;'bonne';1;1138
e;138083;'maître d'hôtel';1;64
e;25348;'serviteur';1;196
e;56653;'cordon-bleu';1;52
e;96967;'popotier';1;52
e;131111;'hâteur';1;52
e;58533;'valet de cuisine';1;56
e;103899;'empoisonneur';1;126
e;48030;'cuistot';1;206
e;67884;'traiteur';1;136
e;57703;'saucier';1;54
e;89926;'chef';1;1863
e;117146;'coq';1;1086
e;111582;'marmiton';1;70
r;54880101;118790;135971;5;-50
r;3153222;118790;79395;5;-5
r;416563882;118790;14947404;5;15
r;416563892;118790;14947405;5;15
r;416563915;118790;14947424;5;15
r;309991857;118790;612093;5;25
r;310179411;118790;157495;5;25
r;310179413;118790;453198;5;25
r;270197988;118790;57728;5;26
r;12175545;118790;257510;5;27
r;2043653;118790;224800;5;28
r;97483938;118790;1625347;5;28
r;85640676;118790;75249;5;34
r;68543730;118790;2435209;5;37
r;54854453;118790;78770;5;51
r;54880091;118790;15411;5;51
r;54880092;118790;120237;5;51
r;54880094;118790;52223;5;51
r;54880099;118790;128686;5;51
r;54880104;118790;78177;5;51
r;54805414;118790;52851;5;52
r;54880102;118790;116649;5;53
r;54880096;118790;126500;5;54
r;54880097;118790;6051;5;54
r;54880100;118790;1154;5;55
r;54880093;118790;138083;5;57
r;54880090;118790;25348;5;58
r;54880103;118790;56653;5;58
r;54880095;118790;96967;5;59
r;54880098;118790;131111;5;59
r;54880105;118790;58533;5;59
r;53752729;118790;103899;5;65
r;724899;118790;48030;5;76
r;724900;118790;67884;5;77
r;724902;118790;57703;5;81
r;724898;118790;89926;5;83
r;724901;118790;117146;5;83
r;12187848;118790;111582;5;83
r;55131687;79395;118790;5;-57
r;72897508;135971;118790;5;-50
r;391084245;12503946;118790;5;10
r;396643712;15423451;118790;5;10
r;396643739;15423452;118790;5;10
r;396643766;15423453;118790;5;10
r;396643793;15423454;118790;5;10
r;396643820;15423455;118790;5;10
r;428356414;16310274;118790;5;10
r;428356473;16310273;118790;5;10
r;270378628;57728;118790;5;26
r;96737872;1625347;118790;5;27
r;85612665;75249;118790;5;30
r;405962719;14947404;118790;5;30
r;405962827;14947405;118790;5;30
r;2419556;257510;118790;5;32
r;309222076;157495;118790;5;33
r;309222077;453198;118790;5;33
r;309391691;612093;118790;5;33
r;1941298;224800;118790;5;34
r;54907794;1154;118790;5;38
r;399132641;14947424;118790;5;50
r;54854231;78770;118790;5;53
r;54801042;52851;118790;5;54
r;54907782;52223;118790;5;54
r;54721993;25348;118790;5;57
r;54879404;116649;118790;5;57
r;53599146;103899;118790;5;60
r;54907777;15411;118790;5;60
r;54907779;120237;118790;5;60
r;54907781;138083;118790;5;60
r;54907786;126500;118790;5;60
r;54907788;6051;118790;5;60
r;54907790;131111;118790;5;60
r;54907792;128686;118790;5;60
r;54907796;56653;118790;5;60
r;54907798;78177;118790;5;60
r;54907800;58533;118790;5;60
r;54907784;96967;118790;5;61
r;701142;67884;118790;5;76
r;1812824;111582;118790;5;80
r;724249;117146;118790;5;82
r;555813;89926;118790;5;84
r;696321;57703;118790;5;84
r;691987;48030;118790;5;123
r;63296687;2435209;118790;5;123
