
e;140932;'de';1;136
e;1825;'de nature';1;50
e;1613;'de Friedland';1;50
e;1113;'de chiqué';1;50
e;361;'de travers';1;130
r;310760276;140932;455242;11;15
r;310760278;140932;440819;11;15
r;310760282;140932;11156849;11;15
r;310760283;140932;441147;11;15
r;310760284;140932;453008;11;15
r;310760286;140932;455953;11;15
r;310760287;140932;457481;11;15
r;310760288;140932;457403;11;15
r;310760289;140932;440049;11;15
r;310760290;140932;455335;11;15
r;310760291;140932;457680;11;15
r;310760292;140932;452348;11;15
r;310760293;140932;452624;11;15
r;310760294;140932;455333;11;15
r;310760295;140932;456946;11;15
r;310760297;140932;9755644;11;15
r;310760299;140932;3183071;11;15
r;310760300;140932;3337605;11;15
r;310760301;140932;586828;11;15
r;310760306;140932;587798;11;15
r;310760307;140932;586740;11;15
r;310760308;140932;586213;11;15
r;310760312;140932;3357113;11;15
r;310760318;140932;3181378;11;15
r;310760320;140932;586219;11;15
r;310760321;140932;580083;11;15
r;310760322;140932;683004;11;15
r;310760323;140932;2324712;11;15
r;310760326;140932;2321692;11;15
r;310760328;140932;737377;11;15
r;310760332;140932;452349;11;15
r;310760333;140932;452625;11;15
r;310760334;140932;455955;11;15
r;310760335;140932;457404;11;15
r;310760336;140932;440050;11;15
r;310760337;140932;453378;11;15
r;310760338;140932;452433;11;15
r;310760339;140932;441149;11;15
r;310760340;140932;455836;11;15
r;310760341;140932;456076;11;15
r;310760342;140932;456630;11;15
r;310760343;140932;452708;11;15
r;310760344;140932;455243;11;15
r;310760345;140932;456141;11;15
r;310760346;140932;457681;11;15
r;310760347;140932;458146;11;15
r;310760348;140932;439712;11;15
r;310760349;140932;452815;11;15
r;310760350;140932;453009;11;15
r;310760351;140932;455334;11;15
r;310760352;140932;458779;11;15
r;310760353;140932;455765;11;15
r;310760354;140932;456952;11;15
r;310760355;140932;457206;11;15
r;310760356;140932;457862;11;15
r;310760357;140932;455336;11;15
r;310760358;140932;456949;11;15
r;310760359;140932;440820;11;15
r;310760360;140932;457482;11;15
r;310760361;140932;453098;11;15
r;310760362;140932;586346;11;15
r;310760363;140932;586218;11;15
r;310760364;140932;586208;11;15
r;310760365;140932;586186;11;15
r;310760366;140932;970675;11;15
r;310760367;140932;575167;11;15
r;310760368;140932;574531;11;15
r;310760369;140932;3310043;11;15
r;310760370;140932;3311563;11;15
r;310760371;140932;586192;11;15
r;310760372;140932;584701;11;15
r;310760373;140932;583419;11;15
r;310760374;140932;583173;11;15
r;310760375;140932;2321693;11;15
r;310760376;140932;2343386;11;15
r;310760377;140932;2349287;11;15
r;310760378;140932;2349821;11;15
r;310760379;140932;3385127;11;15
r;310760380;140932;594663;11;15
r;310760381;140932;581468;11;15
r;310760382;140932;721879;11;15
r;310760383;140932;722380;11;15
r;310760384;140932;586905;11;15
r;310760385;140932;586873;11;15
r;310760386;140932;586226;11;15
r;310760387;140932;586214;11;15
r;310760388;140932;586206;11;15
r;310760389;140932;582995;11;15
r;310760390;140932;582642;11;15
r;310760391;140932;722385;11;15
r;310760392;140932;1791889;11;15
r;310760393;140932;593135;11;15
r;310760394;140932;587799;11;15
r;310760395;140932;586907;11;15
r;310760396;140932;586220;11;15
r;310760397;140932;575659;11;15
r;310760398;140932;722185;11;15
r;310760399;140932;722359;11;15
r;310760400;140932;766445;11;15
r;310760401;140932;3183004;11;15
r;310760402;140932;3491106;11;15
r;310760403;140932;586361;11;15
r;310760404;140932;586212;11;15
r;310760405;140932;586210;11;15
r;310760406;140932;586177;11;15
r;310760407;140932;581763;11;15
r;310760408;140932;683005;11;15
r;310760409;140932;599164;11;15
r;310760410;140932;584387;11;15
r;310760411;140932;581086;11;15
r;310760412;140932;580992;11;15
r;310760413;140932;579251;11;15
r;310760414;140932;3170003;11;15
r;310760415;140932;3183037;11;15
r;310760416;140932;3355283;11;15
r;310760417;140932;586232;11;15
r;310760418;140932;580085;11;15
r;310760419;140932;1791327;11;15
r;310760420;140932;3184599;11;15
r;310760421;140932;3184648;11;15
r;310760422;140932;588589;11;15
r;310760423;140932;584709;11;15
r;310760424;140932;580518;11;15
r;310760425;140932;2343585;11;15
r;310760426;140932;3348246;11;15
r;310760427;140932;2929083;11;15
r;310760428;140932;2955208;11;15
r;310760429;140932;2955204;11;15
r;8981009;140932;1825;11;26
r;8980997;140932;1613;11;27
r;8980961;140932;1113;11;31
r;8980920;140932;361;11;34
