
e;111342;'dire';1;1142
e;152605;'disant';1;58
e;427702;'dîmes';1;50
e;49923;'dis';1;50
e;83118;'disons';1;54
e;44342;'dit';1;102
e;2069606;'dirions';2;0
e;163292;'dite';1;50
e;421505;'dirait';1;50
e;416203;'dits';1;50
e;2071352;'disions';2;0
e;2169159;'disez';2;0
e;405913;'dites';1;50
e;2069430;'direz';2;0
e;80427;'dires';1;56
e;402225;'dira';1;50
e;2069274;'diraient';2;0
e;2069417;'dirent';2;0
e;2069441;'diriez';2;0
e;2069608;'diront';2;0
e;2069614;'disait';2;0
e;2072647;'disse';2;0
e;2074615;'dît';2;0
e;2074622;'dîtes';2;0
e;2069284;'diras';2;0
e;2069607;'dirons';2;0
e;2073233;'dissions';2;0
e;2069272;'dirai';2;0
e;2069609;'disaient';2;0
e;2069610;'disais';2;0
e;2072852;'dissent';2;0
e;2069277;'dirais';2;0
e;2071256;'dise';2;0
e;2073041;'disses';2;0
e;2073086;'dissiez';2;0
e;2071280;'dises';2;0
e;2071259;'disent';2;0
e;2071351;'disiez';2;0
r;296048;111342;111342;19;54
r;364014001;14288559;111342;19;25
r;364014094;14288571;111342;19;25
r;364083342;14298265;111342;19;25
r;364093891;14300381;111342;19;25
r;296067;152605;111342;19;51
r;14350893;427702;111342;19;51
r;296146;49923;111342;19;52
r;296171;83118;111342;19;53
r;296333;44342;111342;19;53
r;32466658;2069606;111342;19;53
r;296048;111342;111342;19;54
r;12093151;163292;111342;19;54
r;14350927;421505;111342;19;54
r;14351080;416203;111342;19;56
r;32470682;2071352;111342;19;56
r;32800442;2169159;111342;19;57
r;14351074;405913;111342;19;58
r;32466220;2069430;111342;19;58
r;296049;80427;111342;19;60
r;14350924;402225;111342;19;60
r;32466088;2069274;111342;19;60
r;32466215;2069417;111342;19;60
r;32466232;2069441;111342;19;60
r;32466678;2069608;111342;19;60
r;32466715;2069614;111342;19;60
r;32473522;2072647;111342;19;60
r;32477640;2074615;111342;19;60
r;32477661;2074622;111342;19;60
r;32466106;2069284;111342;19;61
r;32466668;2069607;111342;19;61
r;32474548;2073233;111342;19;61
r;32466079;2069272;111342;19;62
r;32466691;2069609;111342;19;62
r;32466704;2069610;111342;19;62
r;32473776;2072852;111342;19;62
r;32466095;2069277;111342;19;64
r;32470463;2071256;111342;19;64
r;32474196;2073041;111342;19;65
r;32474248;2073086;111342;19;66
r;32470515;2071280;111342;19;67
r;32470471;2071259;111342;19;68
r;32470672;2071351;111342;19;68
