
e;97624;'disponibilité';1;88
e;6168;'cash';1;106
e;117576;'trésorerie';1;56
e;1320;'réserves';1;78
e;140195;'réserve';1;482
e;33838;'non-activité';1;54
e;88662;'liberté';1;1496
e;64633;'disposition';1;198
e;50410;'vacance';1;224
r;310007975;97624;600225;5;15
r;1834042;97624;6168;5;29
r;1834043;97624;117576;5;32
r;85513107;97624;1320;5;32
r;54872318;97624;140195;5;51
r;54814447;97624;33838;5;52
r;53743006;97624;88662;5;67
r;715043;97624;64633;5;82
r;715044;97624;50410;5;83
r;85507308;1320;97624;5;27
r;12187359;6168;97624;5;29
r;12187357;117576;97624;5;32
r;309379910;600225;97624;5;33
r;54736881;140195;97624;5;54
r;54789556;33838;97624;5;54
r;53608561;88662;97624;5;55
r;699602;64633;97624;5;77
r;568946;50410;97624;5;78
