
e;43253;'dormir';1;6518
e;2078587;'dormirez';2;0
e;2170214;'dormie';2;0
e;2078564;'dormirait';2;0
e;97869;'dormant';1;138
e;400810;'dort';1;50
e;2078593;'dormirions';2;0
e;2078632;'dormîtes';2;0
e;2078600;'dormis';2;0
e;2078480;'dormait';2;0
e;2078559;'dormiraient';2;0
e;2170215;'dormies';2;0
e;2078547;'dormîmes';2;0
e;2078620;'dormisses';2;0
e;2078504;'dorme';2;0
e;2078625;'dormissions';2;0
e;161592;'dormi';1;58
e;2078544;'dormiez';2;0
e;2078616;'dormissent';2;0
e;2078506;'dorment';2;0
e;2078562;'dormirais';2;0
e;2078696;'dors';2;0
e;2078624;'dormissiez';2;0
e;2078478;'dormaient';2;0
e;2078507;'dormes';2;0
e;2078548;'dormions';2;0
e;2078566;'dormiras';2;0
e;2078611;'dormisse';2;0
e;2078629;'dormît';2;0
e;2078552;'dormira';2;0
e;2078590;'dormiriez';2;0
e;2078596;'dormirons';2;0
e;2078479;'dormais';2;0
e;2078649;'dormons';2;0
e;2078534;'dormez';2;0
e;2078584;'dormirent';2;0
e;2078555;'dormirai';2;0
e;2078598;'dormiront';2;0
e;2078627;'dormit';2;0
r;296651;43253;43253;19;60
r;32483637;2078587;43253;19;51
r;32802459;2170214;43253;19;51
r;32483609;2078564;43253;19;52
r;296645;97869;43253;19;53
r;14351212;400810;43253;19;53
r;32483647;2078593;43253;19;53
r;32483724;2078632;43253;19;53
r;32172286;2078600;43253;19;54
r;32483446;2078480;43253;19;55
r;32483591;2078559;43253;19;56
r;32802461;2170215;43253;19;56
r;32483560;2078547;43253;19;57
r;32483693;2078620;43253;19;57
r;32483478;2078504;43253;19;58
r;32483705;2078625;43253;19;58
r;296650;161592;43253;19;59
r;32483551;2078544;43253;19;59
r;32483686;2078616;43253;19;59
r;296651;43253;43253;19;60
r;32483486;2078506;43253;19;60
r;32483599;2078562;43253;19;60
r;32483769;2078696;43253;19;60
r;32483700;2078624;43253;19;61
r;32483430;2078478;43253;19;62
r;32483496;2078507;43253;19;63
r;32483567;2078548;43253;19;63
r;32483619;2078566;43253;19;63
r;32483677;2078611;43253;19;63
r;32483717;2078629;43253;19;63
r;32483575;2078552;43253;19;65
r;32483642;2078590;43253;19;65
r;32483654;2078596;43253;19;65
r;32483440;2078479;43253;19;66
r;32483734;2078649;43253;19;66
r;32483535;2078534;43253;19;67
r;32483630;2078584;43253;19;68
r;32483582;2078555;43253;19;69
r;32483662;2078598;43253;19;70
r;32483710;2078627;43253;19;70
