
e;10561;'douche';1;1398
e;99820;'doucher';1;110
e;91548;'bains';1;88
e;90880;'remède';1;274
e;62493;'déconvenue';1;92
e;101264;'déception';1;750
e;126091;'désappointement';1;78
e;15862;'aspersion';1;52
e;68159;'averse';1;640
e;125201;'hydrothérapie';1;58
e;32981;'ablution';1;64
e;58314;'lavage';1;588
e;96634;'affusion';1;50
e;84718;'arrosage';1;130
e;59618;'bain';1;936
r;85510461;10561;99820;5;-28
r;416235688;10561;14922234;5;20
r;391312877;10561;14920237;5;25
r;210722851;10561;6950950;5;28
r;53863528;10561;91548;5;29
r;54666667;10561;90880;5;67
r;54666666;10561;62493;5;75
r;556581;10561;101264;5;89
r;556578;10561;126091;5;99
r;54666665;10561;15862;5;100
r;556579;10561;68159;5;102
r;663169;10561;125201;5;109
r;54666664;10561;32981;5;111
r;556577;10561;58314;5;117
r;54666663;10561;96634;5;119
r;556580;10561;84718;5;123
r;12314094;10561;59618;5;149
r;85511630;99820;10561;5;-5
r;397727196;15477959;10561;5;10
r;397727278;8774218;10561;5;10
r;397727476;15477960;10561;5;10
r;397727559;15477961;10561;5;10
r;397727660;15477962;10561;5;10
r;397727746;15477963;10561;5;10
r;397727831;15477964;10561;5;10
r;401501082;15056968;10561;5;10
r;401501583;14931949;10561;5;10
r;401502101;15065566;10561;5;10
r;210682558;6950950;10561;5;32
r;53848314;91548;10561;5;56
r;54696931;90880;10561;5;61
r;54696929;62493;10561;5;65
r;395951020;14922234;10561;5;70
r;54696927;15862;10561;5;73
r;391146891;14920237;10561;5;75
r;54696926;96634;10561;5;89
r;728125;126091;10561;5;92
r;727688;125201;10561;5;98
r;556562;68159;10561;5;100
r;575674;101264;10561;5;103
r;54682107;32981;10561;5;108
r;573716;84718;10561;5;122
r;556586;58314;10561;5;124
r;421216;59618;10561;5;140
