
e;82414;'drap';1;1262
e;165435;'drap de lit';1;90
e;2560128;'schabraque';1;0
e;75448;'sedan';1;50
e;82508;'chabraque';1;50
e;123038;'lingerie';1;358
e;1903;'tiretaine';1;50
e;26434;'marengo';1;50
e;119686;'poêle';1;320
e;63936;'tissu';1;2084
e;88265;'linceul';1;90
e;61092;'literie';1;362
e;92471;'linge';1;1116
r;429262611;82414;14924304;5;5
r;392414056;82414;165435;5;15
r;309934492;82414;1785416;5;25
r;310167875;82414;456975;5;25
r;61424103;82414;2560128;5;49
r;434932725;82414;75448;5;50
r;54300746;82414;82508;5;76
r;53742773;82414;123038;5;77
r;54300748;82414;1903;5;81
r;54300747;82414;26434;5;83
r;569001;82414;119686;5;87
r;568999;82414;63936;5;91
r;568997;82414;88265;5;104
r;568998;82414;61092;5;106
r;569000;82414;92471;5;122
r;418682268;165435;82414;5;10
r;423935490;14924304;82414;5;25
r;434932726;75448;82414;5;29
r;309253506;456975;82414;5;33
r;309425152;1785416;82414;5;33
r;61004818;2560128;82414;5;58
r;53608781;123038;82414;5;62
r;54303744;26434;82414;5;63
r;54303746;1903;82414;5;63
r;54303742;82508;82414;5;63
r;698042;61092;82414;5;81
r;710973;88265;82414;5;87
r;568990;63936;82414;5;104
r;725230;119686;82414;5;113
r;12303367;92471;82414;5;124
