
e;1346;'décoration';1;668
e;15193261;'émail des dents';1;0
e;6352883;'Émail dentaire';1;0
e;214487;'émail dentaire';1;50
e;143586;'frise';1;52
e;215745;'déco';1;64
e;2397245;'orfévrerie';1;0
e;4931;'Frise';1;50
e;146098;'chaîne';1;706
e;59921;'amélioration';1;316
e;11407;'bosse';1;300
e;3142;'attribut';1;140
e;36940;'étoile';1;2060
e;38034;'mosaïque';1;78
e;98040;'architecture';1;990
e;114386;'émail';1;848
e;61674;'décorum';1;50
e;75627;'apparat';1;64
e;35841;'peinture';1;4246
e;15267;'crachat';1;118
e;109866;'orfèvrerie';1;84
e;34046;'banane';1;750
e;66483;'installation';1;120
e;68252;'retable';1;66
e;91865;'mannequinage';1;50
e;15244;'distinction';1;156
e;85413;'ameublement';1;138
e;133393;'sculpture';1;1166
e;86199;'tapisserie';1;156
e;100549;'cordon';1;246
e;31900;'récompense';1;756
e;14658;'palme';1;128
e;146049;'rosette';1;82
e;9763;'croix';1;342
e;44222;'barrette';1;114
e;141496;'guirlande';1;202
e;2729;'agencement';1;102
e;77206;'ornementation';1;68
e;48961;'parure';1;258
e;34832;'embellissement';1;62
e;98544;'ruban';1;200
e;145064;'plaque';1;390
e;42388;'médaille';1;472
e;129480;'décor';1;258
e;57411;'insigne';1;112
e;92632;'ornement';1;216
e;5966325;'Émail';1;0
r;416416250;1346;15193261;5;20
r;416416263;1346;15103094;5;20
r;310019118;1346;599795;5;22
r;310002216;1346;601611;5;25
r;310036185;1346;598329;5;25
r;310127394;1346;588463;5;25
r;360214601;1346;6352883;5;25
r;143724226;1346;214487;5;26
r;310129320;1346;588186;5;27
r;12321522;1346;143586;5;34
r;1721439;1346;215745;5;35
r;98818623;1346;2397245;5;35
r;143154810;1346;6912686;5;35
r;61420579;1346;4931;5;39
r;54631106;1346;146098;5;55
r;54675592;1346;59921;5;57
r;54381642;1346;11407;5;59
r;53765112;1346;3142;5;63
r;54675597;1346;36940;5;63
r;53775079;1346;38034;5;66
r;54675594;1346;98040;5;69
r;54675589;1346;114386;5;70
r;54675590;1346;61674;5;71
r;54675593;1346;75627;5;72
r;54675585;1346;35841;5;76
r;54675596;1346;15267;5;77
r;54675587;1346;109866;5;78
r;54675595;1346;34046;5;78
r;562210;1346;66483;5;80
r;54675588;1346;68252;5;80
r;54675586;1346;91865;5;81
r;562218;1346;15244;5;83
r;54675591;1346;85413;5;83
r;562220;1346;133393;5;84
r;53716164;1346;86199;5;84
r;562209;1346;100549;5;86
r;562211;1346;31900;5;88
r;562219;1346;14658;5;90
r;562214;1346;146049;5;94
r;562212;1346;9763;5;98
r;562206;1346;44222;5;100
r;12323454;1346;141496;5;102
r;562203;1346;2729;5;105
r;54675584;1346;77206;5;107
r;562205;1346;48961;5;114
r;562204;1346;34832;5;119
r;562217;1346;98544;5;120
r;562208;1346;145064;5;123
r;562213;1346;42388;5;136
r;562215;1346;129480;5;142
r;562207;1346;57411;5;143
r;562216;1346;92632;5;144
r;215813963;5966325;1346;5;10
r;397768051;15526017;1346;5;10
r;398613368;15103094;1346;5;30
r;405068250;15193261;1346;5;30
r;309286077;588186;1346;5;33
r;309288507;588463;1346;5;33
r;309359907;598329;1346;5;33
r;309372708;599795;1346;5;33
r;309384240;601611;1346;5;33
r;12201119;215745;1346;5;41
r;95734200;2397245;1346;5;52
r;54350731;11407;1346;5;54
r;54691255;91865;1346;5;55
r;54691257;109866;1346;5;55
r;54691265;59921;1346;5;55
r;54691262;61674;1346;5;56
r;54691263;85413;1346;5;57
r;188165;143586;1346;5;58
r;53556953;38034;1346;5;58
r;61049482;4931;1346;5;58
r;53586978;3142;1346;5;59
r;54691269;98040;1346;5;59
r;54691259;68252;1346;5;60
r;54691273;15267;1346;5;61
r;53685373;86199;1346;5;62
r;54691271;34046;1346;5;62
r;128480;141496;1346;5;63
r;54615971;146098;1346;5;64
r;54691267;75627;1346;5;64
r;455269;66483;1346;5;65
r;54684446;36940;1346;5;68
r;54691252;77206;1346;5;75
r;562221;14658;1346;5;82
r;571678;133393;1346;5;85
r;670934;2729;1346;5;86
r;570168;100549;1346;5;88
r;562202;44222;1346;5;89
r;583170;31900;1346;5;90
r;359713420;6352883;1346;5;90
r;734943;146049;1346;5;91
r;676581;15244;1346;5;92
r;54691253;35841;1346;5;92
r;684966;34832;1346;5;98
r;580659;9763;1346;5;99
r;573029;145064;1346;5;111
r;641376;129480;1346;5;122
r;630948;48961;1346;5;123
r;559351;98544;1346;5;125
r;598510;42388;1346;5;145
r;598123;92632;1346;5;196
r;562236;57411;1346;5;198
r;54691260;114386;1346;5;334
r;138784731;6912686;1346;5;483
r;142020116;214487;1346;5;486
