
e;121940;'dépassé';1;184
e;15456094;'dépassé par la réalité';1;0
e;15252231;'en coma dépassé';1;0
e;16174116;'complètement dépassé';1;0
e;16168714;'Mes paroles ont dépassé ma pensée';1;0
e;15315621;'Nous avons dépassé Dijon.';1;0
e;16168711;'Mes mots ont dépassé ma pensée';1;0
e;3201368;'auto-dépassé';1;0
e;1845982;'terme dépassé';1;0
e;349292;'dépassé par les événements';1;50
e;245485;'être dépassé';1;10
e;258471;'avoir dépassé la date de péremption';1;50
e;65914;'Totalitarismes du XXe siècle : un phénomène historique dépassé';1;50
e;210273;'avoir dépassé l'heure';1;50
e;187585;'coma dépassé';1;8
r;310676523;121940;3221535;11;25
r;310676524;121940;3221536;11;25
r;419812671;121940;15456094;11;30
r;419838114;121940;15252231;11;30
r;434380374;121940;16174116;11;30
r;434353303;121940;16168714;11;34
r;419514575;121940;15315621;11;34
r;434353293;121940;16168711;11;34
r;77362610;121940;3201368;11;55
r;29881111;121940;1845982;11;58
r;12706047;121940;349292;11;110
r;8709470;121940;245485;11;160
r;8724080;121940;258471;11;161
r;8592292;121940;65914;11;162
r;8684973;121940;210273;11;162
r;8648569;121940;187585;11;164
