
e;103112;'désirer';1;680
e;2054814;'désirasses';2;0
e;2054860;'désirerons';2;0
e;2054879;'désirons';2;0
e;154077;'désirée';1;56
e;2054806;'désirais';2;0
e;2054843;'désirerai';2;0
e;124319;'désirant';1;54
e;2054800;'désira';2;0
e;2054801;'désirai';2;0
e;2054862;'désires';2;0
e;2054807;'désirait';2;0
e;2054817;'désirassions';2;0
e;2054813;'désirassent';2;0
e;2054818;'désirât';2;0
e;142203;'désiré';1;72
e;421185;'désire';1;50
e;2054811;'désirasse';2;0
e;2054838;'désirées';2;0
e;2054847;'désirerait';2;0
e;2054852;'désirerez';2;0
e;2054859;'désirerions';2;0
e;2054810;'désiras';2;0
e;2054842;'désirera';2;0
e;2054846;'désirerais';2;0
e;2054848;'désireras';2;0
e;2054803;'désiraient';2;0
e;2054841;'désirent';2;0
e;2054844;'désireraient';2;0
e;2054816;'désirassiez';2;0
e;2054850;'désirèrent';2;0
e;2054861;'désireront';2;0
e;2054863;'désirés';2;0
e;2054872;'désiriez';2;0
e;2054871;'désirez';2;0
e;2054821;'désirâtes';2;0
e;2054855;'désireriez';2;0
e;2054808;'désirâmes';2;0
e;2054876;'désirions';2;0
r;295151;103112;103112;19;51
r;295151;103112;103112;19;51
r;32422306;2054814;103112;19;54
r;32422473;2054860;103112;19;54
r;32422539;2054879;103112;19;54
r;295150;154077;103112;19;55
r;32422235;2054806;103112;19;55
r;32422400;2054843;103112;19;55
r;295147;124319;103112;19;56
r;32422197;2054800;103112;19;56
r;32422208;2054801;103112;19;56
r;32422485;2054862;103112;19;56
r;32422244;2054807;103112;19;57
r;32422324;2054817;103112;19;57
r;32422295;2054813;103112;19;58
r;32422332;2054818;103112;19;58
r;295149;142203;103112;19;59
r;14350651;421185;103112;19;59
r;32422284;2054811;103112;19;59
r;32422368;2054838;103112;19;59
r;32422424;2054847;103112;19;59
r;32422448;2054852;103112;19;59
r;32422466;2054859;103112;19;59
r;32422274;2054810;103112;19;60
r;32422390;2054842;103112;19;60
r;32422412;2054846;103112;19;60
r;32422434;2054848;103112;19;60
r;32422223;2054803;103112;19;61
r;32422379;2054841;103112;19;61
r;32422408;2054844;103112;19;62
r;32422316;2054816;103112;19;63
r;32422442;2054850;103112;19;63
r;32422479;2054861;103112;19;63
r;32422494;2054863;103112;19;64
r;32422521;2054872;103112;19;64
r;32422512;2054871;103112;19;65
r;32422347;2054821;103112;19;66
r;32422459;2054855;103112;19;66
r;32422259;2054808;103112;19;68
r;32422528;2054876;103112;19;69
