
e;13925;'dîner';1;1090
e;417693;'dine';1;50
e;2405743;'diné';1;0
e;2463683;'dinée';1;0
e;5904551;'dina';1;0
e;11219293;'dinas';777;0
e;2187581;'dînées';2;0
e;2068629;'dînant';2;0
e;2068642;'dînassent';2;0
e;2068649;'dînassions';2;0
e;2068752;'dînes';2;0
e;2068721;'dîné';2;0
e;2068653;'dînâtes';2;0
e;2068727;'dînera';2;0
e;2068741;'dînèrent';2;0
e;2068744;'dînerions';2;0
e;2068839;'dîniez';2;0
e;107608;'dînée';1;58
e;2068640;'dînasse';2;0
e;2068729;'dînerai';2;0
e;2068743;'dîneriez';2;0
e;418233;'dîne';1;50
e;2068607;'dînai';2;0
e;2068647;'dînassiez';2;0
e;2068733;'dînerais';2;0
e;2187582;'dînés';2;0
e;427911;'dîners';1;50
e;2068609;'dînaient';2;0
e;2068614;'dînait';2;0
e;2068731;'dîneraient';2;0
e;2068734;'dînerait';2;0
e;2068842;'dînons';2;0
e;2068651;'dînât';2;0
e;2068746;'dîneront';2;0
e;2068605;'dîna';2;0
e;2068616;'dînâmes';2;0
e;2068637;'dînas';2;0
e;2068725;'dînent';2;0
e;2068736;'dîneras';2;0
e;2068742;'dînerez';2;0
e;2068774;'dînez';2;0
e;2068841;'dînions';2;0
e;2068645;'dînasses';2;0
e;2068745;'dînerons';2;0
e;2068611;'dînais';2;0
r;295953;13925;13925;19;60
r;364077422;14297403;13925;19;25
r;75947970;417693;13925;19;30
r;75947971;2405743;13925;19;30
r;75947972;2463683;13925;19;30
r;217054779;5904551;13925;19;30
r;287692713;11219293;13925;19;30
r;32833734;2187581;13925;19;51
r;32464663;2068629;13925;19;52
r;32464688;2068642;13925;19;52
r;32464705;2068649;13925;19;53
r;32464937;2068752;13925;19;54
r;32464807;2068721;13925;19;55
r;32464717;2068653;13925;19;56
r;32464826;2068727;13925;19;56
r;32464883;2068741;13925;19;56
r;32464904;2068744;13925;19;56
r;32465253;2068839;13925;19;56
r;295952;107608;13925;19;57
r;32464680;2068640;13925;19;57
r;32464833;2068729;13925;19;57
r;32464897;2068743;13925;19;57
r;14350897;418233;13925;19;58
r;32464619;2068607;13925;19;58
r;32464699;2068647;13925;19;58
r;32464848;2068733;13925;19;58
r;32833736;2187582;13925;19;58
r;295953;13925;13925;19;60
r;14350900;427911;13925;19;60
r;32464628;2068609;13925;19;61
r;32464643;2068614;13925;19;61
r;32464842;2068731;13925;19;61
r;32464856;2068734;13925;19;61
r;32465269;2068842;13925;19;61
r;32464708;2068651;13925;19;62
r;32464923;2068746;13925;19;62
r;32464613;2068605;13925;19;63
r;32464651;2068616;13925;19;63
r;32464673;2068637;13925;19;64
r;32464817;2068725;13925;19;64
r;32464867;2068736;13925;19;64
r;32464889;2068742;13925;19;65
r;32464983;2068774;13925;19;65
r;32465259;2068841;13925;19;65
r;32464692;2068645;13925;19;66
r;32464911;2068745;13925;19;68
r;32464637;2068611;13925;19;70
