
e;72845;'elles';1;270
e;11771524;'d'elles';777;0
e;12048672;'qu'elles';1;0
e;14726195;'malgré-elles';1;0
e;16508695;'puisqu'elles';1;0
e;16573266;'chacune d'elles qui est censée retarder par rapport à l'autre';777;0
e;13143224;'vont-elles';1;0
e;14566577;'dire les choses comme elles sont';1;0
e;15278100;'dire la dure réalité, affirmer des choses évidentes même si elles peuvent faire mal';1;0
e;15807985;'elles avaient ça dans le sang';1;0
e;15237343;'elles en ont pris pour leur grade';1;0
e;15255723;'elles en sont sûres';1;0
e;15337555;'elles le leur rendent bien !';1;0
e;15337553;'elles le leur rendent bien,';1;0
e;15255719;'elles leur en veulent';1;0
e;15255721;'elles leur en voulaient';1;0
e;15255706;'elles leur manquaient';1;0
e;15255705;'elles leur manquent';1;0
e;15255707;'elles leur manqueront';1;0
e;15400831;'elles leur ont tant manqué';1;0
e;15775854;'elles n'étaient pas dans leur assiette';1;0
e;15256914;'elles ne sont pas sorties de l'auberge';1;0
e;15647846;'elles ont ça dans le sang';1;0
e;15583270;'elles s'en moquent comme de l'an quarante';1;0
e;15255714;'elles se sont tues';1;0
e;15255710;'elles ça va !';1;0
e;15255708;'elles ça va,';1;0
e;16326002;'choses étant ce qu'elles sont';1;0
e;10577265;'On n'est pas des anges... elles non plus';777;0
e;10870231;'femmes entre elles';777;0
e;15494080;'aucune d'entre elles';1;0
e;15336787;'c'en est fait d'elles';1;0
e;15255733;'c'est bien elles';1;0
e;15350507;'c'est bien fait pour elles';1;0
e;11787626;'elles se rendent pas compte';777;0
e;10043649;'La Vie devant elles';777;0
e;15408046;'Les maisons britanniques sont notoires pour les gaspillages d'énergie qu'elles occasionnent.';1;0
e;5980886;'Pourvu qu'elles soient douces';777;0
e;10335196;'Entre elles et lui';777;0
e;5558174;'soient-elles';1;0
e;10385478;'elles étaient cinq';777;0
e;10186565;'Mon phoque et elles';777;0
e;10159728;'Elles plus elles';777;0
e;10144215;'C'est toujours oui quand elles disent non';777;0
e;15340779;'Coupez les roses quand elles sont fanées.';1;0
e;2187891;'elles-même';2;0
e;3757282;'petites crevettes déjà cuites égouttées si elles sont en boîte';1;0
e;3053481;'seront-elles';1;0
e;3048201;'ont-elles';1;0
e;3758688;'branches de céleri coupées en et ficelées entre elles';1;0
e;3755875;'cuisses de lapin soigneusement séchées si elles étaient congelées';1;0
e;3044373;'étaient-elles';1;0
e;3033519;'auront-elles';1;0
e;3758822;'pommes de terre brossées et coupées en deux si elles sont grosses';1;0
e;3044421;'eurent-elles';1;0
e;3033543;'avaient-elles';1;0
e;3045163;'furent-elles';1;0
e;3044426;'eussent-elles';1;0
e;3045171;'fussent-elles';1;0
e;3033503;'auraient-elles';1;0
e;3053609;'sont-elles';1;0
e;3053461;'seraient-elles';1;0
e;352102;'entre elles';1;50
e;105145;'elles-mêmes';1;50
e;211118;'les choses étant ce qu'elles sont';1;50
e;264839;'à elles';1;52
e;206175;'prendre les choses comme elles viennent';1;50
r;302016378;72845;11771524;11;25
r;313610161;72845;12048672;11;25
r;374387572;72845;14726195;11;25
r;434184701;72845;16508695;11;25
r;435414108;72845;16573266;11;25
r;335916420;72845;13143224;11;26
r;370160292;72845;14566577;11;26
r;434387445;72845;16308366;11;29
r;434387447;72845;16308365;11;29
r;419781835;72845;15278100;11;30
r;419834090;72845;15807985;11;30
r;419834096;72845;15237343;11;30
r;419834106;72845;15255723;11;30
r;419834112;72845;15337555;11;30
r;419834120;72845;15337553;11;30
r;419834128;72845;15255719;11;30
r;419834134;72845;15255721;11;30
r;419834140;72845;15255706;11;30
r;419834146;72845;15255705;11;30
r;419834152;72845;15255707;11;30
r;419834158;72845;15400831;11;30
r;419834168;72845;15775854;11;30
r;419834176;72845;15256914;11;30
r;419834184;72845;15647846;11;30
r;419834190;72845;15583270;11;30
r;419834196;72845;15255714;11;30
r;419834202;72845;15255710;11;30
r;419834204;72845;15255708;11;30
r;434378982;72845;16326002;11;30
r;263707107;72845;10577265;11;31
r;272639801;72845;10870231;11;32
r;419621635;72845;15494080;11;32
r;419669837;72845;15336787;11;32
r;419669943;72845;15255733;11;32
r;419669955;72845;15350507;11;32
r;303659615;72845;11787626;11;33
r;227599920;72845;10043649;11;35
r;419496438;72845;15408046;11;35
r;117910923;72845;5980886;11;36
r;253386487;72845;10335196;11;36
r;109909308;72845;5558174;11;37
r;255394622;72845;10385478;11;39
r;241516852;72845;10186565;11;40
r;238104011;72845;10159728;11;44
r;236657264;72845;10144215;11;45
r;395027443;72845;15340779;11;50
r;33111953;72845;2187891;11;51
r;93667572;72845;3757282;11;52
r;74946749;72845;3053481;11;53
r;74947099;72845;3048201;11;54
r;93654424;72845;3758688;11;54
r;93680621;72845;3755875;11;56
r;74947795;72845;3044373;11;59
r;74949517;72845;3033519;11;59
r;93653043;72845;3758822;11;59
r;74947757;72845;3044421;11;60
r;74949485;72845;3033543;11;61
r;74947661;72845;3045163;11;62
r;74947741;72845;3044426;11;62
r;74947649;72845;3045171;11;65
r;74949565;72845;3033503;11;66
r;74946695;72845;3053609;11;68
r;74946801;72845;3053461;11;68
r;12694917;72845;352102;11;105
r;11862928;72845;105145;11;122
r;8878685;72845;211118;11;151
r;8732482;72845;264839;11;162
r;8678038;72845;206175;11;163
