
e;81320;'escalier';1;896
e;10155;'escadrin';1;60
e;53732;'colimaçon';1;100
e;115507;'échelle';1;302
e;11272;'marches';1;96
e;73407;'montée';1;270
e;121359;'degré';1;350
e;34348;'perron';1;74
e;101977;'descente';1;228
r;309586633;81320;1169492;5;25
r;54770979;81320;10155;5;50
r;54770978;81320;53732;5;51
r;54770977;81320;115507;5;57
r;54770980;81320;11272;5;58
r;53564455;81320;73407;5;75
r;13161187;81320;121359;5;76
r;663303;81320;34348;5;79
r;19479465;81320;101977;5;80
r;309409523;1169492;81320;5;33
r;53773778;73407;81320;5;39
r;54832812;115507;81320;5;47
r;72557985;10155;81320;5;50
r;19431571;101977;81320;5;51
r;54801678;53732;81320;5;54
r;13178578;121359;81320;5;75
r;663304;34348;81320;5;85
r;54832813;11272;81320;5;88
