
e;144236;'est';1;618
e;202024;'il est temps de';1;50
e;161085;'longitude est';1;50
e;160536;'pays de l'Est';1;58
e;157350;'à l'est';1;54
e;4911;'nord-est';1;172
e;156190;'vent d'est';1;86
e;41466;'sud-est';1;154
r;3142175;144236;202024;11;-1
r;310670898;144236;9825170;11;25
r;310670899;144236;3357786;11;30
r;310670900;144236;589251;11;30
r;310670901;144236;3357521;11;30
r;310670902;144236;1169134;11;30
r;310670903;144236;3357787;11;30
r;310670904;144236;1169135;11;30
r;310670905;144236;589252;11;30
r;310670906;144236;3357522;11;30
r;268676;144236;161085;11;55
r;260494;144236;160536;11;57
r;217230;144236;157350;11;70
r;237997;144236;4911;11;80
r;204582;144236;156190;11;103
r;213123;144236;41466;11;190
