
e;57051;'excursion';1;86
e;250042;'disgression';1;50
e;393166;'Partie de campagne';1;50
e;127828;'équipée';1;60
e;19704;'voyages';1;130
e;132860;'digression';1;86
e;130808;'course';1;2333
e;10879;'tour';1;1768
e;131314;'tournée';1;170
e;43426;'partie de campagne';1;64
e;32674;'incursion';1;78
e;51233;'irruption';1;64
e;143813;'perambulation';1;50
e;35213;'virée';1;66
e;48697;'balade';1;188
e;96615;'randonnée';1;694
e;143529;'voyage';1;2434
e;30343;'visite';1;382
e;50472;'promenade';1;514
e;99;'expédition';1;148
e;45705;'marche';1;1006
r;416414388;57051;15355191;5;15
r;309812517;57051;596992;5;22
r;310067693;57051;596074;5;25
r;310984998;57051;440118;5;25
r;390942489;57051;14937259;5;25
r;61421458;57051;250042;5;26
r;85144146;57051;393166;5;28
r;13064036;57051;127828;5;30
r;85646070;57051;19704;5;32
r;54802945;57051;132860;5;51
r;54688602;57051;130808;5;52
r;54703558;57051;10879;5;53
r;54802940;57051;131314;5;54
r;54802943;57051;43426;5;55
r;54802941;57051;32674;5;57
r;54802944;57051;51233;5;57
r;54802942;57051;143813;5;60
r;54802946;57051;35213;5;60
r;696027;57051;48697;5;75
r;696031;57051;96615;5;76
r;696029;57051;143529;5;79
r;696033;57051;30343;5;79
r;696028;57051;50472;5;80
r;696030;57051;99;5;81
r;696032;57051;45705;5;85
r;390942491;14937259;57051;5;25
r;85604643;19704;57051;5;26
r;309226626;596074;57051;5;33
r;309234366;440118;57051;5;33
r;309344707;596992;57051;5;33
r;54803417;131314;57051;5;38
r;13047062;127828;57051;5;51
r;54789054;32674;57051;5;53
r;54803424;132860;57051;5;53
r;61042003;250042;57051;5;53
r;54649170;10879;57051;5;54
r;54711769;51233;57051;5;54
r;54803420;143813;57051;5;56
r;54803422;43426;57051;5;56
r;84946516;393166;57051;5;56
r;54680342;130808;57051;5;57
r;401872620;15355191;57051;5;60
r;54803425;35213;57051;5;75
r;564482;96615;57051;5;78
r;669661;99;57051;5;79
r;690720;45705;57051;5;82
r;564484;48697;57051;5;83
r;682996;30343;57051;5;83
r;693165;50472;57051;5;84
r;573377;143529;57051;5;85
