
e;87528;'faire';1;1646
e;399019;'fais';1;50
e;1997340;'faisions';2;0
e;2004495;'ferai';2;0
e;152851;'faisant';1;56
e;1997344;'faisons';2;0
e;2000175;'fassent';2;0
e;2011219;'fissent';2;0
e;1997176;'faisait';2;0
e;1997337;'faisiez';2;0
e;2004496;'ferais';2;0
e;2004568;'ferions';2;0
e;2005217;'feront';2;0
e;148115;'faires';1;50
e;425105;'fera';1;50
e;432682;'ferons';1;50
e;1997175;'faisais';2;0
e;2011257;'fissions';2;0
e;399990;'faites';1;50
e;2011393;'fîtes';2;0
e;421147;'ferait';1;50
e;2000178;'fasses';2;0
e;2000202;'fassions';2;0
e;2004508;'feras';2;0
e;2010266;'fîmes';2;0
e;2011073;'firent';2;0
e;2011220;'fisses';2;0
e;64565;'faits';1;64
e;2000183;'fassiez';2;0
e;2004567;'feriez';2;0
e;2011218;'fis';2;0
e;2011399;'fît';2;0
e;1997174;'faisaient';2;0
e;2000171;'fasse';2;0
e;104957;'fait';1;316
e;321762;'faite';1;50
e;2004532;'ferez';2;0
e;2011240;'fissiez';2;0
e;2200364;'fisse';2;0
e;421097;'fit';1;50
e;401330;'font';1;52
e;2004491;'feraient';2;0
r;301931;87528;87528;19;55
r;363974206;14283498;87528;19;25
r;363978368;14284054;87528;19;25
r;364050440;14293105;87528;19;25
r;364065228;14295504;87528;19;25
r;364093699;14300345;87528;19;25
r;14352751;399019;87528;19;51
r;32193387;1997340;87528;19;51
r;32209966;2004495;87528;19;51
r;301948;152851;87528;19;52
r;32193396;1997344;87528;19;52
r;32200326;2000175;87528;19;52
r;32226278;2011219;87528;19;52
r;32193156;1997176;87528;19;53
r;32193380;1997337;87528;19;53
r;32209981;2004496;87528;19;53
r;32210169;2004568;87528;19;53
r;32211663;2005217;87528;19;53
r;301931;87528;87528;19;55
r;301932;148115;87528;19;55
r;14352907;425105;87528;19;55
r;14352936;432682;87528;19;55
r;32193147;1997175;87528;19;55
r;32226352;2011257;87528;19;55
r;14352754;399990;87528;19;56
r;32226848;2011393;87528;19;56
r;14352910;421147;87528;19;57
r;32200338;2000178;87528;19;57
r;32200366;2000202;87528;19;57
r;32210005;2004508;87528;19;57
r;32224242;2010266;87528;19;57
r;32225866;2011073;87528;19;57
r;32226287;2011220;87528;19;57
r;301960;64565;87528;19;58
r;32200347;2000183;87528;19;58
r;32210158;2004567;87528;19;58
r;32226265;2011218;87528;19;58
r;32226859;2011399;87528;19;58
r;32193133;1997174;87528;19;59
r;32200310;2000171;87528;19;59
r;301956;104957;87528;19;60
r;12096374;321762;87528;19;60
r;32210064;2004532;87528;19;60
r;32226319;2011240;87528;19;60
r;32857695;2200364;87528;19;60
r;14353133;421097;87528;19;64
r;14353356;401330;87528;19;64
r;32209953;2004491;87528;19;65
