
e;29690;'fuir';1;544
e;2033768;'fuiriez';2;0
e;2033754;'fuiras';2;0
e;2033806;'fuissions';2;0
e;2036001;'fuyaient';2;0
e;412271;'fuit';1;50
e;2033742;'fuiraient';2;0
e;2033771;'fuiront';2;0
e;2033749;'fuirais';2;0
e;2036005;'fuyais';2;0
e;2036007;'fuyait';2;0
e;2036051;'fuyez';2;0
e;2033752;'fuirait';2;0
e;2033757;'fuirent';2;0
e;2033824;'fuîtes';2;0
e;2033769;'fuirions';2;0
e;2033770;'fuirons';2;0
e;2036059;'fuyons';2;0
e;2033690;'fuies';2;0
e;2033688;'fuient';2;0
e;2033737;'fuira';2;0
e;2033793;'fuisse';2;0
e;2033796;'fuissent';2;0
e;2033799;'fuisses';2;0
e;2036057;'fuyions';2;0
e;34811;'fuyant';1;64
e;2033730;'fuîmes';2;0
e;2033803;'fuissiez';2;0
e;101474;'fuie';1;50
e;2033773;'fuis';2;0
e;2033746;'fuirai';2;0
e;2033760;'fuirez';2;0
e;2033844;'fuît';2;0
e;2036053;'fuyiez';2;0
e;2033727;'fui';2;0
r;304330;29690;29690;19;55
r;364019616;14289247;29690;19;25
r;364058219;14294336;29690;19;25
r;364090837;14299692;29690;19;25
r;32280784;2033768;29690;19;51
r;32280731;2033754;29690;19;52
r;32280898;2033806;29690;19;52
r;32286177;2036001;29690;19;52
r;14353616;412271;29690;19;53
r;32280656;2033742;29690;19;53
r;32280822;2033771;29690;19;53
r;32280693;2033749;29690;19;54
r;32286194;2036005;29690;19;54
r;32286212;2036007;29690;19;54
r;32286333;2036051;29690;19;54
r;304330;29690;29690;19;55
r;32280713;2033752;29690;19;55
r;32280750;2033757;29690;19;55
r;32280914;2033824;29690;19;55
r;32280797;2033769;29690;19;57
r;32280807;2033770;29690;19;57
r;32286370;2036059;29690;19;57
r;32161903;2033690;29690;19;58
r;32280561;2033688;29690;19;58
r;32280639;2033737;29690;19;58
r;32280844;2033793;29690;19;58
r;32280859;2033796;29690;19;58
r;32280872;2033799;29690;19;58
r;32286357;2036057;29690;19;58
r;304485;34811;29690;19;59
r;32280625;2033730;29690;19;59
r;32280886;2033803;29690;19;59
r;304329;101474;29690;19;60
r;32161915;2033773;29690;19;60
r;32280668;2033746;29690;19;60
r;32280768;2033760;29690;19;60
r;32280928;2033844;29690;19;60
r;32286347;2036053;29690;19;61
r;32280610;2033727;29690;19;63
