
e;14665;'fêter';1;552
e;163285;'fêtant';1;54
e;2006273;'fêtais';2;0
e;2006301;'fêtassiez';2;0
e;2006270;'fêta';2;0
e;2006395;'fêtions';2;0
e;2006398;'fêtons';2;0
e;144647;'fête';1;3402
e;2006286;'fêtas';2;0
e;2006304;'fêtassions';2;0
e;2006334;'fêterais';2;0
e;2006336;'fêteras';2;0
e;252554;'fêtées';1;74
e;2006272;'fêtai';2;0
e;2006274;'fêtait';2;0
e;2006275;'fêtâmes';2;0
e;252553;'fêtés';1;86
e;2006337;'fêtèrent';2;0
e;2006343;'fêteriez';2;0
e;2006393;'fêtiez';2;0
e;2006295;'fêtassent';2;0
e;2006307;'fêtâtes';2;0
e;2006330;'fêtent';2;0
e;2006331;'fêtera';2;0
e;2006338;'fêterez';2;0
e;237582;'fêtée';1;92
e;2006290;'fêtasse';2;0
e;2006298;'fêtasses';2;0
e;2006333;'fêterai';2;0
e;2006335;'fêterait';2;0
e;2006271;'fêtaient';2;0
e;2006332;'fêteraient';2;0
e;2006361;'fêtez';2;0
e;2006345;'fêterions';2;0
e;2006347;'fêterons';2;0
e;2006348;'fêteront';2;0
e;68243;'fêté';1;90
e;2006311;'fêtât';2;0
e;8995;'fêtes';1;134
r;302572;14665;14665;19;57
r;364018162;14289073;14665;19;25
r;364077469;14297409;14665;19;25
r;12096644;163285;14665;19;51
r;32214348;2006273;14665;19;51
r;32214443;2006301;14665;19;51
r;32214303;2006270;14665;19;52
r;32214764;2006395;14665;19;52
r;32214778;2006398;14665;19;52
r;32538688;144647;14665;19;52
r;32214389;2006286;14665;19;53
r;32214451;2006304;14665;19;53
r;32214562;2006334;14665;19;53
r;32214593;2006336;14665;19;54
r;12096653;252554;14665;19;55
r;32214334;2006272;14665;19;55
r;32214364;2006274;14665;19;55
r;32214377;2006275;14665;19;55
r;12096659;252553;14665;19;56
r;32214605;2006337;14665;19;56
r;32214629;2006343;14665;19;56
r;32214755;2006393;14665;19;56
r;302572;14665;14665;19;57
r;32214424;2006295;14665;19;57
r;32214462;2006307;14665;19;57
r;32214492;2006330;14665;19;57
r;32214516;2006331;14665;19;57
r;32214615;2006338;14665;19;57
r;12096650;237582;14665;19;58
r;32214410;2006290;14665;19;58
r;32214433;2006298;14665;19;58
r;32214546;2006333;14665;19;58
r;32214581;2006335;14665;19;58
r;32214317;2006271;14665;19;59
r;32214533;2006332;14665;19;59
r;32214679;2006361;14665;19;59
r;32214640;2006345;14665;19;60
r;32214649;2006347;14665;19;60
r;32214659;2006348;14665;19;60
r;302571;68243;14665;19;64
r;32214470;2006311;14665;19;67
r;302574;8995;14665;19;69
