
e;71354;'garni';1;90
e;14159623;'avoir le gousset garni';1;0
e;14259090;'panier garni';1;0
e;16040242;'avoir la bourse bien garni';1;0
e;9749569;'chenet garni de crochets';1;0
e;1978569;'garni de farce';1;0
e;3752693;'sel, bouquet garni, eau';1;0
e;3757455;'bouquet garni composé de laurier de thym et de brins de persil';1;0
e;3753316;'gros bouquet garni';1;0
e;3756394;'petit bouquet garni';1;0
e;566521;'mortier garni';777;50
e;3360520;'citron garni';1;0
e;371990;'portefeuille garni';1;50
e;362043;'logement garni';1;50
e;371097;'plat garni';1;50
e;350730;'en garni';1;50
e;354098;'filet garni';1;50
e;168335;'bouquet garni';1;86
e;168336;'bouquet garni séché';1;50
e;216803;'aïoli garni';1;50
e;255736;'buffet garni';1;50
e;177155;'hôtel garni';1;50
e;196604;'avoir le portefeuille bien garni';1;50
r;359709426;71354;14159623;11;25
r;361595760;71354;14259090;11;26
r;419632566;71354;16040242;11;32
r;218079591;71354;9749569;11;50
r;32083183;71354;1978569;11;53
r;71802183;71354;2928553;11;53
r;93711228;71354;3752693;11;53
r;93665982;71354;3757455;11;55
r;93705574;71354;3753316;11;55
r;93675749;71354;3756394;11;56
r;16959953;71354;566521;11;57
r;86238222;71354;3360520;11;57
r;71801857;71354;2928552;11;59
r;12614155;71354;371990;11;101
r;12654417;71354;362043;11;105
r;12618021;71354;371097;11;107
r;12700419;71354;350730;11;108
r;12686791;71354;354098;11;109
r;8631458;71354;168335;11;161
r;8631459;71354;168336;11;161
r;8690380;71354;216803;11;161
r;8720197;71354;255736;11;161
r;8635726;71354;177155;11;163
r;8661878;71354;196604;11;164
