
e;141964;'glace';1;3276
e;24085;'glacer';1;222
e;44001;'crème';1;1170
e;39487;'glacé';1;256
e;3321124;'glace de consommation';1;0
e;11503;'cône';1;120
e;3321123;'glace alimentaire';1;0
e;213562;'eau gelée';1;54
e;116089;'rétroviseur';1;186
e;57953;'givrure';1;50
e;44742;'ice-cream';1;50
e;26009;'liégeois';1;56
e;3699;'neige';1;3076
e;41415;'gel';1;636
e;52260;'parfait';1;302
e;90627;'tranche napolitaine';1;50
e;51809;'pack';1;74
e;125936;'iceberg';1;234
e;2422;'banquise';1;330
e;3314;'bombe';1;1228
e;127569;'mystère';1;256
e;144497;'verre';1;3452
e;5802;'verglas';1;432
e;142861;'vitre';1;1108
e;138957;'psyché';1;70
e;57366;'plombières';1;52
e;107896;'carreau';1;248
e;141157;'givre';1;154
e;13705;'sorbet';1;236
e;16958;'cassate';1;52
e;83344;'esquimau';1;76
e;47620;'gelée';1;250
e;117848;'glaçon';1;644
e;58139;'crème glacée';1;230
e;62788;'miroir';1;866
r;85399033;141964;24085;5;-26
r;331664930;141964;438952;5;15
r;416286488;141964;15098595;5;15
r;416227529;141964;15098596;5;20
r;309636728;141964;1212873;5;25
r;310011744;141964;600080;5;25
r;310044765;141964;597654;5;25
r;310045999;141964;597568;5;25
r;563966;141964;44001;5;26
r;85399032;141964;39487;5;26
r;83657286;141964;3321124;5;27
r;309742714;141964;610261;5;27
r;310150071;141964;578470;5;27
r;96692058;141964;11503;5;29
r;309986123;141964;672696;5;29
r;83657285;141964;3321123;5;32
r;96692045;141964;213562;5;34
r;12315988;141964;116089;5;35
r;55210170;141964;57953;5;51
r;55210171;141964;44742;5;51
r;55210165;141964;26009;5;52
r;54830527;141964;3699;5;53
r;55210169;141964;41415;5;53
r;55210163;141964;52260;5;55
r;55210164;141964;90627;5;55
r;55210162;141964;51809;5;58
r;55210166;141964;125936;5;58
r;55210167;141964;2422;5;58
r;55210168;141964;3314;5;60
r;53739727;141964;127569;5;67
r;553487;141964;144497;5;76
r;563965;141964;5802;5;76
r;563970;141964;142861;5;76
r;12168733;141964;138957;5;76
r;563969;141964;57366;5;78
r;563960;141964;107896;5;79
r;563961;141964;141157;5;79
r;563962;141964;13705;5;79
r;563963;141964;16958;5;79
r;563968;141964;83344;5;80
r;563971;141964;47620;5;80
r;563964;141964;117848;5;81
r;12187404;141964;58139;5;83
r;563967;141964;62788;5;85
r;85506316;24085;141964;5;-6
r;8797836;270495;141964;5;-5
r;395992482;15048597;141964;5;10
r;396574977;15050785;141964;5;10
r;396575151;14923109;141964;5;10
r;396575376;14922935;141964;5;10
r;396575533;14922936;141964;5;10
r;396575668;15246815;141964;5;10
r;396575832;14938665;141964;5;10
r;396575970;15246816;141964;5;10
r;573614;44001;141964;5;28
r;661327;47620;141964;5;28
r;83657291;3321124;141964;5;28
r;85506314;39487;141964;5;29
r;96918692;11503;141964;5;29
r;411445283;15098596;141964;5;30
r;413329116;15098595;141964;5;30
r;83657288;3321123;141964;5;31
r;96918691;213562;141964;5;31
r;309228037;438952;141964;5;33
r;309268060;578470;141964;5;33
r;309352420;597568;141964;5;33
r;309353295;597654;141964;5;33
r;309377135;600080;141964;5;33
r;309390057;610261;141964;5;33
r;309394806;672696;141964;5;33
r;309410556;1212873;141964;5;33
r;59236116;52260;141964;5;35
r;54717208;3314;141964;5;51
r;54773009;3699;141964;5;51
r;55343773;125936;141964;5;51
r;55228088;51809;141964;5;52
r;55346139;57953;141964;5;52
r;385991;116089;141964;5;53
r;55348101;26009;141964;5;53
r;55348099;90627;141964;5;54
r;55136885;2422;141964;5;57
r;55348103;44742;141964;5;57
r;53611862;127569;141964;5;58
r;54717136;41415;141964;5;58
r;661333;141157;141964;5;75
r;672511;5802;141964;5;76
r;1834002;58139;141964;5;76
r;554492;142861;141964;5;78
r;630898;62788;141964;5;78
r;554501;107896;141964;5;80
r;677369;16958;141964;5;80
r;696160;57366;141964;5;80
r;700659;144497;141964;5;82
r;675748;13705;141964;5;84
r;708778;83344;141964;5;84
r;630896;117848;141964;5;85
r;3196846;138957;141964;5;85
