
e;151711;'grande';1;1082
e;320313;'big';777;50
e;160277;'spacieuse';1;64
r;398984346;151711;15085662;5;25
r;398984347;151711;15082532;5;25
r;398984348;151711;6950374;5;25
r;398984349;151711;14947421;5;25
r;398984350;151711;15085661;5;25
r;398984352;151711;320313;5;25
r;8895359;151711;160277;5;41
r;429484164;15085662;151711;5;5
r;429484166;15082532;151711;5;5
r;429484168;14947421;151711;5;5
r;429484170;15085661;151711;5;5
r;429484172;6950374;151711;5;5
r;429484173;320313;151711;5;5
r;12165142;160277;151711;5;27
