
e;5430;'housse';1;90
e;358071;'housse de coutil';1;50
e;358068;'housse de cretonne';1;50
e;358069;'housse de pied';1;50
e;358070;'housse penderie';1;50
e;358072;'housse de lit';1;50
e;75054;'envelopper';1;196
e;36899;'meuble';1;1749
e;145246;'cheval';1;3352
e;165154;'housse d'oreiller';1;50
e;89523;'couvercle';1;194
e;143892;'capote';1;306
e;133352;'revêtement';1;160
e;63471;'protection';1;1722
e;21269;'écrin';1;70
e;124986;'cosse';1;148
e;33801;'étui';1;170
e;81764;'harnais';1;80
e;141839;'fourre';1;52
e;42842;'gaine';1;114
e;52711;'taie';1;214
e;148456;'harnois';1;54
e;25201;'édredon';1;310
e;42731;'contenant';1;392
e;141480;'écaille';1;392
e;139738;'gangue';1;50
e;278014;'Housse';777;50
e;133795;'mobilier';1;490
e;83824;'équitation';1;500
e;34148;'toit';1;1246
e;3122;'caparaçon';1;56
e;139743;'enveloppe';1;874
e;98590;'housser';1;50
e;119455;'bâche';1;80
e;3889;'gousse';1;118
e;93965;'bogue';1;180
e;136191;'banne';1;54
e;48120;'penderie';1;228
e;51586;'plaid';1;108
e;134263;'emballage';1;352
e;23876;'carapace';1;334
e;143462;'couture';1;1232
e;49928;'couverture';1;1448
e;39696;'fourreau';1;144
e;358073;'housse de siège';1;50
e;159805;'housse de couette';1;104
e;938;'bâtier';1;50
e;28235;'blanchisserie';1;126
e;2375322;'robe-housse';1;0
e;127337;'sommier';1;337
e;16045467;'flancherie';1;0
e;148535;'houssée';1;50
e;2560128;'schabraque';1;0
e;2397682;'déhousser';1;0
e;34898;'pied';1;4290
e;82508;'chabraque';1;50
e;9959099;'Housse d'hivernage';777;0
e;2048581;'housses';2;0
e;167107;'place du mort';1;54
e;9959159;'housse d'hivernage';777;0
e;396015;'tissus mous';1;50
e;255575;'drap de dessous';1;2
e;35729;'coussin';1;496
e;1183315;'siège passager';1;0
e;4388581;'cache-sommier';1;10
e;81637;'oreiller';1;1416
e;5331341;'housse de coussin';1;0
e;61092;'literie';1;362
e;82414;'drap';1;1262
e;155943;'drap housse';1;66
e;101051;'drap-housse';1;74
e;203101;'lit en housse';1;50
r;33781122;5430;358071;0;6
r;33781162;5430;358068;0;6
r;33781252;5430;358069;0;6
r;33781311;5430;358070;0;6
r;33781366;5430;358072;0;6
r;418137379;5430;75054;0;10
r;418137380;5430;36899;0;12
r;418137383;5430;145246;0;12
r;30645498;5430;165154;0;14
r;891033;5430;89523;0;21
r;891034;5430;143892;0;21
r;59517957;5430;133352;0;21
r;891039;5430;63471;0;22
r;891042;5430;21269;0;22
r;891044;5430;124986;0;22
r;12297244;5430;33801;0;22
r;59517956;5430;81764;0;22
r;891050;5430;141839;0;23
r;12297241;5430;42842;0;23
r;12297243;5430;52711;0;23
r;98876159;5430;148456;0;23
r;891038;5430;25201;0;24
r;891040;5430;42731;0;24
r;891047;5430;141480;0;24
r;891049;5430;139738;0;24
r;14435531;5430;278014;0;24
r;415685428;5430;15048102;0;25
r;415685430;5430;15348683;0;25
r;415685432;5430;15348682;0;25
r;415685434;5430;15146850;0;25
r;415685436;5430;15118081;0;25
r;416047024;5430;7290940;0;25
r;418137378;5430;133795;0;25
r;418137382;5430;83824;0;25
r;891032;5430;34148;0;26
r;12297245;5430;3122;0;26
r;12350343;5430;221111;0;26
r;12297242;5430;139743;0;27
r;85512354;5430;98590;0;27
r;891036;5430;119455;0;28
r;891045;5430;3889;0;28
r;891046;5430;93965;0;28
r;1598706;5430;218291;0;28
r;891035;5430;136191;0;29
r;29329129;5430;48120;0;29
r;891037;5430;51586;0;30
r;891043;5430;134263;0;30
r;891048;5430;23876;0;30
r;15364067;5430;143462;0;30
r;891030;5430;49928;0;31
r;891041;5430;39696;0;31
r;14142673;5430;358073;0;48
r;10625708;5430;159805;0;60
r;23966947;5430;239128;0;1000000
r;420840618;938;5430;0;1
r;12781999;28235;5430;0;7
r;52214183;2375322;5430;0;9
r;397955477;14926137;5430;0;10
r;8424719;127337;5430;0;12
r;418105658;16045467;5430;0;12
r;418137389;148535;5430;0;12
r;418321138;2560128;5430;0;12
r;418048828;2397682;5430;0;13
r;97758371;34898;5430;0;15
r;417899230;82508;5430;0;15
r;792394;23876;5430;0;21
r;1044109;25201;5430;0;21
r;9996684;48120;5430;0;21
