
e;5430;'housse';1;90
e;98590;'housser';1;50
e;148456;'harnois';1;54
e;52711;'taie';1;214
e;81764;'harnais';1;80
e;133352;'revêtement';1;160
e;39696;'fourreau';1;144
e;139743;'enveloppe';1;874
e;3122;'caparaçon';1;56
e;42842;'gaine';1;114
e;33801;'étui';1;170
r;85508383;5430;98590;5;-27
r;98817823;5430;148456;5;32
r;577996;5430;52711;5;35
r;12203910;5430;221111;5;35
r;54724861;5430;81764;5;61
r;54724862;5430;133352;5;65
r;54724860;5430;39696;5;70
r;577997;5430;139743;5;90
r;577994;5430;3122;5;93
r;577998;5430;42842;5;95
r;577995;5430;33801;5;96
r;85512355;98590;5430;5;-30
r;397955506;14926137;5430;5;10
r;1640067;221111;5430;5;32
r;694193;52711;5430;5;35
r;54736388;39696;5430;5;71
r;82226133;148456;5430;5;75
r;54741849;133352;5430;5;78
r;671141;3122;5430;5;84
r;572438;33801;5430;5;91
r;54866774;81764;5430;5;97
r;572421;42842;5430;5;113
r;572445;139743;5430;5;116
