
e;102000;'hôtel';1;1498
e;190678;'chambre d'hôtes';1;46
e;224760;'maison d'hôte';666;14
e;15429549;'hôtel de passes';1;0
e;154007;'chambre d'hôte';1;136
e;390287;'établissement hôtelier';1;50
e;151469;'hotel';1;120
e;155866;'hôtel de passe';1;76
e;131629;'hôtelier';1;102
e;148527;'hostellerie';1;50
e;133314;'mairie';1;1274
e;2413495;'caravansérai';1;0
e;4096;'relais';1;100
e;223125;'Novotel';1;50
e;77864;'établissement';1;338
e;65524;'bâtiment';1;1188
e;68596;'taule';1;88
e;30584;'château';1;1620
e;43833;'logis';1;164
e;29443;'estaminet';1;82
e;145351;'meublé';1;104
e;89274;'crèche';1;284
e;136513;'pension';1;226
e;11840;'riokan';1;50
e;29140;'pension de famille';1;56
e;12930;'caravansérail';1;52
e;86521;'cabaret';1;200
e;128169;'parador';1;50
e;135514;'maison de ville';1;58
e;65413;'gîte';1;330
e;274223;'relai';777;50
e;143280;'palace';1;124
e;79954;'restaurant';1;5298
e;181;'cambuse';1;82
e;38929;'étape';1;152
e;132995;'immeuble';1;1882
e;10955;'hôtellerie';1;158
e;80521;'motel';1;118
e;143800;'palais';1;510
e;45179;'maison';1;12514
e;67449;'auberge';1;248
e;304429;'maison mitoyenne';777;2
r;2205741;102000;248722;5;5
r;418712953;102000;15355184;5;10
r;416264808;102000;15302151;5;20
r;416264809;102000;15302152;5;20
r;416264810;102000;15302153;5;20
r;416453021;102000;190678;5;20
r;416465632;102000;15092094;5;20
r;416465639;102000;224760;5;20
r;416507456;102000;14921756;5;20
r;416507464;102000;14953748;5;20
r;416563902;102000;15429549;5;20
r;416563904;102000;15429547;5;20
r;416563906;102000;15429548;5;20
r;416399788;102000;154007;5;21
r;309801336;102000;599295;5;25
r;309998239;102000;605216;5;25
r;310002974;102000;601265;5;25
r;416167678;102000;390287;5;25
r;416167679;102000;15446513;5;25
r;416167680;102000;15446512;5;25
r;416208043;102000;15355183;5;25
r;210729661;102000;9088009;5;27
r;213815209;102000;151469;5;27
r;310079847;102000;156974;5;27
r;8550555;102000;155866;5;28
r;2023756;102000;231343;5;29
r;434859751;102000;102000;5;30
r;12321363;102000;131629;5;34
r;571533;102000;148527;5;35
r;571532;102000;133314;5;37
r;61422220;102000;2413495;5;38
r;434469;102000;4096;5;51
r;1666201;102000;223125;5;55
r;423935480;102000;77864;5;56
r;54620153;102000;65524;5;69
r;54620154;102000;68596;5;73
r;54620151;102000;30584;5;80
r;54620148;102000;43833;5;86
r;54620149;102000;29443;5;92
r;54620146;102000;145351;5;96
r;54620150;102000;89274;5;97
r;416461;102000;136513;5;106
r;54620143;102000;11840;5;111
r;54620144;102000;29140;5;112
r;54620152;102000;12930;5;116
r;426454;102000;86521;5;117
r;54620145;102000;128169;5;125
r;54620147;102000;135514;5;128
r;434468;102000;65413;5;129
r;434922645;102000;274223;5;131
r;416459;102000;143280;5;132
r;434922646;102000;79954;5;149
r;426452;102000;181;5;150
r;434473;102000;38929;5;161
r;54620141;102000;132995;5;178
r;54620142;102000;10955;5;178
r;434471;102000;80521;5;182
r;53736564;102000;143800;5;200
r;20643098;102000;45179;5;220
r;203367;102000;67449;5;325
r;391105554;14952650;102000;5;5
r;395127107;14926270;102000;5;10
r;413806584;15056373;102000;5;10
r;413806737;15315075;102000;5;10
r;413806884;15056375;102000;5;10
r;413807033;15051204;102000;5;10
r;426355713;304429;102000;5;10
r;12182571;231343;102000;5;26
r;210664915;9088009;102000;5;30
r;212301541;151469;102000;5;30
r;399217634;15355184;102000;5;30
r;401520859;390287;102000;5;30
r;405648320;15446513;102000;5;30
r;409151916;15446512;102000;5;30
r;434859751;102000;102000;5;30
r;12203495;223125;102000;5;32
r;309216965;156974;102000;5;33
r;309365166;599295;102000;5;33
r;309383523;601265;102000;5;33
r;309387086;605216;102000;5;33
r;592538;148527;102000;5;34
r;731856;133314;102000;5;37
r;402905178;15092094;102000;5;40
r;403886930;15429547;102000;5;40
r;403886984;15429548;102000;5;40
r;405963004;15429549;102000;5;40
r;407375624;154007;102000;5;41
r;190641;131629;102000;5;45
r;423935481;77864;102000;5;47
r;434922648;274223;102000;5;49
r;407357594;190678;102000;5;50
r;61028132;2413495;102000;5;53
r;399518234;15302151;102000;5;55
r;55055039;155866;102000;5;57
r;54628710;128169;102000;5;59
r;54628712;145351;102000;5;59
r;54628718;29443;102000;5;60
r;399518342;15302153;102000;5;60
r;399518288;15302152;102000;5;60
r;54628727;68596;102000;5;61
r;55055036;11840;102000;5;62
r;54628716;43833;102000;5;63
r;54628720;89274;102000;5;63
r;54628724;12930;102000;5;63
r;54628722;30584;102000;5;75
r;54628725;65524;102000;5;78
r;592472;4096;102000;5;80
r;399217618;15355183;102000;5;80
r;401815588;14953748;102000;5;80
r;12313400;80521;102000;5;82
r;54628706;10955;102000;5;82
r;54628714;135514;102000;5;82
r;402343266;14921756;102000;5;85
r;402764772;224760;102000;5;85
r;54628708;29140;102000;5;92
r;592479;143280;102000;5;95
r;54628704;132995;102000;5;97
r;12313811;181;102000;5;107
r;53615678;143800;102000;5;111
r;12313809;86521;102000;5;114
r;12313399;38929;102000;5;115
r;434922647;79954;102000;5;119
r;571561;65413;102000;5;120
r;592486;136513;102000;5;121
r;569311;67449;102000;5;151
r;20641215;45179;102000;5;174
