
e;80522;'jacuzzi';1;62
e;6352883;'Émail dentaire';1;0
e;146785;'nom de famille';1;146
e;15305358;'whirlpool';1;0
e;60152;'bassin';1;614
e;96269;'relaxation';1;350
e;6381644;'bains à remous';1;0
e;6435755;'baignoire d'hydromassage';1;0
e;3488556;'baignoire à remous';777;0
e;42836;'hydrologie';1;136
e;10955;'hôtellerie';1;158
e;71684;'buse';1;90
e;196773;'bain moussant';1;52
e;154720;'eau chaude';1;254
e;48041;'sauna';1;234
e;39056;'paroi';1;208
e;45179;'maison';1;12514
e;141574;'bonde';1;78
e;63985;'bord';1;362
e;2639;'robinets';1;50
e;58867;'jet';1;260
e;26519;'robinet';1;610
e;114386;'émail';1;848
e;105716;'tuyau';1;626
e;62218;'massage';1;700
e;135190;'lieu';1;1642
e;102000;'hôtel';1;1498
e;21247;'bouillonnant';1;84
e;2496939;'Jacuzzi';1;0
e;125201;'hydrothérapie';1;58
e;120228;'remous';1;82
e;152716;'bulles';1;310
e;158397;'spa';1;80
e;65012;'eau';1;11015
e;232001;'bain bouillonnant';1;2
e;232000;'bain à remous';1;4
e;132716;'baignoire';1;1004
e;231988;'bain à bulles';1;10
e;59618;'bain';1;936
e;134474;'piscine';1;1626
e;26697;'lupanar';1;102
e;66839;'maison close';1;404
e;15193261;'émail des dents';1;0
e;244205;'piscine à vagues';1;50
e;10561;'douche';1;1398
e;214487;'émail dentaire';1;50
r;433748745;80522;6352883;0;4
r;419328671;80522;146785;0;5
r;419431351;80522;7290984;0;5
r;419431353;80522;7290820;0;5
r;419431355;80522;6952809;0;5
r;419431357;80522;7054041;0;5
r;419431371;80522;7096300;0;5
r;429480696;80522;15305358;0;5
r;418155637;80522;60152;0;12
r;418155638;80522;96269;0;12
r;410724140;80522;6381644;0;20
r;416356849;80522;14918478;0;20
r;416356851;80522;15048047;0;20
r;416356853;80522;15048046;0;20
r;416356855;80522;14947255;0;20
r;416356857;80522;14965077;0;20
r;410723462;80522;6435755;0;25
r;410723464;80522;6912641;0;25
r;410723465;80522;13453164;0;25
r;410723466;80522;7181524;0;25
r;410723467;80522;13453166;0;25
r;410723468;80522;13453168;0;25
r;410723469;80522;9121017;0;25
r;410723470;80522;7322176;0;25
r;410723471;80522;7322178;0;25
r;410723472;80522;6825796;0;25
r;410723473;80522;6912509;0;25
r;410723474;80522;7322473;0;25
r;410723475;80522;7322475;0;25
r;410723476;80522;7322477;0;25
r;410723477;80522;7322479;0;25
r;410723478;80522;7322481;0;25
r;410723479;80522;7322483;0;25
r;410723480;80522;7011050;0;25
r;410723481;80522;7322485;0;25
r;410723482;80522;7322487;0;25
r;410723483;80522;7322489;0;25
r;410723484;80522;7322491;0;25
r;410723485;80522;7322493;0;25
r;410723486;80522;7322495;0;25
r;410723487;80522;7322446;0;25
r;410723488;80522;7322497;0;25
r;410723489;80522;7322499;0;25
r;410723490;80522;7224408;0;25
r;410723491;80522;7780161;0;25
r;410723492;80522;7744023;0;25
r;410723493;80522;7780163;0;25
r;410723494;80522;7010941;0;25
r;410723495;80522;7780165;0;25
r;410723496;80522;7780167;0;25
r;410723497;80522;7780169;0;25
