
e;80522;'jacuzzi';1;62
e;15305358;'whirlpool';1;0
e;232000;'bain à remous';1;4
e;2496939;'Jacuzzi';1;0
e;232001;'bain bouillonnant';1;2
e;231988;'bain à bulles';1;10
e;158397;'spa';1;80
r;410723885;80522;15741824;5;-25
r;416236528;80522;14965080;5;15
r;416236535;80522;15305358;5;15
r;416236537;80522;7322501;5;15
r;416236547;80522;15211640;5;15
r;390956430;80522;14944657;5;25
r;410723880;80522;14918478;5;25
r;410723881;80522;15048047;5;25
r;410723882;80522;15048046;5;25
r;410723883;80522;14947255;5;25
r;410723884;80522;14965077;5;25
r;1834996;80522;232000;5;40
r;412387655;80522;2496939;5;80
r;1834995;80522;232001;5;85
r;412387654;80522;232695;5;110
r;3194558;80522;231988;5;121
r;1834992;80522;158397;5;125
r;416356859;15741824;80522;5;-15
r;416236515;232695;80522;5;15
r;416236516;2496939;80522;5;15
r;416356850;14918478;80522;5;15
r;416356852;15048047;80522;5;15
r;416356854;15048046;80522;5;15
r;416356856;14947255;80522;5;15
r;416356858;14965077;80522;5;15
r;12168768;231988;80522;5;27
r;12187203;158397;80522;5;28
r;410724003;15211640;80522;5;75
r;12187200;232000;80522;5;76
r;12187202;232001;80522;5;80
r;390956432;14944657;80522;5;80
r;410723646;7322501;80522;5;80
r;410723897;14965080;80522;5;80
r;410723981;15305358;80522;5;80
