
e;139575;'jardin';1;4594
e;139360;'serre';1;316
e;2409692;'Courtils';1;0
e;141387;'espace';1;2622
e;82864;'garderie';1;148
e;116139;'courtil';1;50
e;31164;'enclos';1;170
e;60562;'ouche';1;60
e;115290;'hortillonnage';1;50
e;142096;'marais';1;230
e;39729;'fruitier';1;388
e;34996;'espace vert';1;144
e;142928;'éden';1;56
e;75316;'pépinière';1;86
e;64292;'ménagerie';1;146
e;139898;'eldorado';1;50
e;78297;'closerie';1;54
e;23043;'clos';1;90
e;13583;'plantation';1;430
e;76956;'square';1;122
e;141342;'verger';1;538
e;132260;'jardinet';1;126
e;49759;'potager';1;748
e;91906;'paradis';1;326
e;5955;'parc';1;986
e;52611;'zoo';1;1318
e;25705;'terre';1;4214
e;50472;'promenade';1;514
r;418677855;139575;14939683;5;5
r;418677859;139575;15303606;5;5
r;418677866;139575;15295050;5;5
r;418677876;139575;15295048;5;5
r;418677885;139575;15295046;5;5
r;418677896;139575;15295045;5;5
r;418677907;139575;15526278;5;5
r;418677921;139575;15295049;5;5
r;391454309;139575;14917769;5;10
r;331652454;139575;439222;5;15
r;416384100;139575;14936446;5;15
r;416212545;139575;14944748;5;20
r;309981989;139575;674293;5;21
r;310028922;139575;599232;5;24
r;309586786;139575;157290;5;25
r;309586788;139575;597485;5;25
r;309981157;139575;674395;5;25
r;12186093;139575;216113;5;26
r;554358;139575;139360;5;27
r;54243890;139575;2409692;5;30
r;554352;139575;141387;5;31
r;554353;139575;82864;5;35
r;54662103;139575;116139;5;53
r;54662094;139575;31164;5;54
r;54662096;139575;60562;5;54
r;54662099;139575;115290;5;55
r;54662098;139575;142096;5;57
r;54662100;139575;39729;5;57
r;54662101;139575;34996;5;57
r;54662105;139575;142928;5;57
r;54662095;139575;75316;5;58
r;54662097;139575;64292;5;58
r;54662102;139575;139898;5;58
r;54662104;139575;78297;5;58
r;54662093;139575;23043;5;60
r;53733175;139575;13583;5;67
r;554359;139575;76956;5;76
r;554360;139575;141342;5;78
r;12320268;139575;132260;5;78
r;554356;139575;49759;5;79
r;554354;139575;91906;5;80
r;554355;139575;5955;5;80
r;554361;139575;52611;5;80
r;25135693;139575;25705;5;81
r;554357;139575;50472;5;84
r;397751508;15295043;139575;5;10
r;403943796;13373927;139575;5;10
r;403943888;14934593;139575;5;10
r;403943966;14930937;139575;5;10
r;403944024;14930941;139575;5;10
r;403944130;15295047;139575;5;10
r;403944202;8794683;139575;5;10
r;396181813;14936446;139575;5;20
r;397751440;14939683;139575;5;20
r;397751576;15295045;139575;5;20
r;397751650;15295046;139575;5;20
r;397751718;15295048;139575;5;20
r;397751786;15295049;139575;5;20
r;397751855;15295050;139575;5;20
r;397751937;15303606;139575;5;20
r;397752005;15526278;139575;5;20
r;1901737;216113;139575;5;30
r;554772;141387;139575;5;31
r;562553;139360;139575;5;31
r;309217177;157290;139575;5;33
r;309217178;597485;139575;5;33
r;309230185;439222;139575;5;33
r;309364678;599232;139575;5;33
r;309397689;674293;139575;5;33
r;309398211;674395;139575;5;33
r;708554;82864;139575;5;35
r;54699634;142096;139575;5;36
r;53617835;13583;139575;5;51
r;54214298;2409692;139575;5;51
r;54699627;23043;139575;5;52
r;54699628;31164;139575;5;52
r;54699629;75316;139575;5;52
r;54699630;60562;139575;5;52
r;54699632;64292;139575;5;52
r;54699636;115290;139575;5;52
r;54699638;39729;139575;5;52
r;54699639;34996;139575;5;52
r;54699641;139898;139575;5;52
r;54699643;116139;139575;5;52
r;54699644;78297;139575;5;52
r;206607;132260;139575;5;57
r;390571278;14944748;139575;5;70
r;54699646;142928;139575;5;75
r;391241367;14917769;139575;5;75
r;554350;91906;139575;5;77
r;581693;52611;139575;5;78
r;693174;50472;139575;5;79
r;601554;49759;139575;5;80
r;648362;5955;139575;5;80
r;705700;76956;139575;5;85
r;25129500;25705;139575;5;106
r;160409;141342;139575;5;110
