
e;90053;'lavabo';1;712
e;135956;'lieux';1;70
e;92836;'toilettes';1;888
e;30752;'vasque';1;58
e;94650;'évier';1;844
e;1531;'cuvette';1;260
e;139194;'toilette';1;438
e;47532;'lave-mains';1;50
e;15216216;'cabinet d'aisances';1;0
r;418739475;90053;15053168;5;10
r;416239743;90053;15428577;5;20
r;416239807;90053;135956;5;20
r;416239905;90053;14960513;5;20
r;416239991;90053;15282071;5;20
r;416250843;90053;14925532;5;20
r;416251016;90053;15048148;5;20
r;416251133;90053;14925533;5;20
r;416251213;90053;15076258;5;20
r;416251392;90053;9120871;5;20
r;85643885;90053;92836;5;29
r;1882439;90053;30752;5;32
r;54757159;90053;94650;5;56
r;645050;90053;1531;5;87
r;645052;90053;139194;5;87
r;645051;90053;47532;5;89
r;399268163;9115393;90053;5;10
r;431096767;15441112;90053;5;10
r;431095825;15216216;90053;5;20
r;395119303;15053168;90053;5;25
r;413495106;14960513;90053;5;25
r;413139925;15428577;90053;5;30
r;413494655;15282071;90053;5;30
r;412919203;9120871;90053;5;35
r;85607983;92836;90053;5;39
r;412919711;15076258;90053;5;40
r;412921001;14925533;90053;5;40
r;412921991;15048148;90053;5;40
r;412922639;14925532;90053;5;40
r;413139469;135956;90053;5;40
r;54843365;94650;90053;5;56
r;645053;47532;90053;5;79
r;565332;139194;90053;5;102
r;645049;1531;90053;5;107
r;429123;30752;90053;5;108
