
e;13652;'limité';1;102
e;6307473;'trouble des conduites limité au milieu familial';1;0
e;6353719;'mouvement oculaire limité';1;0
e;6355553;'examen oculaire limité';1;0
e;6366051;'arthroscopie du coude avec débridement limité';1;0
e;12148188;'mesure d'epstein barr virus ac early limité';1;0
e;12148185;'détermination de la présence d'epstein barr virus ac early limité';1;0
e;14482575;'sociétés à risque limité';777;0
e;6402203;'mélanome limité aux extrémités';1;0
e;14875022;'intellectuellement limité';1;8
e;12095701;'epstein barr virus ac early limité';1;0
e;5782397;'Nombre de cartes par machine fortement limité';777;0
e;6426970;'niveau de conscience limité';1;0
e;6436602;'arthroscopie de l'épaule avec débridement limité';1;0
e;15574797;'dans un temps limité';1;0
e;16340413;'Temps de travail limité';777;0
e;5804937;'zone à trafic limité';777;0
e;11925638;'risque limité';777;0
e;15308127;'agrément limité';1;0
e;16358825;'Téléchargement gratuit limité HTC';777;0
e;10822416;'sens unique limité';777;0
e;11011641;'vote limité';777;0
e;13312957;'avoir un impact limité';1;0
e;13312955;'avoir un impact limité sur l'espérance de vie';1;0
e;3201697;'sous-limité';1;0
e;3191253;'auto-limité';1;0
e;2498302;'développement limité';1;0
e;3174032;'chemin à accès limité';777;0
e;383799;'tirage limité';1;52
e;349848;'effet limité';1;50
e;258912;'en temps limité';1;50
e;238714;'temps limité';1;50
e;258270;'bien limité';1;50
e;263495;'mal limité';1;50
r;299561069;13652;6307473;11;25
r;301754208;13652;6353719;11;25
r;301801968;13652;6355553;11;25
r;302190353;13652;6366051;11;25
r;316731250;13652;12148188;11;25
r;316731265;13652;12148185;11;25
r;368033108;13652;14482575;11;25
r;310673152;13652;9049596;11;26
r;349145613;13652;6402203;11;26
r;385041435;13652;14875022;11;26
r;310673154;13652;9049597;11;27
r;315610584;13652;12095701;11;27
r;112657006;13652;5782397;11;29
r;122719352;13652;6426970;11;29
r;121558443;13652;6436602;11;30
r;310673153;13652;3222175;11;30
r;310673155;13652;3222176;11;30
r;419764718;13652;15574797;11;30
r;434364302;13652;16340413;11;33
r;113297409;13652;5804937;11;34
r;309083008;13652;11925638;11;34
r;419582780;13652;15308127;11;34
r;432024557;13652;16358825;11;34
r;270361312;13652;10822416;11;36
r;278869661;13652;11011641;11;42
r;338488794;13652;13312957;11;44
r;338488853;13652;13312955;11;44
r;77362508;13652;3201697;11;51
r;77365893;13652;3191253;11;59
r;52477226;13652;2498302;11;60
r;76422911;13652;3174032;11;63
r;12566347;13652;383799;11;102
r;12703839;13652;349848;11;103
r;8724780;13652;258912;11;160
r;8705612;13652;238714;11;161
r;8723792;13652;258270;11;161
r;8730680;13652;263495;11;161
