
e;131240;'lire';1;3074
e;2068571;'lirions';2;0
e;2068601;'lisais';2;0
e;2068659;'lisent';2;0
e;2068821;'lises';2;0
e;71578;'lit';1;6032
e;2068590;'liront';2;0
e;2068835;'lisez';2;0
e;154162;'lue';1;58
e;153985;'lu';1;98
e;412012;'lisant';1;50
e;2068864;'lisiez';2;0
e;22074;'lise';1;50
e;2068545;'liras';2;0
e;2073213;'lûmes';2;0
e;300082;'lus';777;50
e;2068564;'lirez';2;0
e;2073737;'lussent';2;0
e;2068534;'lirais';2;0
e;2068573;'lirons';2;0
e;2073747;'lussions';2;0
e;88821;'lut';1;50
e;2068876;'lisions';2;0
e;2073032;'lues';2;0
e;2073740;'lusses';2;0
e;2073743;'lussiez';2;0
e;2068532;'lirai';2;0
e;2068567;'liriez';2;0
e;424821;'lira';1;50
e;2068529;'liraient';2;0
e;2068536;'lirait';2;0
e;2068561;'lires';2;0
e;77077;'lis';1;56
e;2068596;'lisaient';2;0
e;2068907;'lisons';2;0
e;2073997;'lûtes';2;0
e;2073644;'lurent';2;0
e;2074170;'lût';2;0
e;2073732;'lusse';2;0
e;1692878;'lisait';1;0
r;313559;131240;131240;19;53
r;363962390;14281916;131240;19;25
r;364024713;14289841;131240;19;25
r;364024728;14289843;131240;19;25
r;364024787;14289850;131240;19;25
r;364025182;14289901;131240;19;25
r;364050999;14293187;131240;19;25
r;364060369;14294704;131240;19;25
r;364067017;14295796;131240;19;25
r;32349131;2068571;131240;19;51
r;32349210;2068601;131240;19;51
r;32349243;2068659;131240;19;51
r;32349676;2068821;131240;19;51
r;313650;71578;131240;19;52
r;32349175;2068590;131240;19;52
r;32349722;2068835;131240;19;52
r;313559;131240;131240;19;53
r;314048;154162;131240;19;53
r;314067;153985;131240;19;53
r;14356280;412012;131240;19;53
r;32349774;2068864;131240;19;53
r;313563;22074;131240;19;54
r;32349085;2068545;131240;19;54
r;32364294;2073213;131240;19;54
r;12100938;300082;131240;19;55
r;32349115;2068564;131240;19;55
r;32365304;2073737;131240;19;55
r;32349057;2068534;131240;19;56
r;32349153;2068573;131240;19;56
r;32365332;2073747;131240;19;56
r;314147;88821;131240;19;57
r;32349783;2068876;131240;19;57
r;32363467;2073032;131240;19;57
r;32365312;2073740;131240;19;57
r;32365323;2073743;131240;19;57
r;32349046;2068532;131240;19;58
r;32349126;2068567;131240;19;58
r;14356277;424821;131240;19;59
r;32349037;2068529;131240;19;59
r;32349068;2068536;131240;19;59
r;32349104;2068561;131240;19;59
r;313584;77077;131240;19;60
r;32349200;2068596;131240;19;60
r;32349808;2068907;131240;19;60
r;32366301;2073997;131240;19;60
r;32365185;2073644;131240;19;62
r;32366894;2074170;131240;19;65
r;32365290;2073732;131240;19;66
r;27937395;1692878;131240;19;317
