
e;1781441;'lit bébé';1;4
e;259845;'lit d'enfant';1;44
e;179690;'vie domestique';1;38
e;61092;'literie';1;362
e;71578;'lit';1;6032
e;42001;'bébé';1;4032
e;159584;'lit de camp';1;62
r;415563686;1781441;15415284;0;25
r;415563689;1781441;15415283;0;25
r;76280513;1781441;215504;0;26
r;76280436;1781441;259845;0;35
r;76287702;1781441;179690;0;36
r;313658553;1781441;61092;0;43
r;29225442;1781441;71578;0;55
r;29225444;1781441;42001;0;58
r;95539005;1781441;239128;0;1000000
r;34766940;71578;1781441;0;4
r;411991474;15232436;1781441;0;20
r;415563685;15415284;1781441;0;25
r;415563688;15415283;1781441;0;25
r;423935245;61092;1781441;0;25
r;76287701;179690;1781441;0;34
r;401057983;15413388;1781441;0;40
r;406612893;159584;1781441;0;50
r;408239675;15064430;1781441;0;50
r;399222912;15045510;1781441;0;60
r;105817340;259845;1781441;0;61
