
e;61092;'literie';1;362
e;62726;'plume';1;2610
e;19367;'couchage';1;80
e;1781441;'lit bébé';1;4
e;10955;'hôtellerie';1;158
e;92471;'linge';1;1116
e;133795;'mobilier';1;490
e;247253;'linge de lit';1;14
e;159600;'alèze';1;52
e;152260;'linge de maison';1;124
e;155480;'taie d'oreiller';1;90
e;43253;'dormir';1;6518
e;440895;'sommier à lattes';1;54
e;36899;'meuble';1;1749
e;90075;'chambre';1;5104
e;60829;'sommeil';1;1774
e;52747;'latté';1;52
e;25201;'édredon';1;310
e;147152;'couvertures';1;52
e;418718;'oreillers';1;56
e;5430;'housse';1;90
e;38057;'traversin';1;326
e;49928;'couverture';1;1448
e;152530;'draps';1;186
e;82414;'drap';1;1262
e;52711;'taie';1;214
e;71578;'lit';1;6032
e;81637;'oreiller';1;1416
e;54226;'couette';1;910
e;127337;'sommier';1;337
e;107799;'matelas';1;994
e;163552;'futon';1;58
e;42074;'dortoir';1;256
e;243731;'matelas gonflable';1;68
e;6393011;'literie et linges';1;0
e;360062;'jeté de lit';1;50
e;57803;'garniture';1;168
e;155968;'faire le lit';1;132
e;122591;'bordée';1;68
e;35729;'coussin';1;496
e;237704;'literies';1;52
e;12049526;'lit enfant';1;0
e;249904;'catalogue de La Redoute';1;2
e;250891;'couverture de laine';1;10
e;45898;'toile de lin';1;52
e;1460189;'en lin';1;0
e;59017;'débordé';1;124
e;317391;'faire le lit de';1;50
e;264110;'rembourrée';1;50
e;14561358;'percale de coton';1;2
e;9824717;'être bien réveillé';1;2
e;14568825;'cachet pour dormir';1;0
e;4388583;'taie de traversin';1;12
e;4388582;'oreiller à mémoire de forme';1;10
e;14716538;'protège-oreiller';1;6
e;14716539;'drap plat';1;8
e;14716540;'protège-traversin';1;4
e;14726403;'draps de lit';1;2
e;255575;'drap de dessous';1;2
e;14583997;'linge en coton';1;2
e;4466016;'dormir tout habillé';1;34
e;5246788;'faire la grass'mat';1;2
e;258391;'se lever de bonne heure';1;56
e;14510834;'lit douillet';1;0
e;14602658;'avoir des insomnies';1;4
e;4388580;'protège-matelas';1;14
e;4388581;'cache-sommier';1;10
e;157652;'couettes';1;56
e;165420;'changer les draps';1;82
e;246165;'élément de literie';1;50
e;159761;'sous la couette';1;66
r;15275245;61092;216462;0;21
r;15277217;61092;62726;0;23
r;919478;61092;19367;0;24
r;236171821;61092;10142014;0;25
r;415478299;61092;14930548;0;25
r;415478302;61092;15065524;0;25
r;415478304;61092;7096193;0;25
r;415478306;61092;15445412;0;25
r;423935245;61092;1781441;0;25
r;190346982;61092;6905842;0;26
r;1640063;61092;221111;0;29
r;423935244;61092;10955;0;29
r;10603189;61092;92471;0;30
r;1318204;61092;133795;0;40
r;99124430;61092;247253;0;44
r;99306402;61092;244408;0;51
r;99306410;61092;159600;0;51
r;99306405;61092;152260;0;52
r;99306409;61092;155480;0;52
r;99306408;61092;217237;0;52
r;13055693;61092;43253;0;54
r;99306403;61092;266121;0;54
r;15948869;61092;440895;0;55
r;54;61092;36899;0;57
r;1857751;61092;215504;0;58
r;55;61092;90075;0;60
r;56;61092;60829;0;60
r;57;61092;52747;0;60
r;395045;61092;25201;0;60
r;99124428;61092;147152;0;75
r;99124429;61092;418718;0;75
r;396983;61092;5430;0;80
r;395046;61092;38057;0;101
r;402868;61092;49928;0;101
r;1720724;61092;152530;0;102
r;395044;61092;82414;0;125
r;395047;61092;52711;0;133
r;53;61092;71578;0;185
r;395042;61092;81637;0;201
r;395043;61092;54226;0;205
r;75;61092;127337;0;234
r;395041;61092;107799;0;246
r;24051457;61092;239128;0;1000000
r;428884421;90075;61092;0;1
r;430320613;163552;61092;0;1
r;9999705;42074;61092;0;4
r;8860633;243731;61092;0;5
r;304860686;6393011;61092;0;6
r;397643734;15415283;61092;0;10
r;397643745;15415284;61092;0;10
r;428711208;360062;61092;0;10
r;361058162;57803;61092;0;15
r;402981951;15439113;61092;0;20
r;399305200;15331827;61092;0;22
r;236171820;10142014;61092;0;25
r;277869710;10994868;61092;0;25
r;360990875;253012;61092;0;25
r;415478298;14930548;61092;0;25
r;415478301;15065524;61092;0;25
r;415478303;7096193;61092;0;25
r;415478305;15445412;61092;0;25
r;423607194;16163387;61092;0;25
r;423607229;16163388;61092;0;25
r;423607243;16163389;61092;0;25
r;423607400;16163390;61092;0;25
r;423607446;16163391;61092;0;25
r;2145521;43253;61092;0;26
r;374318342;14722652;61092;0;26
r;423935246;155968;61092;0;26
r;9364526;122591;61092;0;27
r;9971640;35729;61092;0;27
r;399133590;7096379;61092;0;27
r;9973560;52711;61092;0;28
r;87490193;237704;61092;0;28
r;190346983;6905842;61092;0;29
r;313658554;12049526;61092;0;29
r;816772;19367;61092;0;32
r;1939996;216462;61092;0;32
r;21160812;133795;61092;0;32
r;76695860;3179082;61092;0;32
r;2409550;249904;61092;0;35
r;29347210;1787773;61092;0;35
r;2442255;250891;61092;0;36
r;277869766;215504;61092;0;40
r;398940700;7224310;61092;0;40
r;408025638;15227267;61092;0;40
r;408169845;45898;61092;0;40
r;408169885;1460189;61092;0;40
r;418794296;15247068;61092;0;40
r;30343077;1875591;61092;0;41
r;88949269;59017;61092;0;41
r;91504204;1875631;61092;0;41
r;91504207;1875632;61092;0;41
r;313658553;1781441;61092;0;43
r;9688323;92471;61092;0;44
r;88956374;317391;61092;0;44
r;218933504;264110;61092;0;51
r;367325302;268550;61092;0;51
r;370158791;14561358;61092;0;51
r;370666455;9824717;61092;0;51
r;371293732;14568825;61092;0;51
r;374010258;4388583;61092;0;51
r;374010238;4388582;61092;0;51
r;374243283;14716538;61092;0;51
r;374243305;14716539;61092;0;51
r;374243310;14716540;61092;0;51
r;374406397;14726403;61092;0;51
r;416816078;255575;61092;0;51
r;423889482;14583997;61092;0;51
r;97973239;4313084;61092;0;52
r;11475908;38057;61092;0;53
r;15347459;62726;61092;0;55
r;406544620;15088673;61092;0;55
r;2388736;247253;61092;0;57
r;406747611;15476742;61092;0;60
r;323467692;4466016;61092;0;61
r;364403767;5246788;61092;0;61
r;365357547;258391;61092;0;61
r;369876407;14510834;61092;0;61
r;371124876;14602658;61092;0;61
r;374010185;4388580;61092;0;61
r;407280584;15074574;61092;0;65
r;1625919;152260;61092;0;69
r;9356041;127337;61092;0;76
r;217380925;4388581;61092;0;81
r;1838717;215509;61092;0;85
r;2214894;81637;61092;0;88
r;1691659;217237;61092;0;108
r;135917;49928;61092;0;109
r;413708;82414;61092;0;110
r;9353669;54226;61092;0;116
r;2422806;157652;61092;0;120
r;2511351;165420;61092;0;120
r;112173;71578;61092;0;142
r;9522731;246165;61092;0;147
r;417281;107799;61092;0;159
r;2352683;159761;61092;0;230
