
e;107799;'matelas';1;994
e;48069;'économies';1;80
e;1320;'réserves';1;78
e;140195;'réserve';1;482
e;134536;'économie';1;1908
e;35729;'coussin';1;496
e;84228;'cataplasme';1;58
e;133408;'paillot';1;50
e;84671;'coite';1;58
e;15025;'grabat';1;60
e;25201;'édredon';1;310
e;54226;'couette';1;910
e;138712;'paillasse';1;98
e;71578;'lit';1;6032
r;310101523;107799;592362;5;25
r;434929066;107799;48069;5;32
r;85513143;107799;1320;5;34
r;217712257;107799;7096368;5;34
r;54745421;107799;140195;5;57
r;54745426;107799;134536;5;60
r;54633206;107799;35729;5;65
r;54745425;107799;84228;5;67
r;54745422;107799;133408;5;72
r;54745424;107799;84671;5;75
r;54745423;107799;15025;5;82
r;54745420;107799;25201;5;92
r;53757848;107799;54226;5;95
r;598885;107799;138712;5;101
r;598884;107799;71578;5;111
r;85507326;1320;107799;5;26
r;217712258;7096368;107799;5;29
r;434929067;48069;107799;5;30
r;309311566;592362;107799;5;33
r;59510089;84671;107799;5;51
r;54755691;134536;107799;5;52
r;55341577;133408;107799;5;57
r;54736875;140195;107799;5;62
r;54869120;84228;107799;5;66
r;54781050;15025;107799;5;67
r;54610361;35729;107799;5;71
r;54748536;25201;107799;5;71
r;53593998;54226;107799;5;73
r;733589;138712;107799;5;112
r;554305;71578;107799;5;140
