
e;146105;'mer';1;9176
e;56975;'océanographie';1;82
e;182658;'grande bleue';1;50
e;142549;'déluge';1;220
e;16612;'large';1;380
e;16282;'onde';1;340
e;91908;'abondance';1;368
e;137533;'masse';1;488
e;93883;'essaim';1;116
e;75265;'fourmilière';1;288
e;129188;'baille';1;50
e;35785;'grande tasse';1;54
e;11594;'eaux';1;94
e;69943;'fleuve';1;1666
e;64606;'flots';1;66
e;143712;'marine';1;1284
e;78869;'quantité';1;518
e;70548;'fourmillement';1;54
e;9664;'océan';1;3182
e;124402;'multitude';1;234
e;203535;'Méditerranéen';1;50
e;15210765;'la grande bleue';1;0
r;309987564;146105;672031;5;15
r;416256138;146105;14948260;5;20
r;416460806;146105;15433237;5;20
r;309785978;146105;157620;5;25
r;309993082;146105;611404;5;25
r;12321400;146105;56975;5;29
r;12183197;146105;182658;5;34
r;54629304;146105;142549;5;51
r;53743302;146105;16612;5;66
r;54671520;146105;16282;5;72
r;54381844;146105;91908;5;75
r;54671514;146105;137533;5;78
r;54279852;146105;93883;5;79
r;54671518;146105;75265;5;89
r;53764630;146105;129188;5;94
r;54671517;146105;35785;5;98
r;54671519;146105;11594;5;99
r;53749436;146105;69943;5;101
r;54671516;146105;64606;5;108
r;12323575;146105;143712;5;109
r;54671513;146105;78869;5;110
r;54671515;146105;70548;5;111
r;560145;146105;9664;5;117
r;54671511;146105;124402;5;126
r;402909700;203535;146105;5;10
r;430976284;16068408;146105;5;10
r;407306543;15433237;146105;5;30
r;430976338;15210766;146105;5;30
r;309222621;157620;146105;5;33
r;309390783;611404;146105;5;33
r;309394141;672031;146105;5;33
r;426361935;15210765;146105;5;40
r;54693474;11594;146105;5;50
r;190038;56975;146105;5;55
r;53608389;16612;146105;5;55
r;54619083;142549;146105;5;55
r;54693471;35785;146105;5;55
r;54693480;64606;146105;5;55
r;53587396;129188;146105;5;59
r;124103;143712;146105;5;60
r;54246729;93883;146105;5;66
r;54346123;91908;146105;5;68
r;53602763;69943;146105;5;70
r;54693473;75265;146105;5;70
r;402747624;14948260;146105;5;70
r;1983342;182658;146105;5;74
r;54661399;137533;146105;5;76
r;54693479;70548;146105;5;77
r;54678173;16282;146105;5;81
r;560146;9664;146105;5;87
r;54670750;78869;146105;5;108
r;54693481;124402;146105;5;116
