
e;67639;'merci';1;248
e;312170;'merci de ne pas mettre au passé les verbes qui sont actuellement au présent';777;50
e;14608203;'Lutte sans merci';777;0
e;15251043;'Parfait merci,';1;0
e;15482475;'cela suffit , merci';1;0
e;16043195;'demander merci à';1;0
e;15528098;'disant merci';1;0
e;10595251;'La Belle Dame sans merci';777;0
e;10579608;'merci d'attendre la fin des matchs pour mettre à jour l'article';777;0
e;10044250;'Dieu merci c'est vendredi';777;0
e;10061180;'Duel sans merci';777;0
e;2437456;'merci quand même';1;0
e;10507644;'Bataille sans merci';777;0
e;2424839;'Dieu merci';1;0
e;2452957;'merci mon chien';1;0
e;2458322;'corvéable à merci';1;0
e;15258734;'Encore merci !';1;0
e;15268609;'Des carottes ou des petits pois? - Ni l'un ni l'autre merci.';1;0
e;15404270;'Je vous revaudrai ça ! à charge de revanche! merci ! je suis redevable envers vous';1;0
e;2510172;'merci beaucoup';1;2
e;2507000;'à la merci du vent';1;0
e;3701763;'Charlie, les filles lui disent merci';1;0
e;2950160;'avoir à sa merci';1;0
e;362385;'lutte sans merci';1;50
e;258480;'être corvéable à merci';1;52
e;118659;'à la merci';1;50
e;208886;'tenir à sa merci';1;50
e;122469;'à la merci de';1;50
e;208762;'taillable et corvéable à merci';1;50
e;125624;'demander merci';1;50
e;133558;'être à la merci';1;50
e;152739;'non merci';1;54
e;158523;'merci patron';1;52
e;203617;'merci bien';1;52
e;203709;'mettre à la merci de';1;50
e;185038;'sans merci';1;50
e;195676;'accorder merci à';1;50
e;20590;'crier merci';1;50
e;198735;'dire merci';1;74
r;8778359;67639;312170;11;-164
r;310761565;67639;1920196;11;15
r;371221187;67639;14608203;11;25
r;419521679;67639;15251043;11;25
r;419692561;67639;15482475;11;25
r;419771435;67639;16043195;11;25
r;419783442;67639;15528098;11;25
r;264451768;67639;10595251;11;30
r;263700584;67639;10579608;11;32
r;227598158;67639;10044250;11;36
r;232108959;67639;10061180;11;38
r;55197159;67639;2437456;11;40
r;262050751;67639;10507644;11;41
r;54550939;67639;2424839;11;42
r;55532456;67639;2452957;11;47
r;55631808;67639;2458322;11;47
r;397501652;67639;15258734;11;50
r;395032191;67639;15268609;11;50
r;402275185;67639;15404270;11;50
r;17821355;67639;575659;11;52
r;17821349;67639;575658;11;53
r;52471721;67639;2510172;11;55
r;52473166;67639;2507000;11;55
r;92422069;67639;3701763;11;59
r;72689801;67639;2950160;11;61
r;12652929;67639;362385;11;101
r;8724095;67639;258480;11;160
r;8610894;67639;118659;11;161
r;8682666;67639;208886;11;161
r;8612233;67639;122469;11;162
r;8682427;67639;208762;11;162
r;8613357;67639;125624;11;163
r;8616213;67639;133558;11;163
r;8622933;67639;152739;11;163
r;8625760;67639;158523;11;163
r;8673913;67639;203617;11;163
r;8674066;67639;203709;11;163
r;8644476;67639;185038;11;164
r;8660253;67639;195676;11;164
r;8576688;67639;20590;11;165
r;8665551;67639;198735;11;165
