
e;132366;'mettre';1;744
e;130747;'maie';1;52
e;2225073;'mettaient';2;0
e;2225089;'mettriez';2;0
e;97448;'mis';1;74
e;2225083;'mettra';2;0
e;2226540;'mirent';2;0
e;119832;'met';1;70
e;1972106;'mettez';1;0
e;2225076;'mette';2;0
e;2225086;'mettrais';2;0
e;2225090;'mettrions';2;0
e;2233769;'mît';2;0
e;2225078;'mettes';2;0
e;2226663;'misses';2;0
e;421979;'mettrait';1;50
e;2225080;'mettiez';2;0
e;2225075;'mettait';2;0
e;2225084;'mettrai';2;0
e;2225087;'mettras';2;0
e;2225088;'mettrez';2;0
e;149168;'mises';1;50
e;2225074;'mettais';2;0
e;2225081;'mettions';2;0
e;2225082;'mettons';2;0
e;2225091;'mettrons';2;0
e;2226660;'misse';2;0
e;2226662;'missent';2;0
e;400762;'mettant';1;50
e;114839;'mets';1;244
e;88971;'missions';1;50
e;2225077;'mettent';2;0
e;2233770;'mîtes';2;0
e;143930;'mise';1;186
e;142216;'mit';1;50
e;2225085;'mettraient';2;0
e;2225092;'mettront';2;0
e;2233768;'mîmes';2;0
e;2226664;'missiez';2;0
r;316297;132366;132366;19;54
r;10719931;130747;132366;19;1
r;364026647;14290076;132366;19;25
r;364026677;14290080;132366;19;25
r;364026971;14290114;132366;19;25
r;364026986;14290115;132366;19;25
r;364026995;14290116;132366;19;25
r;364044021;14292129;132366;19;25
r;364071625;14296554;132366;19;25
r;364094348;14300463;132366;19;25
r;32714650;2225073;132366;19;51
r;32714772;2225089;132366;19;51
r;316783;97448;132366;19;52
r;32714748;2225083;132366;19;52
r;32720334;2226540;132366;19;52
r;316266;119832;132366;19;53
r;31793567;1972106;132366;19;53
r;32714672;2225076;132366;19;53
r;32714726;2225086;132366;19;53
r;32714777;2225090;132366;19;53
r;32721630;2233769;132366;19;53
r;316297;132366;132366;19;54
r;32714687;2225078;132366;19;54
r;32721137;2226663;132366;19;54
r;14357132;421979;132366;19;55
r;32609265;2225080;132366;19;55
r;32714665;2225075;132366;19;55
r;32714717;2225084;132366;19;55
r;32714758;2225087;132366;19;55
r;32714767;2225088;132366;19;55
r;316778;149168;132366;19;56
r;32714658;2225074;132366;19;56
r;32609267;2225081;132366;19;57
r;32609269;2225082;132366;19;57
r;32714783;2225091;132366;19;57
r;32721124;2226660;132366;19;57
r;32721131;2226662;132366;19;57
r;14357129;400762;132366;19;58
r;316293;114839;132366;19;59
r;316796;88971;132366;19;59
r;32714679;2225077;132366;19;59
r;32721381;2233770;132366;19;59
r;316759;143930;132366;19;60
r;316829;142216;132366;19;60
r;32714713;2225085;132366;19;60
r;32714790;2225092;132366;19;60
r;32718242;2233768;132366;19;60
r;32721141;2226664;132366;19;60
