
e;143987;'ménage';1;796
e;62015;'ménager';1;160
e;4129730;'popotte';1;0
e;109733;'propreté';1;482
e;110964;'maisonnée';1;88
e;105655;'épargne';1;206
e;26543;'popote';1;96
e;27184;'foyer';1;628
e;64226;'administration';1;358
e;133795;'mobilier';1;490
e;141168;'domestique';1;542
e;26477;'mariage';1;3034
e;134536;'économie';1;1908
e;72215;'gouvernement';1;864
e;10576;'politique';1;4466
e;143703;'feu';1;3710
e;29039;'couple';1;1829
e;98300;'famille';1;4180
e;45179;'maison';1;12514
r;309978492;143987;676435;5;15
r;310025742;143987;599489;5;25
r;310034770;143987;598449;5;25
r;310089296;143987;157018;5;25
r;310089298;143987;440174;5;25
r;310176540;143987;455377;5;25
r;85742005;143987;62015;5;26
r;310120919;143987;589286;5;27
r;96383601;143987;4129730;5;29
r;310079814;143987;156974;5;30
r;53612016;143987;109733;5;51
r;53612018;143987;110964;5;51
r;53612022;143987;105655;5;51
r;53612015;143987;26543;5;52
r;53612010;143987;27184;5;53
r;53612021;143987;64226;5;53
r;53612013;143987;133795;5;54
r;53612020;143987;141168;5;55
r;53612017;143987;26477;5;56
r;53612011;143987;134536;5;57
r;53612012;143987;72215;5;57
r;53612014;143987;10576;5;59
r;53612019;143987;143703;5;60
r;642381;143987;29039;5;75
r;642382;143987;98300;5;80
r;12159924;143987;45179;5;83
r;85746800;62015;143987;5;31
r;309216948;156974;143987;5;33
r;309218569;157018;143987;5;33
r;309218570;440174;143987;5;33
r;309247855;455377;143987;5;33
r;309293336;589286;143987;5;33
r;309361190;598449;143987;5;33
r;309367295;599489;143987;5;33
r;309399697;676435;143987;5;33
r;53583659;64226;143987;5;52
r;53618309;10576;143987;5;53
r;53611443;133795;143987;5;58
r;53609984;26477;143987;5;59
r;53739442;134536;143987;5;67
r;53739444;72215;143987;5;67
r;53739447;26543;143987;5;67
r;53739449;109733;143987;5;67
r;53739450;110964;143987;5;67
r;53739452;143703;143987;5;67
r;53739454;141168;143987;5;67
r;53739456;105655;143987;5;67
r;53739457;27184;143987;5;67
r;95750038;4129730;143987;5;67
r;580805;98300;143987;5;76
r;11933375;45179;143987;5;81
r;595343;29039;143987;5;82
