
e;397219;'nuits';1;50
e;14561189;'des mille et une nuits';1;0
e;10673391;'Sylviane de mes nuits';777;0
e;12990177;'Toutes les nuits';777;0
e;10664010;'les nuits révolutionnaires';777;0
e;57796;'Mille et Une Nuits';1;84
e;10904404;'nuits d'ivresse printanière';777;0
e;5800236;'côte-de-nuits-villages';777;0
e;10002167;'Huit nuits folles d'Adam Sandler';777;0
e;5794356;'bourgogne-hautes-côtes-de-nuits';777;0
e;10327503;'Deux nuits avec Cléopâtre';777;0
e;6002731;'Triangle des nuits d'été';777;0
e;10346221;'Parade en sept nuits';777;0
e;10190092;'Des jours et des nuits';777;0
e;10370833;'Festival des nuits blanches';777;0
e;11157266;'nuits courtes';1;0
e;10130842;'40 jours et 40 nuits';777;0
e;11957910;'nuits des étoiles';777;0
e;10445625;'Nos nuits à Rodanthe';777;0
e;10460118;'Les Mille et une nuits';777;0
e;10176834;'les nuits moscovites';777;0
e;10158644;'8 jours et 8 nuits à Cancun';777;0
e;6007430;'Triangle des nuits d'hiver';777;0
e;13994877;'Compagnie Mille et Une nuits';777;0
e;15936328;'La Beauté des nuits du monde';777;0
e;10446916;'Scooby-Doo et les Contes des mille et une nuits';777;0
e;10460119;'Les Mille-et-une nuits';777;0
e;14137006;'60 jours 60 nuits';777;0
e;14094754;'Chaudes nuits d'été';777;0
e;41235;'Les mille et une nuits';1;50
e;575982;'nuits secrètes';777;50
e;312038;'Les 1001 nuits';1;50
e;393832;'étoiles des nuits blanches';777;50
e;206612;'qui se marie par amour a bonnes nuits et mauvais jours';1;50
e;4388765;'faire ses nuits';1;6
e;3767775;'nuits tropéziennes';1;0
e;211094;'l'astre des nuits';1;50
e;393831;'festival des nuits blanches';1;50
e;218597;'Mille et une nuits';1;62
e;230277;'conte des mille et une nuits';1;72
e;337020;'astre des nuits';1;50
e;3979643;'passer des nuits sur la corde à linge';1;0
e;5079217;'Les Jours et les nuits de China Blue';1;0
e;165041;'mille et une nuits';1;62
e;2317;'Mes nuits sont plus belles que vos jours';1;54
e;2974978;'les nuits rouges de Harlem';1;0
r;369967977;397219;14561189;11;26
r;270780004;397219;10673391;11;27
r;333833576;397219;12990177;11;27
r;267327506;397219;10664010;11;28
r;34655582;397219;57796;11;30
r;274291168;397219;10904404;11;30
r;419758434;397219;5800236;11;30
r;227663455;397219;10002167;11;31
r;419661309;397219;5794356;11;32
r;253393927;397219;10327503;11;36
r;118533243;397219;6002731;11;37
r;254180980;397219;10346221;11;39
r;242257674;397219;10190092;11;40
r;254919518;397219;10370833;11;40
r;285043616;397219;11157266;11;40
r;236693274;397219;10130842;11;41
r;308648739;397219;11957910;11;41
r;258723241;397219;10445625;11;42
r;261014461;397219;10460118;11;42
r;238925663;397219;10176834;11;43
r;238111213;397219;10158644;11;44
r;118521900;397219;6007430;11;45
r;352635809;397219;13994877;11;45
r;414739470;397219;15936328;11;48
r;258722227;397219;10446916;11;50
r;261014455;397219;10460119;11;50
r;358573936;397219;14137006;11;50
r;393994961;397219;14094754;11;50
r;14220913;397219;319524;11;51
r;14321269;397219;41235;11;51
r;17830929;397219;575982;11;51
r;14224585;397219;312038;11;52
r;14202903;397219;393832;11;53
r;14220905;397219;319525;11;53
r;14278547;397219;206612;11;53
r;99308772;397219;4388765;11;54
r;94155643;397219;3767775;11;55
r;14277495;397219;211094;11;56
r;14202905;397219;393831;11;57
r;14275887;397219;218597;11;57
r;14272721;397219;230277;11;58
r;14215346;397219;337020;11;59
r;95168465;397219;3979643;11;59
r;105490848;397219;5079217;11;59
r;14291831;397219;165041;11;60
r;14330771;397219;2317;11;60
r;73888473;397219;2974978;11;65
