
e;160391;'nuls';1;58
e;14530518;'blancs ou nuls';1;0
e;14530590;'votes nuls';1;14
e;15570131;'bulletins nuls';1;0
e;10548899;'Pour les nuls';777;0
e;10099957;'Les Pirates! Bande de nuls';777;0
e;3364424;'meringue pour les nuls';1;0
e;3362450;'fondant au chocolat pour les nuls';1;0
e;3370676;'tarte aux prunes pour les nuls';1;0
e;272295;'lymphocytes nuls';777;50
e;297325;'non nuls';777;50
r;368614826;160391;14530518;11;26
r;368615409;160391;14530590;11;26
r;310281562;160391;1975096;11;30
r;310281563;160391;1975097;11;30
r;419667269;160391;15570131;11;32
r;262885618;160391;10548899;11;41
r;234226635;160391;10099957;11;42
r;86196500;160391;3364424;11;55
r;86211858;160391;3362450;11;59
r;86142964;160391;3370676;11;60
r;8739822;160391;272295;11;163
r;8764316;160391;297325;11;163
