
e;80929;'obligé';1;104
e;15434978;'se sentir obligé de faire [qch]';1;0
e;15330914;'agent intracellulaire obligé';1;0
e;11937160;'Allah n'est pas obligé';777;0
e;8779425;'être obligé d'emprunter';1;10
e;15343293;'C'est le rendez-vous obligé des sportifs.';1;0
e;3706155;'être obligé de jouer au Scrabble';1;0
e;1966075;'être l'obligé de quelqu'un';1;0
e;3706289;'être obligé de prendre une douche froide';1;0
e;3201989;'auto-obligé';1;0
e;1975508;'même pas obligé';1;0
e;3706392;'se sentir obligé d'acheter quelque chose';1;0
e;3706391;'se sentir obligé';1;2
e;371395;'point de passage obligé';1;50
e;372936;'principal obligé';1;50
e;361503;'lieu de passage obligé';1;50
e;330525;'ne pas être obligé';1;50
e;210794;'être l'obligé de qqn';1;50
e;56520;'être obligé';1;70
e;205166;'passage obligé';1;50
e;279002;'instrument obligé';777;50
r;395447347;80929;15434978;11;25
r;310672623;80929;3222883;11;30
r;310673894;80929;3222882;11;30
r;419581694;80929;15330914;11;34
r;308154457;80929;11937160;11;37
r;183023148;80929;8779425;11;50
r;395011013;80929;15343293;11;50
r;92515298;80929;3706155;11;51
r;31666389;80929;1966075;11;52
r;92516335;80929;3706289;11;56
r;77362430;80929;3201989;11;57
r;31880092;80929;1975508;11;58
r;92516052;80929;3706392;11;58
r;92515954;80929;3706391;11;59
r;12616721;80929;371395;11;103
r;12610403;80929;372936;11;108
r;12656621;80929;361503;11;108
r;11992755;80929;330525;11;148
r;8878464;80929;210794;11;151
r;8589127;80929;56520;11;162
r;8676446;80929;205166;11;163
r;8746590;80929;279002;11;163
