
e;29389;'oubli';1;480
e;6380498;'hemorragie de privation par oubli';1;0
e;6327112;'oubli de mémoire';1;0
e;14725459;'sombrer dans l'oubli';1;2
e;10589656;'courbe d'oubli';777;0
e;10589655;'courbe de l'oubli';777;0
e;16170169;'condamner qn à l'oubli';1;0
e;16170173;'condamner quelqu'un à l'oubli';1;0
e;9982554;'Contre l'oubli';777;0
e;5673672;'oubli de la fréquence de base';777;0
e;15581630;'baume de l'oubli';1;0
e;11072217;'oubli bénin';777;0
e;11082249;'Chartes du droit à l'oubli numérique';777;0
e;10525151;'Passeport pour l'oubli';777;0
e;10176255;'Derniers remords avant l'oubli';777;0
e;10139899;'Les Diamants de l'oubli';777;0
e;15692712;'C'est dû à un oubli.';1;0
e;15692714;'Il s'agit d'un oubli regrettable.';1;0
e;15389218;'L'oubli de cette obligation peut coûter cher.';1;0
e;5159197;'droit à l'oubli';1;0
e;5159884;'droit à l'oubli numérique';1;4
e;1974759;'tombé dans l'oubli';1;0
e;359238;'injustement tombé dans l'oubli';1;50
e;212091;'tomber dans l'oubli';1;50
e;143461;'avec le temps vient l'oubli';1;50
e;143538;'L'Éducation de l'oubli';1;50
e;212065;'ténèbres de l'oubli';1;50
e;137247;'Le Livre du rire et de l'oubli';1;50
e;251825;'oubli de pilule';1;58
e;105267;'oubli de soi';1;50
e;72453;'oubli des indices';1;50
e;99032;'oubli épisodique';1;50
e;204844;'oubli des fautes';1;50
e;204845;'oubli des offenses';1;50
r;303833786;29389;6380498;11;25
r;300204884;29389;6327112;11;26
r;374373183;29389;14725459;11;26
r;264467395;29389;10589656;11;29
r;264467401;29389;10589655;11;29
r;434380612;29389;16170169;11;30
r;434380626;29389;16170173;11;30
r;222100352;29389;9982554;11;31
r;111334998;29389;5673672;11;32
r;419649845;29389;15581630;11;32
r;280733476;29389;11072217;11;33
r;281178992;29389;11082249;11;35
r;292661640;29389;11393697;11;37
r;292661646;29389;11393696;11;37
r;262521718;29389;10525151;11;39
r;238927527;29389;10176255;11;43
r;236662958;29389;10139899;11;44
r;405571893;29389;15692712;11;50
r;413897198;29389;15692714;11;50
r;414848482;29389;15389218;11;50
r;106045477;29389;5159197;11;52
r;106049720;29389;5159884;11;53
r;31865726;29389;1974759;11;58
r;12665885;29389;359238;11;106
r;8879437;29389;212091;11;151
r;8874555;29389;143461;11;152
r;8874572;29389;143538;11;152
r;8879414;29389;212065;11;152
r;8872905;29389;137247;11;153
r;8715425;29389;251825;11;161
r;8606022;29389;105267;11;162
r;8594537;29389;72453;11;163
r;8603819;29389;99032;11;163
r;8675981;29389;204844;11;163
r;8675983;29389;204845;11;163
