
e;54271;'ouvrir';1;1504
e;2076744;'ouvrîmes';2;0
e;22685;'ouverts';1;62
e;2076465;'ouvrais';2;0
e;2076641;'ouvres';2;0
e;2076762;'ouvrirez';2;0
e;2076797;'ouvrît';2;0
e;73154;'ouvert';1;522
e;53177;'ouvrant';1;52
e;397467;'ouvertes';1;54
e;2076757;'ouvriras';2;0
e;2076782;'ouvrisses';2;0
e;2076601;'ouvrent';2;0
e;153164;'ouverte';1;434
e;2076751;'ouvriraient';2;0
e;2076769;'ouvriront';2;0
e;417468;'ouvre';1;50
e;2076477;'ouvrait';2;0
e;2076741;'ouvriez';2;0
e;2076794;'ouvrit';2;0
e;2076422;'ouvraient';2;0
e;2076774;'ouvris';2;0
e;2076776;'ouvrissent';2;0
e;2076779;'ouvrisse';2;0
e;2076791;'ouvrîtes';2;0
e;417549;'ouvrez';1;50
e;2076745;'ouvrions';2;0
e;2076803;'ouvrons';2;0
e;2076754;'ouvrirait';2;0
e;2076760;'ouvrirent';2;0
e;2076752;'ouvrirai';2;0
e;2076764;'ouvririez';2;0
e;2076766;'ouvririons';2;0
e;2076753;'ouvrirais';2;0
e;2076755;'ouvrira';2;0
e;2076788;'ouvrissions';2;0
e;2076768;'ouvrirons';2;0
e;2076785;'ouvrissiez';2;0
r;320679;54271;54271;19;51
r;320679;54271;54271;19;51
r;32520322;2076744;54271;19;51
r;320636;22685;54271;19;52
r;32171814;2076465;54271;19;52
r;32171852;2076641;54271;19;52
r;32520344;2076762;54271;19;52
r;32520376;2076797;54271;19;53
r;320634;73154;54271;19;54
r;320651;53177;54271;19;54
r;14358571;397467;54271;19;54
r;32520339;2076757;54271;19;54
r;32520363;2076782;54271;19;55
r;32171831;2076601;54271;19;56
r;320632;153164;54271;19;57
r;32520325;2076751;54271;19;57
r;32520353;2076769;54271;19;57
r;14358586;417468;54271;19;58
r;32171820;2076477;54271;19;58
r;32171894;2076741;54271;19;58
r;32520373;2076794;54271;19;58
r;32171811;2076422;54271;19;59
r;32520355;2076774;54271;19;59
r;32520358;2076776;54271;19;59
r;32520360;2076779;54271;19;59
r;32520371;2076791;54271;19;59
r;14358590;417549;54271;19;60
r;32171898;2076745;54271;19;60
r;32171910;2076803;54271;19;60
r;32520333;2076754;54271;19;60
r;32520342;2076760;54271;19;60
r;32520327;2076752;54271;19;61
r;32520346;2076764;54271;19;61
r;32520348;2076766;54271;19;61
r;32520330;2076753;54271;19;62
r;32520336;2076755;54271;19;62
r;32520368;2076788;54271;19;64
r;32520350;2076768;54271;19;65
r;32520366;2076785;54271;19;66
